Note,Octave,MIDI Note,Harmonic Mean,Percussive Mean
A,0,9,0.034857978471663234,0.08722007522758768
A,1,21,0.048711838144516066,0.10359578943279225
A,2,33,0.5279035410710594,0.27380817680321445
A,3,45,0.4775264873563086,0.19434422503869125
A,4,57,0.48020116110027766,0.13315748920996212
A,5,69,0.23359875549741993,0.09864762926505773
A,6,81,0.10606539745914705,0.031757071279955265
A,7,93,0.05858632664581076,0.018665203302850684
A,8,105,0.04874912995563708,0.02060697615139551
A,9,117,0.018013350134469135,0.013442974455181183
A#,0,10,0.06154411843717933,0.17351008375480295
A#,1,22,0.09675129792016451,0.11993620884031714
A#,2,34,0.4275881231026017,0.2944188766648506
A#,3,46,0.6056954393329639,0.19379756520966288
A#,4,58,0.36195847972752604,0.1445877246713883
A#,5,70,0.36269063908164106,0.10277258099482645
A#,6,82,0.09524446499373475,0.033372512495247704
A#,7,94,0.06493586624487847,0.018256188209064685
A#,8,106,0.05652962488485226,0.020747076160660315
A#,9,118,0.01536911824871592,0.012387725624065727
B,0,11,0.08149008129767035,0.2324669101184876
B,1,23,0.12755080178501868,0.1445117829363424
B,2,35,0.32635020417399035,0.31446092234166917
B,3,47,0.5639638492408964,0.17529876474106362
B,4,59,0.3412952532437117,0.13696321901283204
B,5,71,0.3390353002555151,0.08411725379618631
B,6,83,0.062376317820022766,0.03237446937634025
B,7,95,0.04656336107834347,0.01808676605623221
B,8,107,0.0441651640129829,0.020273798870065723
B,9,119,0.014872780246094827,0.012164403868174238
C,0,0,0.04293755120163589,0.07350714430729192
C,1,12,0.05165647342524024,0.12744525866664239
C,2,24,0.07831880484138011,0.11613294081713822
C,3,36,0.24580967831961198,0.33129871992557514
C,4,48,0.6353641787861234,0.174396081657656
C,5,60,0.48214231275521907,0.1524227469127709
C,6,72,0.21822263561097258,0.06508208949762118
C,7,84,0.07830448953490976,0.028885900126052026
C,8,96,0.06075939001142557,0.01998711808773567
C,9,108,0.03374616733110909,0.01821299659559626
C,10,120,0.015289790791686506,0.012023353207583656
C#,0,1,0.031059160893750864,0.0562104588546197
C#,1,13,0.04029843583808905,0.09702822038582695
C#,2,25,0.04670906258900918,0.10171271911954785
C#,3,37,0.1778732064560189,0.310726189234816
C#,4,49,0.503206473821276,0.16598232148570738
C#,5,61,0.47069755719938006,0.16179143670119495
C#,6,73,0.15165112935490657,0.05084989752640795
C#,7,85,0.08114218762031096,0.03011507418969872
C#,8,97,0.07076261228523223,0.02523835423098861
C#,9,109,0.03005609857370682,0.016892182537553833
C#,10,121,0.015733720019909588,0.011982747872147507
D,0,2,0.027281264354320107,0.05929568209086421
D,1,14,0.047257134598001745,0.1245869456606448
D,2,26,0.0485812163681229,0.10500549377995798
D,3,38,0.10880060594111017,0.27154245662397347
D,4,50,0.24311319588296754,0.14471377262403293
D,5,62,0.40583773446838406,0.16188869562836308
D,6,74,0.1298907679447709,0.047201914530231204
D,7,86,0.10175513174534297,0.030031902113647813
D,8,98,0.11291173108277949,0.02646495284543097
D,9,110,0.03323691041075038,0.016412279503935853
D,10,122,0.013341282785305367,0.01024581181535548
D#,0,3,0.0281674782679779,0.05976453344629672
D#,1,15,0.051854072282739166,0.1342312557949977
D#,2,27,0.06013448467712509,0.11432513998419723
D#,3,39,0.07477276328674767,0.25232465826509165
D#,4,51,0.21381567860333445,0.1488691700769536
D#,5,63,0.34475293445013594,0.1684491645205134
D#,6,75,0.13637957959757951,0.054355786801870816
D#,7,87,0.09521730061922773,0.023677278178312715
D#,8,99,0.12067716989537303,0.025562897519280835
D#,9,111,0.029306388798744216,0.01678939655791919
D#,10,123,0.011214176866363544,0.008819443205652514
E,0,4,0.030546681216136906,0.05990623201044713
E,1,16,0.05335538259483737,0.11355976244663497
E,2,28,0.0782491861253535,0.10823098376122202
E,3,40,0.08048357134137611,0.2623054054056637
E,4,52,0.2013794370204187,0.1435245572314468
E,5,64,0.158487312006395,0.13275483189917256
E,6,76,0.09028884799769382,0.05323786774299702
E,7,88,0.05910530612839564,0.024181099846659115
E,8,100,0.07795378795903866,0.022981325397347922
E,9,112,0.028610151056419765,0.017660004874651775
E,10,124,0.011328807555387017,0.008705666590369424
F,0,5,0.03038930167480343,0.06327756283511408
F,1,17,0.08044783578359528,0.18034132374178008
F,2,29,0.10634699209203025,0.11551155848616179
F,3,41,0.12823190607143095,0.2808922135132089
F,4,53,0.2734627453694161,0.15167072556271946
F,5,65,0.11223333787100087,0.11631522440667143
F,6,77,0.09569684012294975,0.055961566013422365
F,7,89,0.04280665975861125,0.023226194937355303
F,8,101,0.0687792633596789,0.021239645149108827
F,9,113,0.0251153054496527,0.016112232645937304
F,10,125,0.010971643384621262,0.008396045770953769
F#,0,6,0.030781366358102018,0.07624442339522537
F#,1,18,0.10374874419001635,0.23515424685319977
F#,2,30,0.20471327866379394,0.13617196548507032
F#,3,42,0.15737465239171375,0.2554651681044373
F#,4,54,0.3290819592030946,0.14074618892645435
F#,5,66,0.16075373503316684,0.10218331065258388
F#,6,78,0.09834885238117776,0.046994697624741955
F#,7,90,0.04801966534112504,0.0218803961224182
F#,8,102,0.061515969793028404,0.021012553477851952
F#,9,114,0.019992977446826106,0.014747597275690976
F#,10,126,0.01043768127559422,0.008033197212356352
G,0,7,0.03328466581435753,0.08353182211108873
G,1,19,0.0651457265497141,0.14273875022817537
G,2,31,0.4282484684990161,0.16868612007198813
G,3,43,0.27399475463575823,0.2107273112657391
G,4,55,0.57673760671651,0.14538766530603608
G,5,67,0.3379140032429682,0.10164621955771087
G,6,79,0.18270278698853007,0.036320977871306476
G,7,91,0.06554251623395416,0.019751416162540752
G,8,103,0.08261847684973725,0.02219464090354272
G,9,115,0.021138324991907396,0.014587519772456724
G,10,127,0.009344253859318967,0.00717514595699188
G#,0,8,0.034998291179967896,0.09679113849493597
G#,1,20,0.04552465540880785,0.11500471251641936
G#,2,32,0.5801275711833169,0.23066178165906004
G#,3,44,0.4364733264425494,0.20902168278571484
G#,4,56,0.7109164571508022,0.15489977268877947
G#,5,68,0.3525009940117876,0.10165956640409228
G#,6,80,0.16020871375095017,0.03050482934691866
G#,7,92,0.05711961395136321,0.018460684454202868
G#,8,104,0.07385827240818776,0.022546302807338887
G#,9,116,0.01876664559038089,0.013758395541427562
