Note,Octave,MIDI Note,Harmonic Mean,Percussive Mean
A,0,9,0.00042243006113551777,0.0397265584539863
A,1,21,0.0013641400115724095,0.04263650183353461
A,2,33,0.06092105956131991,0.1974109359190426
A,3,45,1.1104675809094315,0.3030162498968655
A,4,57,0.4139846031087098,0.21261135121227168
A,5,69,0.22269901170603357,0.13308381559207316
A,6,81,0.10407137894886415,0.07322534021753578
A,7,93,0.0641212007180332,0.05117054381457153
A,8,105,0.043752004191639035,0.03783094356700997
A,9,117,0.007646571310780438,0.015366902199797123
A#,0,10,0.00038097831715521813,0.03903722998068101
A#,1,22,0.0014759715741589513,0.045079032888177176
A#,2,34,0.0972384984996012,0.22389069241404652
A#,3,46,1.1250504140188462,0.29265371643063354
A#,4,58,0.36671579213669653,0.20319505966945553
A#,5,70,0.21076945253131413,0.12548831977515235
A#,6,82,0.0823325467898036,0.06532847679145129
A#,7,94,0.06540663773600464,0.05006318272080328
A#,8,106,0.038108529602841765,0.03826348501840265
A#,9,118,0.007646290046795349,0.014711418964405192
B,0,11,0.0004377207048785658,0.04015140045423171
B,1,23,0.002013232179949662,0.047314928880175335
B,2,35,0.1809516756027367,0.26098845930976144
B,3,47,0.8815305642710789,0.2926744774556708
B,4,59,0.31010447151060905,0.19822646457102128
B,5,71,0.15404022088322733,0.1037020321243069
B,6,83,0.07162961463534051,0.051035198351215505
B,7,95,0.06981845540020756,0.045032607170284886
B,8,107,0.025899096007899573,0.03280990334818198
B,9,119,0.00752940329139411,0.015566123866496086
C,0,0,0.0015851778745935015,0.04600060541519635
C,1,12,0.0005322636585459826,0.040396979063323304
C,2,24,0.0026694988232222328,0.05028353366697348
C,3,36,0.36265923586950505,0.32791682973171016
C,4,48,0.8402290399410911,0.3289319523839472
C,5,60,0.4743290064730297,0.26311905488995596
C,6,72,0.12696659608203723,0.09164313548475658
C,7,84,0.08332905928434502,0.04350352306514979
C,8,96,0.06113033746850422,0.041710584933654545
C,9,108,0.017541291976945934,0.024760553197255803
