Note,Octave,MIDI Note,Harmonic Mean,Percussive Mean
A,0,9,0.002496452347790682,0.025379616342213578
A,1,21,0.021929615961877136,0.056666420575848114
A,2,33,0.030803258775302184,0.09759449741709449
A,3,45,0.07750489003659762,0.18377236897145427
A,4,57,0.33413596785396693,0.14001533343994407
A,5,69,0.2737967453758136,0.10602399236351744
A,6,81,0.11617545390466408,0.0580265190141116
A,7,93,0.03541139197473814,0.0272173244912454
A,8,105,0.013943389889564128,0.019809317318070764
A,9,117,0.004046433142500873,0.011435325049276225
A#,0,10,0.0027251984080554287,0.025893320409476884
A#,1,22,0.026942308496845865,0.06738999761004473
A#,2,34,0.04523880444758535,0.10925556648598456
A#,3,46,0.04987196605978229,0.185056036408953
A#,4,58,0.285684086373365,0.13205148370864828
A#,5,70,0.20082640210226202,0.09979171294609313
A#,6,82,0.0924284877526256,0.05393169206782496
A#,7,94,0.02478253923363846,0.02679002108773159
A#,8,106,0.013025035768573107,0.019764689201583106
A#,9,118,0.00353097071430523,0.010844400871042775
B,0,11,0.003064484740235473,0.026091413587795053
B,1,23,0.03129274661785303,0.07015075740404345
B,2,35,0.08481033382795702,0.15737288353040066
B,3,47,0.052885340079196326,0.17049271176498842
B,4,59,0.3537635892677205,0.150618664243542
B,5,71,0.2453806713994775,0.08764538648048062
B,6,83,0.09107660053707117,0.04743779600847792
B,7,95,0.02723176190634809,0.025765761499741323
B,8,107,0.010223326203055296,0.017038689456166604
B,9,119,0.0033013295605199442,0.010378547751172288
C,0,0,0.00121489676807941,0.02620732442086687
C,1,12,0.003433075951400382,0.026018063714863187
C,2,24,0.038136849296323085,0.08283147499966796
C,3,36,0.10471533675931777,0.1677294884721111
C,4,48,0.11874458334259275,0.17106060138535217
C,5,60,0.7681340008458812,0.19506791293405062
C,6,72,0.389749047244962,0.093284243567374
C,7,84,0.1379119750456168,0.04294634240109695
C,8,96,0.03194309769220144,0.026463279412996005
C,9,108,0.007407298700978009,0.01283396024303224
C,10,120,0.0030933999236811625,0.009170733323930869
C#,0,1,0.0012388472583035395,0.02519379916742134
C#,1,13,0.003982333841789501,0.025362159054469056
C#,2,25,0.041352448340057836,0.08807060591315453
C#,3,37,0.13167116002461962,0.15191362618416793
C#,4,49,0.22716191428949975,0.18408431437869735
C#,5,61,0.7993276099959287,0.20005839344106427
C#,6,73,0.31779218723991703,0.09286584138848457
C#,7,85,0.1106611379137933,0.035524411866348186
C#,8,97,0.023081267096412592,0.02497396312045305
C#,9,109,0.006182130901335142,0.010725214797697611
C#,10,121,0.002888748636546197,0.007785770314238081
D,0,2,0.0012961366956373529,0.025494578282557648
D,1,14,0.004399013091807904,0.025594864921435295
D,2,26,0.05599262590665695,0.1282047594668085
D,3,38,0.15650629214751313,0.14590262076185886
D,4,50,0.475711065301822,0.18028196485575987
D,5,62,0.6452461264000693,0.18735607026084772
D,6,74,0.24950372912287908,0.09662575247065434
D,7,86,0.05661500270137451,0.03329687698210768
D,8,98,0.019319714819303578,0.02329552374506265
D,9,110,0.005766779984619973,0.010313684404090518
D,10,122,0.003035559768558401,0.007274584090063155
D#,0,3,0.0013366639468333028,0.025995463816328876
D#,1,15,0.005088280200481624,0.026794654455369365
D#,2,27,0.07616075571734442,0.21176433105883763
D#,3,39,0.2747277237586553,0.14525341856218088
D#,4,51,0.5206046607158263,0.15239274270037764
D#,5,63,0.6317593265518996,0.1810095388161447
D#,6,75,0.23674018058395555,0.10104496716784028
D#,7,87,0.046492994972858255,0.03442409794604132
D#,8,99,0.021361399368546787,0.021570859516256438
D#,9,111,0.0064554392537537215,0.01095372613330093
D#,10,123,0.002959730704490172,0.007241471622369066
E,0,4,0.0014921547360137737,0.024732157081406397
E,1,16,0.0059641192539689235,0.028069341959866247
E,2,28,0.0948073904296956,0.269935924350956
E,3,40,1.0596602109644329,0.19850617162679807
E,4,52,0.46375751620795846,0.11406205609760967
E,5,64,0.7810859085857284,0.16902903284370369
E,6,76,0.24822342197189037,0.09158958621072208
E,7,88,0.04717443480056822,0.03305137661993733
E,8,100,0.022643141198217868,0.0201889293158703
E,9,112,0.006709058764431508,0.011463969301572318
E,10,124,0.0025523142524171783,0.006886403017829217
F,0,5,0.0015605030499435955,0.024732607882826784
F,1,17,0.006699756564140671,0.027170453079573696
F,2,29,0.0814756071380003,0.23968870836572365
F,3,41,1.5925188001200936,0.26555787991448065
F,4,53,0.4948914126896597,0.12452470609190573
F,5,65,0.8808504112020134,0.14944015097628974
F,6,77,0.22191448846063916,0.074883216744395
F,7,89,0.0457374262164557,0.029492074584936114
F,8,101,0.02157546139676046,0.019752633198183704
F,9,113,0.006063350051618564,0.011012935015714327
F,10,125,0.002557535275402505,0.006542014525181556
F#,0,6,0.001726350329882783,0.025508199583104456
