Note,Octave,MIDI Note,Harmonic Mean,Percussive Mean
A,0,9,0.0008951357687647274,0.0827290218180786
A,1,21,0.003981809354352881,0.09497390432917457
A,2,33,0.18329000998460326,0.3872573142071875
A,3,45,1.00483086273425,0.33400345452993524
A,4,57,0.4167047473014785,0.2361434296630793
A,5,69,0.5006778391636387,0.1555517626225115
A,6,81,0.17088089267959192,0.07712553195607061
A,7,93,0.07750502048335456,0.057908316053288895
A,8,105,0.03311340118207127,0.03564418180270243
A,9,117,0.010123298432308652,0.0215057737804259
A#,0,10,0.0008630073480113439,0.09353947061114373
A#,1,22,0.004611787255084207,0.09437864828662529
A#,2,34,0.28696890988544693,0.3666162779666367
A#,3,46,0.8827086849021872,0.2870401694410815
A#,4,58,0.37070771486209514,0.23690280088493887
A#,5,70,0.3828161475198046,0.153319612893544
A#,6,82,0.16089647037269433,0.07355285622061372
A#,7,94,0.0651002422907209,0.05040314260500861
A#,8,106,0.027424529324338587,0.03486450457611049
A#,9,118,0.00948873023382104,0.020492350535875878
B,0,11,0.0009858581677750161,0.09403284222830685
B,1,23,0.006045887307280675,0.09720641408700866
B,2,35,0.4579533544579636,0.36898359389701624
B,3,47,0.8698478114650354,0.2763762337008965
B,4,59,0.444124287181172,0.27552490890639364
B,5,71,0.37300336255708344,0.1508929395258211
B,6,83,0.20809089700033578,0.06779772058929617
B,7,95,0.07717314998708574,0.05132983157268413
B,8,107,0.02368760238972073,0.030731345805161455
B,9,119,0.009696107965638736,0.02086142911852797
C,0,0,0.0015543320182171555,0.10625960871318549
C,1,12,0.0011210199662406912,0.09316534412821374
C,2,24,0.008258855162912348,0.09395465354114071
C,3,36,0.7006456184547639,0.4841983788855583
C,4,48,0.9830960354897781,0.2906802912961189
C,5,60,0.561769495384051,0.3311703760655723
C,6,72,0.5365010155198764,0.14019565959501726
C,7,84,0.2592998342696495,0.06263856919107914
C,8,96,0.07000096638308259,0.049015032960588366
C,9,108,0.021549227125818176,0.025335734426491986
C,10,120,0.01046357664989747,0.02124059632246319
C#,0,1,0.0016325483442126926,0.08807136136961222
C#,1,13,0.0013343689629307215,0.08860970856910626
C#,2,25,0.011635057921833085,0.09234898665940276
C#,3,37,0.8399250449688018,0.6660089641177868
C#,4,49,0.6807316472568199,0.2875201460279271
C#,5,61,0.4564087827914399,0.3351073001015647
