Note,Octave,MIDI Note,Harmonic Mean,Percussive Mean
A,0,9,0.011001983830800314,0.19234350673312522
A,1,21,0.03311766904311147,0.33935456680903725
A,2,33,0.3840091483081386,0.9041861848472189
A,3,45,0.5920682901774128,0.4138551831483466
A,4,57,0.38731316398961135,0.35599007955322975
A,5,69,0.20661358902685692,0.11893886510222561
A,6,81,0.06757193534621247,0.059076216565215015
A,7,93,0.036613518250505316,0.02714023344064854
A,8,105,0.013442354419854032,0.014861517341647213
A,9,117,0.006546971978694489,0.013375316157942572
A#,0,10,0.013083213176112963,0.20842475904098215
A#,1,22,0.03799033651045955,0.37908986861905336
A#,2,34,0.38423577426251826,0.8983925824371766
A#,3,46,0.35439232944845034,0.4544871924657004
A#,4,58,0.19837700016596047,0.3775948903353625
A#,5,70,0.281897681334873,0.12111669766431596
A#,6,82,0.07683869038123536,0.05677783087317773
A#,7,94,0.038239496950702875,0.02509037545005076
A#,8,106,0.012953405881759257,0.014315742224876873
A#,9,118,0.005898953208865523,0.013242562643498384
B,0,11,0.015053527537976109,0.2075708704169444
B,1,23,0.044925027526744404,0.4060075513074609
B,2,35,0.4303494727277041,0.9000174636623015
B,3,47,0.36411948391067495,0.5475611658225339
B,4,59,0.17908432680190406,0.3641126010956856
B,5,71,0.35586094578832383,0.12784308370054295
B,6,83,0.09970443364547683,0.052329641475534906
B,7,95,0.03895508442929306,0.022676685194402618
B,8,107,0.012889560446039722,0.014181738282711043
B,9,119,0.005468469334233115,0.014030800079012931
C,0,0,0.012263519297579146,0.16752585459164718
C,1,12,0.01596862289668523,0.19722338421684468
C,2,24,0.05411423217128969,0.46983300433677483
C,3,36,0.4880454839376131,0.8839389772751417
C,4,48,0.38918027877955647,0.6117670887475383
C,5,60,0.15617591697235098,0.32558049839308006
C,6,72,0.2643508753879262,0.11826625437986431
C,7,84,0.08652862216108943,0.04664268078486142
C,8,96,0.028313832855818892,0.021114313227953062
C,9,108,0.012215080607446126,0.01397843289714693
C,10,120,0.004952389254223145,0.013623388480634251
C#,0,1,0.010898657087414151,0.17208047822660433
C#,1,13,0.017475506981568318,0.20816340282518084
C#,2,25,0.06796122906109457,0.508390631322918
C#,3,37,0.5216749795888775,0.8358456737642999
C#,4,49,0.40430976634120586,0.6231340972705208
C#,5,61,0.1401594825375099,0.26165058049310547
C#,6,73,0.2130218758079601,0.10568142142860341
C#,7,85,0.08896620498530122,0.045577592799685804
C#,8,97,0.025294451164034594,0.020592332604957585
C#,9,109,0.012642992818537408,0.014555389109056913
C#,10,121,0.005172688709440542,0.01276201366245571
D,0,2,0.010776051267052682,0.15700946801760157
D,1,14,0.019248373744686118,0.2236455673328014
D,2,26,0.08602982589848573,0.547602363801505
D,3,38,0.5148032195606547,0.7151891601360777
