Note,Octave,MIDI Note,Harmonic Mean,Percussive Mean
A,0,9,0.002275443347337182,0.039814999190852775
A,1,21,0.008302648005666083,0.03451562339544435
A,2,33,0.08572158885458087,0.10674555506488087
A,3,45,0.37487735210796275,0.08267197555018166
A,4,57,0.29166516258933783,0.08169874734163175
A,5,69,0.09519091409536157,0.05893892759216425
A,6,81,0.18243679986606703,0.04217997602963623
A,7,93,0.06756299455200966,0.030085332073104102
A,8,105,0.016185797094303133,0.009832601449080892
A,9,117,0.005013256577731645,0.006638295635207313
A#,0,10,0.0025677270020201424,0.03975635243608115
A#,1,22,0.008518368577291536,0.03833339437828778
A#,2,34,0.12230163861596857,0.11004184535487808
A#,3,46,0.29429301073527114,0.08275641085778684
A#,4,58,0.2270285078460402,0.0847954690988481
A#,5,70,0.11179686941625379,0.05804655274580219
A#,6,82,0.18601337121115938,0.0399552613956389
A#,7,94,0.06692363956748978,0.028400307341824745
A#,8,106,0.01367252560904978,0.009177153305573482
A#,9,118,0.005041252400488486,0.007003317240310916
B,0,11,0.0031408821357945876,0.04102474203532922
B,1,23,0.008699668250667881,0.04023341442925001
B,2,35,0.1387966570891478,0.10647635810064635
B,3,47,0.24769248591897777,0.08085005814837436
B,4,59,0.18686235280010996,0.08583160475338214
B,5,71,0.14510588163369753,0.055281422817305685
B,6,83,0.1571414996200127,0.03758972616283281
B,7,95,0.06184362224436679,0.02429516979310141
B,8,107,0.01036220516941714,0.008483371742917484
B,9,119,0.00469255991674433,0.006601667135247002
C,0,0,0.0011124523971136363,0.018242678249584657
C,1,12,0.004256644988048535,0.04199575727723222
C,2,24,0.008567435098387605,0.04437007555671541
C,3,36,0.1497402801490844,0.1053196101348582
C,4,48,0.23744291566256945,0.0783254165261445
C,5,60,0.21225456340529764,0.08407747370728741
C,6,72,0.15298653540779722,0.05434841434197135
C,7,84,0.1279464543384533,0.03671912285212184
C,8,96,0.051678128056123485,0.020342181270933613
C,9,108,0.008472875287605788,0.0075287560505179155
C,10,120,0.0045806662518466275,0.006681805145703534
C#,0,1,0.0013092827852492458,0.020726893129869084
C#,1,13,0.00639109511725007,0.04565666905775158
C#,2,25,0.009954749340672071,0.05213235209114127
C#,3,37,0.19588961068095767,0.10751895247321996
C#,4,49,0.23498217789623463,0.07861495503320831
C#,5,61,0.210301518715559,0.08181428797321103
C#,6,73,0.12810481304082388,0.052601453797172036
C#,7,85,0.10235740803389551,0.03597097560193336
C#,8,97,0.04021065897803246,0.01774021986551771
C#,9,109,0.00788780289977766,0.006895861248168312
C#,10,121,0.004374253421328579,0.006604842750828576
D,0,2,0.00139018560863611,0.023663514740413383
