Note,Octave,MIDI Note,Harmonic Mean,Percussive Mean
A,0,9,0.0024249198032790303,0.004358699796048522
A,1,21,0.0008865996242679074,0.009869588943060371
A,2,33,0.010332089529487217,0.053798374913107926
A,3,45,0.3126767434758396,0.08490853018836457
A,4,57,0.12958636113986166,0.11550182898617835
A,5,69,0.1409627723134959,0.06874199430753616
A,6,81,0.07963446017767059,0.041131415189662936
A,7,93,0.030290283617923207,0.015585072889329477
A,8,105,0.01486006312795822,0.007976580471342502
A,9,117,0.005790207646918564,0.0039728670988305485
A#,0,10,0.0024452642464157853,0.004466546821880057
A#,1,22,0.0009134089056576943,0.011854930298711885
A#,2,34,0.01714870857089641,0.07606785703737338
A#,3,46,0.44701871571947754,0.09125355834299151
A#,4,58,0.12066662294842458,0.10696184101147435
A#,5,70,0.157280130113009,0.07051201485721778
A#,6,82,0.07410832959340875,0.03591107723154842
A#,7,94,0.03288154862125924,0.01403153040803221
A#,8,106,0.014290637381682347,0.007483188283028453
A#,9,118,0.004653432569436637,0.003676430934270962
B,0,11,0.00230934408914287,0.004417968401919717
B,1,23,0.0010783758564602585,0.014897867606622189
B,2,35,0.021226382039339277,0.08952306572894173
B,3,47,0.38727527220449726,0.0857657248317133
B,4,59,0.0985605032674604,0.09082736563850213
B,5,71,0.12695794122772064,0.07874345632697273
B,6,83,0.04924680273919379,0.028292180025315198
B,7,95,0.023881259476386262,0.012922227240455268
B,8,107,0.010768965702541225,0.0067025274799987515
B,9,119,0.004473695331486561,0.003608941206070455
C,0,0,0.0044350474703416945,0.0056971085510355264
C,1,12,0.0018889784039545939,0.003997330175009259
C,2,24,0.0014741724679272015,0.019075949087495197
C,3,36,0.027416164958488642,0.08154081995716596
C,4,48,0.3519910550512721,0.09375569459696872
C,5,60,0.12252459075563747,0.1073891100261642
C,6,72,0.11044766361744647,0.08223892405993193
C,7,84,0.04627988750772609,0.027401739153036352
C,8,96,0.020234986347666233,0.011846459849735907
C,9,108,0.0114995391117368,0.006801654214828983
C,10,120,0.00622088634766822,0.0035747344502072825
C#,0,1,0.004964675276864937,0.005837664169826042
C#,1,13,0.0016893115945899758,0.00396913016807355
C#,2,25,0.001964985622841533,0.024347660673315587
C#,3,37,0.05596734529525035,0.10344367986028098
C#,4,49,0.3496286968987615,0.11263697154124926
C#,5,61,0.13698082256035282,0.12303333539794356
C#,6,73,0.11064472152901562,0.07602382262882397
C#,7,85,0.04407470864956313,0.02623662962247113
C#,8,97,0.021139482981726875,0.011240209686833081
C#,9,109,0.012247585422787671,0.007091704218356936
C#,10,121,0.0054961604831332694,0.003473556879542133
D,0,2,0.006248418109728535,0.006196666162295292
D,1,14,0.0015831948808300092,0.0042803720186277506
D,2,26,0.002577827829671181,0.031127328707633926
D,3,38,0.1166736198031611,0.1360820263752317
D,4,50,0.29316141081679364,0.11903340445084237
D,5,62,0.10643476958383057,0.12304881551097258
D,6,74,0.07258861183890965,0.05679506270333259
D,7,86,0.03049341475955318,0.023757856613786845
D,8,98,0.018347150817068433,0.010978360224503343
D,9,110,0.012344337390223845,0.006769619994337255
D,10,122,0.005974673643970743,0.00358573155281051
D#,0,3,0.004823752091644044,0.005793170475711938
D#,1,15,0.0013516884451679968,0.004282670656310427
D#,2,27,0.00410454725865176,0.04488456356588751
D#,3,39,0.22423876766837106,0.16004367498491237
D#,4,51,0.33517798287314965,0.12375964534197273
D#,5,63,0.17001854543866007,0.11356010283166793
D#,6,75,0.1047810723085254,0.05112438368395436
D#,7,87,0.036578746699660235,0.022165132303738764
D#,8,99,0.017263566637269082,0.010792410098192562
D#,9,111,0.008738534233798473,0.006120695765766696
D#,10,123,0.004513679686281909,0.003102328229099718
E,0,4,0.003391352177018834,0.005377581949633941
E,1,16,0.0011471866573144543,0.004485823639908765
E,2,28,0.004361590084873422,0.04799224869494587
E,3,40,0.3958806402134555,0.19016238254170895
E,4,52,0.341628614472518,0.10415633806420957
E,5,64,0.3421317422184986,0.10813170510878788
E,6,76,0.12246858667818009,0.05377060521652492
E,7,88,0.040398755949673786,0.020346277637869285
E,8,100,0.020735323139175883,0.010509923140670356
E,9,112,0.00713766167666736,0.006314669006518063
E,10,124,0.0039015622929821016,0.002943882483062135
F,0,5,0.0033288127356153265,0.004900282554107348
F,1,17,0.0010582234491686353,0.004953471042140274
F,2,29,0.004309396857519364,0.048629840562759145
F,3,41,0.4817085257239494,0.17190011081356185
F,4,53,0.4315556587116149,0.09549320596357988
F,5,65,0.4062407480864227,0.10335899536468841
F,6,77,0.1281641941881887,0.0529880820245054
F,7,89,0.03565559716726637,0.018895489869503446
F,8,101,0.026344557577774826,0.009765515365486796
F,9,113,0.00813216264527927,0.00664292290048604
F,10,125,0.0029674909224151128,0.0028065059861557286
F#,0,6,0.0037695829233830437,0.00535961713134268
F#,1,18,0.0010799040478189814,0.005809746646375697
F#,2,30,0.00458451049167044,0.049354092223185
F#,3,42,0.6165659653824846,0.16269897464386102
F#,4,54,0.4945889666354404,0.10831038135027346
F#,5,66,0.2675148592911145,0.08324043413368293
F#,6,78,0.10679834003974974,0.04969485204784504
F#,7,90,0.02986800562400991,0.01908601480004027
F#,8,102,0.018991379714768296,0.00919803991028425
F#,9,114,0.006628198530269666,0.005936156177590379
F#,10,126,0.002379033555986356,0.002605924930309166
G,0,7,0.0037233963494727315,0.005312090015291755
G,1,19,0.001011280401276775,0.006770932979196692
G,2,31,0.005259553911751834,0.055185090671818225
G,3,43,0.5146144169191162,0.13246806243026543
G,4,55,0.38953370621029487,0.10658614155236444
G,5,67,0.11957497775748781,0.07364102621339658
G,6,79,0.08680421124271015,0.04337104523693396
G,7,91,0.032897803175109326,0.01869210233766271
G,8,103,0.014719583932600843,0.008653594531831581
G,9,115,0.006537079097570927,0.005397031094024107
G,10,127,0.0024089462297143104,0.002445004292114911
G#,0,8,0.00290758201286669,0.004623979771635865
G#,1,20,0.0009352103884627808,0.008523254625631938
G#,2,32,0.0068849618026987905,0.05676050991711372
G#,3,44,0.2887227149219015,0.09033592968575078
G#,4,56,0.18656390203157047,0.10205563260842503
G#,5,68,0.11000600507010704,0.07268256811118086
G#,6,80,0.08817888312290657,0.04125466523987309
G#,7,92,0.03385536880548985,0.017412812960831206
G#,8,104,0.01606283209937197,0.008180910985310125
G#,9,116,0.007695110299171844,0.004713831929996099
