Note,Octave,MIDI Note,Harmonic Mean,Percussive Mean
A,0,9,0.005338790603830355,0.0062226555868022185
A,1,21,0.0014803442588954363,0.0030906542528502472
A,2,33,0.03885929181331872,0.07394459181911218
A,3,45,0.0793237769663857,0.06588291597436513
A,4,57,0.3005416112113973,0.09438960308361359
A,5,69,0.1927880779612319,0.07234785223679782
A,6,81,0.2801680915320777,0.04650565523905594
A,7,93,0.14984933781449672,0.023658881652596876
A,8,105,0.07235773888650604,0.019518152065465776
A,9,117,0.01154263865737753,0.0067179963794902755
A#,0,10,0.004608156115453383,0.005523855130550426
A#,1,22,0.0015702028470168498,0.003043237172336449
A#,2,34,0.04900329368319722,0.09337175281695909
A#,3,46,0.1353970831512499,0.07806052052452683
A#,4,58,0.25730278774980886,0.09195041800206533
A#,5,70,0.18091379261923926,0.07372236005482277
A#,6,82,0.2718855935746348,0.04687779679140953
A#,7,94,0.12873934887198527,0.02158675458754342
A#,8,106,0.0672549157894835,0.019930560328559846
A#,9,118,0.009403346161168702,0.0052403197141098765
B,0,11,0.003762589042832678,0.004668898527073585
B,1,23,0.001772944172710073,0.0034604305063265966
B,2,35,0.08799129829580322,0.14206345833024364
B,3,47,0.14459525692304454,0.07922067092450379
B,4,59,0.16469461294136886,0.08413499142760242
B,5,71,0.11520535579167275,0.06797074652661594
B,6,83,0.16608754162259906,0.050581643817525036
B,7,95,0.05909511794725852,0.022017951281255645
B,8,107,0.046059230625055195,0.020132104090971655
B,9,119,0.005666600860108371,0.003981946725656198
C,0,0,0.0076866133410752316,0.008259549206337275
C,1,12,0.003451423764497607,0.004394540424630042
C,2,24,0.002097121682836871,0.0041584817787222355
C,3,36,0.11760102555757726,0.17007842394735206
C,4,48,0.17764912530267402,0.09582501317911088
C,5,60,0.16786651221304894,0.0897969190870813
C,6,72,0.16200629469324282,0.0665168529971563
C,7,84,0.18393344252726024,0.047886656926487824
C,8,96,0.08193687038354336,0.020335392511742226
C,9,108,0.04707302432786792,0.02077935811796624
C,10,120,0.004514788027728732,0.003263480927985024
C#,0,1,0.008690516422521855,0.009178889929187112
C#,1,13,0.0032734906313621258,0.004118828780658137
C#,2,25,0.0026209190178902355,0.005512490155331746
C#,3,37,0.10498272528485114,0.13424452093309922
C#,4,49,0.16587438279132294,0.09160799284200177
C#,5,61,0.19870545768918194,0.09798341341029147
