Note,Octave,MIDI Note,Harmonic Mean,Percussive Mean
A,0,9,0.0019134457930676998,0.02039156543886512
A,1,21,0.0020803014011168378,0.015428495824949885
A,2,33,0.08671904364167575,0.11477693309949082
A,3,45,0.06946411248292937,0.07920775400313008
A,4,57,0.3785623497756011,0.10323521240017752
A,5,69,0.1166922061935163,0.0831000996802635
A,6,81,0.09444980979426962,0.0385624896258008
A,7,93,0.0783585637425865,0.025944624972331968
A,8,105,0.03893170264972945,0.018757112984266047
A,9,117,0.00483480025276719,0.005049650254811926
A#,0,10,0.001644215810983126,0.01971156603147861
A#,1,22,0.0023817629659514273,0.014848465533797145
A#,2,34,0.05045880545597474,0.08309558692016236
A#,3,46,0.10006395998634844,0.08451000725317771
A#,4,58,0.4620656516323033,0.11526866936236345
A#,5,70,0.15292483026248166,0.08355829152021783
A#,6,82,0.10045680569441928,0.03820856980181591
A#,7,94,0.061977924327252,0.02318117881760345
A#,8,106,0.04532060026383969,0.02056447590258185
A#,9,118,0.0036648055557170337,0.00430857081923959
B,0,11,0.0013379980094543277,0.01633381711229014
B,1,23,0.002986933546769807,0.014255926899331875
B,2,35,0.05600725438298123,0.08259967977408213
B,3,47,0.15647148524347773,0.09483068293781621
B,4,59,0.3465426046601514,0.10597141064732118
B,5,71,0.13096418887768402,0.07667842475722388
B,6,83,0.08377812978254368,0.03974030319230655
B,7,95,0.04376238148844596,0.022185278001736964
B,8,107,0.03908285247640908,0.02153412187671676
B,9,119,0.0030350489205849306,0.003453430701865886
C,0,0,0.00190816708044881,0.013013754262090496
C,1,12,0.001235187223707146,0.014947343168096957
C,2,24,0.0035910635158519417,0.014552603938995082
C,3,36,0.11414847411877027,0.10195446832695322
C,4,48,0.28972480888662067,0.10474695093851874
C,5,60,0.27514035572803286,0.11283397119827922
C,6,72,0.11457154152487914,0.06823334768794434
C,7,84,0.09467410228750875,0.03735743878704627
C,8,96,0.0630127479112837,0.020412925581000878
C,9,108,0.03621971258913105,0.02078129017821778
C,10,120,0.002269349202960681,0.0026379109155041693
C#,0,1,0.0019808068301495124,0.012868239770190755
C#,1,13,0.0011882497411029847,0.01417708988664555
C#,2,25,0.004534152685534948,0.014882872632590012
C#,3,37,0.12287198270323549,0.10035590675196741
C#,4,49,0.3697201704294522,0.11292631930074977
C#,5,61,0.2986100894453667,0.12211615569790579
C#,6,73,0.11010075925868684,0.06398298291454028
C#,7,85,0.09984741762895226,0.033826780131013444
C#,8,97,0.058185402761546975,0.02157798345962973
C#,9,109,0.031322718293970514,0.018445890865006528
C#,10,121,0.0016667902183186483,0.0020588010917393785
D,0,2,0.0019530599371608518,0.012779614326868097
D,1,14,0.0012042098397456393,0.013426577892355051
D,2,26,0.005970216647507141,0.015579371567880178
D,3,38,0.10301895981274091,0.1047064831510052
D,4,50,0.30377855294812317,0.10191401496001627
D,5,62,0.3278544712779166,0.11998780609749732
D,6,74,0.1077461332970852,0.06076950732702226
D,7,86,0.11649397796735099,0.03224342516520375
D,8,98,0.05793001499532942,0.022364834379765476
D,9,110,0.02363690286080588,0.015212696437453883
D,10,122,0.0013871890545688321,0.0016811668189217301
D#,0,3,0.0016896056559478011,0.013387540365333522
D#,1,15,0.0011733763478879332,0.014032935767307601
D#,2,27,0.00799279168359376,0.018682027248033663
D#,3,39,0.12913057064492695,0.12649525955616528
D#,4,51,0.2552842546778282,0.10412451711022093
D#,5,63,0.2923172720531251,0.1225049395626892
D#,6,75,0.10936591239052194,0.05893194111103339
D#,7,87,0.10643917985694197,0.03273805704669776
D#,8,99,0.06220682297996806,0.02312465425401988
D#,9,111,0.018243518977511402,0.012234618355894204
D#,10,123,0.0011829171553788573,0.0014682182780624137
E,0,4,0.001608290424898661,0.015056833475581595
E,1,16,0.0011924065221388686,0.014736779726352527
E,2,28,0.01486442673685207,0.03333649573893259
E,3,40,0.14082959720527974,0.13908536346844544
E,4,52,0.2081774110862925,0.09379872867484762
