Note,Octave,MIDI Note,Harmonic Mean,Percussive Mean
A,0,9,0.05950657669958286,0.25151228430517275
A,1,21,0.051366448669777846,0.22277134359786768
A,2,33,0.1404922414792893,0.3512362931611502
A,3,45,1.2661277694280975,0.24809015063805578
A,4,57,0.42412160932886456,0.2727796717957767
A,5,69,0.21433987012854536,0.1431769103920611
A,6,81,0.17739483126530287,0.07902987348125053
A,7,93,0.17019650799761507,0.07935415970968064
A,8,105,0.08932718865749065,0.056222825560620256
A,9,117,0.021765283263408684,0.029437209659036262
A#,0,10,0.04223932959741856,0.14744153475945687
A#,1,22,0.0436076159605063,0.21200794148208268
A#,2,34,0.21445196662418728,0.44679992223769716
A#,3,46,1.29597299973394,0.2688460006038491
A#,4,58,0.3909015053035513,0.29084030952026935
A#,5,70,0.173029270470196,0.14522523865205317
A#,6,82,0.15914822747869453,0.07801212189240497
A#,7,94,0.1374048660129025,0.08842173174921937
A#,8,106,0.11525769597116665,0.06733060943139398
A#,9,118,0.015268230968578394,0.025831730396045093
B,0,11,0.03469233175299503,0.14067872297121914
B,1,23,0.0434637610083902,0.2382800290567678
B,2,35,0.2700845726115638,0.5061936721784629
B,3,47,1.1584071193471384,0.2760851955622789
B,4,59,0.2659708432767835,0.2606179815108064
B,5,71,0.20659952440601365,0.12332194631227154
B,6,83,0.13592514829416516,0.07888010710613229
B,7,95,0.16295428232059453,0.0848787159462544
B,8,107,0.10945783524188374,0.07150261504189
B,9,119,0.014455441176113578,0.025696864959245107
C,0,0,0.03918579881308074,0.11593804482403665
C,1,12,0.04761745634824825,0.1547508223848592
C,2,24,0.042902539917700294,0.2424682540240343
C,3,36,0.3245904255843774,0.5049388847695898
C,4,48,1.2285591114687924,0.27887522564941253
C,5,60,0.30248286230947363,0.24352491061758624
C,6,72,0.6724973096105096,0.10470083189233477
C,7,84,0.24581763970361395,0.0769810036776934
C,8,96,0.17499379629323236,0.08022064184377083
C,9,108,0.08665558787042621,0.06186094773619288
C,10,120,0.013938108072930451,0.025967300487683132
C#,0,1,0.04128886081643428,0.12510081393138486
C#,1,13,0.05299584408559758,0.16868990296487044
C#,2,25,0.044809672890020004,0.26467004602782546
C#,3,37,0.32193414158005673,0.4493641353583645
C#,4,49,1.012219745286014,0.27476430988234185
C#,5,61,0.25079990156936105,0.207975941298819
C#,6,73,0.6315260765244256,0.10124314601917138
C#,7,85,0.23280518574312675,0.078571960830217
C#,8,97,0.12682131121281004,0.07793076247652643
C#,9,109,0.055549100584063586,0.0485661133121841
C#,10,121,0.014099056749454308,0.02500452816640033
D,0,2,0.0423521582175358,0.11901650964904142
D,1,14,0.04814515904280622,0.18790857966691807
D,2,26,0.053240686806020794,0.3217165261846672
D,3,38,0.48068447650369517,0.4197495533671051
D,4,50,0.7114724937481565,0.2827745985331938
D,5,62,0.13971072651914448,0.19160462863040367
D,6,74,0.2371774690284956,0.11148729829170402
D,7,86,0.24553344262443988,0.08586786276016024
D,8,98,0.10717119109691947,0.07520120733276181
D,9,110,0.046018120884384325,0.04195838069626629
D,10,122,0.013840504424996944,0.022968135648748896
D#,0,3,0.04675437228712774,0.16809254129198722
D#,1,15,0.060989314453775006,0.19069871024142446
D#,2,27,0.05985958305393073,0.3610414094369352
D#,3,39,0.7780531780507809,0.4589561601209914
D#,4,51,0.5104419687111599,0.3017208380552607
D#,5,63,0.14842365069047164,0.19135359671216898
D#,6,75,0.16729458107536727,0.11420412075556971
D#,7,87,0.2982801678551698,0.09377195558370313
D#,8,99,0.11279843608480601,0.07583307489152553
D#,9,111,0.04677035969978088,0.04502423717844435
D#,10,123,0.012045737760302313,0.020803062979361363
E,0,4,0.05272087072447226,0.21995745005431733
E,1,16,0.07710060581482824,0.21134570134801325
E,2,28,0.056735770745536165,0.3577661824024666
E,3,40,0.7599326547214579,0.45258879376250544
E,4,52,0.3662559394737174,0.3065766857772497
E,5,64,0.28067237383779203,0.21077233498172315
E,6,76,0.3656690443677234,0.1043202473168079
E,7,88,0.3350124411029863,0.08796502075300355
E,8,100,0.13208579645309237,0.06993113393202115
E,9,112,0.06846442041654165,0.0523832778278667
E,10,124,0.011249115165188417,0.02225293134231547
F,0,5,0.0401553373840335,0.1505194507785695
F,1,17,0.05735190824207563,0.21153488834704903
F,2,29,0.05676672546996484,0.3311820159966812
F,3,41,0.5387598081020311,0.3814166057831037
F,4,53,0.3374265143304373,0.2939032749048297
F,5,65,0.27507461258363747,0.19963900942519328
F,6,77,0.3534278894756359,0.10261582070860831
F,7,89,0.22931529407409107,0.07829085123920741
F,8,101,0.10221037444022507,0.05867075708956419
F,9,113,0.06454110784008381,0.055710822188158406
F,10,125,0.011301889741460208,0.02359435177327568
F#,0,6,0.04178323031383841,0.13726167317513807
F#,1,18,0.06641498826937202,0.23857025841335175
F#,2,30,0.06115807534161114,0.30744709237563284
F#,3,42,0.42537375834040464,0.3204242913426171
F#,4,54,0.35373660651238226,0.2805093934395299
F#,5,66,0.1905183075919687,0.16055753984390359
F#,6,78,0.18528694185529668,0.09727726394124184
F#,7,90,0.10884460721534327,0.07712169833826617
F#,8,102,0.06964332587219252,0.057274461422162956
