Note,Octave,MIDI Note,Harmonic Mean,Percussive Mean
A,0,9,0.09300934375071186,0.27350933574410363
A,1,21,0.1914281382480378,0.16897858645904465
A,2,33,0.4579269880302043,0.19387416514713368
A,3,45,0.3818528320683021,0.2660212042314216
A,4,57,0.30230427211480737,0.10399276522563067
A,5,69,0.0999634937088395,0.08177996431156274
A,6,81,0.0917467402589445,0.07132850488181468
A,7,93,0.06299395243550895,0.0612588562636613
A,8,105,0.043392942934087665,0.05107180906529934
A,9,117,0.019753062273345705,0.027785329633242966
A#,0,10,0.07575415897835494,0.2838785695780195
A#,1,22,0.24551500792539452,0.16472522600437237
A#,2,34,0.44419094111445734,0.21060574157041664
A#,3,46,0.3589490684433396,0.21590915672810837
A#,4,58,0.23840142532809386,0.11829330350150591
A#,5,70,0.08025381677035613,0.08244089749881064
A#,6,82,0.07430023046584647,0.06772648225462044
A#,7,94,0.054662854810263874,0.060551617173007576
A#,8,106,0.037411311536553866,0.05009495002255892
A#,9,118,0.01985973408357483,0.027194260203072265
B,0,11,0.0900834436288952,0.24971195467341636
B,1,23,0.24905555430265072,0.15527585979860511
B,2,35,0.4484235743455855,0.22891138089751809
B,3,47,0.46154422178852544,0.18851128073961723
B,4,59,0.1841402944930797,0.12200091592823807
B,5,71,0.07481990482819945,0.0834243204667395
B,6,83,0.07474967239447482,0.06354988383712873
B,7,95,0.05793614697803053,0.059613743213161235
B,8,107,0.033924903664538125,0.04722321350082346
B,9,119,0.01902906599190219,0.02441045962802218
C,0,0,0.12083811795357487,0.1959672265398355
C,1,12,0.10732118970317102,0.2327726533957272
C,2,24,0.22159220856518017,0.13674127829513585
C,3,36,0.5001539461814811,0.26226177410673224
C,4,48,0.8599546383590305,0.17490751857234504
C,5,60,0.20089074646388358,0.13378031655849035
C,6,72,0.11082784445004824,0.08744353782995488
C,7,84,0.11308195191915929,0.06377240222969344
C,8,96,0.08314679233447586,0.055348869375854294
C,9,108,0.03786688233103272,0.046285564276964355
C,10,120,0.016676612212749874,0.02303141636866549
C#,0,1,0.12433189665762223,0.24216914585230892
C#,1,13,0.08157685775234655,0.20615470309873568
C#,2,25,0.16495958923979226,0.12175778123904474
C#,3,37,0.5688896821632852,0.31907869824893753
C#,4,49,0.8728450116681066,0.17154604230957238
C#,5,61,0.17082016329764257,0.1348099344118386
C#,6,73,0.09212972697523769,0.08210687469377898
C#,7,85,0.0979637588838425,0.06252449156623448
C#,8,97,0.06895159563272593,0.05294820578378296
C#,9,109,0.03098741418784745,0.041521908581645756
C#,10,121,0.015604177887391652,0.021991512297733464
D,0,2,0.11174260166947793,0.20034838953822082
