Note,Octave,MIDI Note,Harmonic Mean,Percussive Mean
A,0,9,0.014628806250366472,0.062495834448007666
A,1,21,0.04553309330814197,0.2754866783017825
A,2,33,0.4878362650413725,0.33650533188126686
A,3,45,0.5147995612259126,0.30673597965168053
A,4,57,0.2843632604622944,0.2510175384692636
A,5,69,0.309472313300457,0.14907834683006949
A,6,81,0.4799663559919394,0.13220414679798456
A,7,93,0.16038758508900758,0.10711260137588617
A,8,105,0.04624726629413737,0.057535324261076964
A,9,117,0.020861437640181182,0.03016651897964843
A#,0,10,0.015066533897769992,0.0582102375552051
A#,1,22,0.04789228632010318,0.2525073207470414
A#,2,34,0.9523431346220845,0.412641543762721
A#,3,46,0.6694759133310166,0.3347586454717778
A#,4,58,0.3921740671325917,0.18950350681638192
A#,5,70,0.42130512349483,0.16119231400164669
A#,6,82,0.36119959109274746,0.12160687775043946
A#,7,94,0.12465908461594696,0.09047408504172738
A#,8,106,0.03864879408255637,0.05484724245984959
A#,9,118,0.016969348325859668,0.02793507090245967
B,0,11,0.01847392015005429,0.06421235288497511
B,1,23,0.05220377561223935,0.2080765896172502
B,2,35,0.8657783465442948,0.45753731334111525
B,3,47,0.6270107524228649,0.4732244025648467
B,4,59,0.3784092839285061,0.24611332656788418
B,5,71,0.30414915513936136,0.15716802268578153
B,6,83,0.17672749084735087,0.11441788108205993
B,7,95,0.06982698547020441,0.07816682701443203
B,8,107,0.03393559227666489,0.052400917089969315
B,9,119,0.014168335867738373,0.02629521387236685
C,0,0,0.008218598696921393,0.07194934765003384
C,1,12,0.02277943607266186,0.08528887582744157
C,2,24,0.06169394149835787,0.15867987783160042
C,3,36,0.3502879918844283,0.4599278411149942
C,4,48,0.3103154930770853,0.4213737052088114
C,5,60,0.3112965486398663,0.2619392933150452
C,6,72,0.2356008848662533,0.14697285838998803
C,7,84,0.17624332534941642,0.11437951693105121
C,8,96,0.07985406035180194,0.07156781094054146
C,9,108,0.04126541134219105,0.0559130916623288
C,10,120,0.01645810505752933,0.028384367546868437
C#,0,1,0.008050241802874263,0.05600734514837545
C#,1,13,0.024127143270162268,0.1099157518365303
C#,2,25,0.07091894375171102,0.11566052870721792
C#,3,37,0.18329078772286472,0.39250625652799837
C#,4,49,0.12867638367344195,0.27803604309513713
C#,5,61,0.330445132839254,0.27433386904390195
C#,6,73,0.3010930439494697,0.13707494904758116
C#,7,85,0.19947812302119702,0.11561810269241828
C#,8,97,0.08138937784474792,0.07203423107411608
C#,9,109,0.03359836986811855,0.05160192353745141
C#,10,121,0.01640200280559996,0.029995230051853526
D,0,2,0.00854251426892052,0.05316067242292245
D,1,14,0.02548887590588073,0.12119490032219339
D,2,26,0.08696738680530752,0.12592040588869283
D,3,38,0.15584774663831782,0.3689227710317347
D,4,50,0.0989562911814542,0.27093890774631535
D,5,62,0.41913849204012077,0.21323845901013722
D,6,74,0.4931991934421625,0.13795027261818593
D,7,86,0.30187547579038326,0.11670473327348412
D,8,98,0.09219931445519525,0.07686707866811562
D,9,110,0.028969733636195254,0.04412971967875859
D,10,122,0.015315873102515096,0.0301980202185133
