Note,Octave,MIDI Note,Harmonic Mean,Percussive Mean
A,0,9,0.008429681296461176,0.09312032726017833
A,1,21,0.016076652092456272,0.12387790748466518
A,2,33,0.24657603950980106,0.690892008115186
A,3,45,0.29547090770932216,0.3334480485467113
A,4,57,0.4309283378574939,0.23170528318693004
A,5,69,0.32543566010435493,0.1620723124776772
A,6,81,0.1035420863130908,0.05093951718180156
A,7,93,0.03124380870248102,0.03076756264985931
A,8,105,0.010389791805760622,0.01781373773505533
A,9,117,0.002586036142382733,0.00878776734216722
A#,0,10,0.009644022886180844,0.09468422769925045
A#,1,22,0.019493655443374672,0.1309503394293461
A#,2,34,0.2708585320940286,0.6647826239866199
A#,3,46,0.34638878894453545,0.26819569939334814
A#,4,58,0.3189730332614915,0.1985944724766727
A#,5,70,0.23712354712598901,0.15724525556249716
A#,6,82,0.0764355313987704,0.04637550321562893
A#,7,94,0.025296504928922974,0.033652228996788956
A#,8,106,0.01009725404278702,0.017394379968578885
A#,9,118,0.00233366580196183,0.008283972611277383
B,0,11,0.011505522392353848,0.09432495030799393
B,1,23,0.02517665883932327,0.14273655155213222
B,2,35,0.24307551896433333,0.5682181033087356
B,3,47,0.37928329927076077,0.2164627615501837
B,4,59,0.3231504557823813,0.1883559051302548
B,5,71,0.23106606151495754,0.14944766260971706
B,6,83,0.07334320081101577,0.04286437643035483
B,7,95,0.027012418483641002,0.03350601029534259
B,8,107,0.010172664470274036,0.017467234176415655
B,9,119,0.002665134083747391,0.009017166850943416
C,0,0,0.00538162742696379,0.0414160140603498
C,1,12,0.012256669684156252,0.09409675445507533
C,2,24,0.03691108264584255,0.16663991951834772
C,3,36,0.24091545073202753,0.5188018942791682
C,4,48,0.7021748692274833,0.23317991084917888
C,5,60,0.5565992089895556,0.20849739542800846
C,6,72,0.2668799228514534,0.1290306189278613
C,7,84,0.0986284657449703,0.038345952646952744
C,8,96,0.030153176595101833,0.02906559580446109
C,9,108,0.01143719203584469,0.018373915663842666
C,10,120,0.0026788241579637794,0.009301715997860269
C#,0,1,0.0059680950786684716,0.05416588599544648
C#,1,13,0.012010990336780682,0.0908850811523641
C#,2,25,0.05693108752139629,0.2076482363978577
C#,3,37,0.34207696134355353,0.547074268273486
C#,4,49,1.4124826496951688,0.27917517684895177
C#,5,61,0.7156778964538267,0.24147056840196393
C#,6,73,0.21690758401502544,0.11489149729419626
C#,7,85,0.08587546439056348,0.03533704282732867
C#,8,97,0.024083491732816376,0.027463065440239652
C#,9,109,0.010550933921399169,0.01839842521639947
C#,10,121,0.002655696920939922,0.008912943000980394
D,0,2,0.005741936679726554,0.06088445840189149
D,1,14,0.01133966988848986,0.08743314379051208
D,2,26,0.06687726968684943,0.2618036448381384
D,3,38,0.33478030684858956,0.5370247536944102
D,4,50,1.242636055656613,0.3105843277754863
D,5,62,0.4986838994912238,0.21457607372120463
D,6,74,0.120643338186663,0.09539777231981346
D,7,86,0.05110462050688403,0.0335953613104172
D,8,98,0.017559882179986483,0.027367520414161323
D,9,110,0.009306175791884232,0.017731566848653426
D,10,122,0.0030962410715629626,0.008516033541166658
D#,0,3,0.005763891369671437,0.07453191085848251
D#,1,15,0.011817670341976947,0.09105418046875852
D#,2,27,0.07408667031501306,0.33903278480283805
D#,3,39,0.26910254626087765,0.5448799842875653
D#,4,51,0.7841187898724159,0.32108449822759433
D#,5,63,0.43460194938617785,0.21584783524184692
D#,6,75,0.16784272580699042,0.08777799415296943
D#,7,87,0.06455672516407873,0.034807211568098295
D#,8,99,0.019990146286952726,0.025603704881810813
D#,9,111,0.009933524669758036,0.017653073714225608
D#,10,123,0.003603824355802596,0.008796665923717714
E,0,4,0.006467833235571227,0.0797791798770504
E,1,16,0.011769565347235113,0.0905140876398423
E,2,28,0.08208344386863803,0.364971040872454
E,3,40,0.2645378090940569,0.5517044597220174
E,4,52,0.6450450395773996,0.26579888721775424
E,5,64,0.4368149743263877,0.19366762164384932
E,6,76,0.17954310954824318,0.08910149558783037
E,7,88,0.06325228799091065,0.03448827714164085
E,8,100,0.016032187092637176,0.02311248919352751
E,9,112,0.009202063399759354,0.016654985585408663
E,10,124,0.003880221536643397,0.008994726655386698
F,0,5,0.0067831108123596745,0.0858344295084684
F,1,17,0.011498812882882273,0.09798481815909048
F,2,29,0.08536852437053559,0.39557495539946225
F,3,41,0.3519296440689834,0.5355483350335252
