Note,Octave,MIDI Note,Harmonic Mean,Percussive Mean
A,0,9,0.03226974400207222,0.16629518430090123
A,1,21,0.040738724302881654,0.1940374680428014
A,2,33,0.10530383150992527,0.38598199916856973
A,3,45,0.8394898190069882,0.4808410152425187
A,4,57,0.26631567931883976,0.22007490216002357
A,5,69,0.19484634746256965,0.14438778138505756
A,6,81,0.12417094996061642,0.08848033159273597
A,7,93,0.08050089507564676,0.0736486757096688
A,8,105,0.025687468101204994,0.03522437111626184
A,9,117,0.008287529600738775,0.017024534038738354
A#,0,10,0.036248038743184476,0.1641254706890676
A#,1,22,0.03986804572716433,0.17952147992203135
A#,2,34,0.13434895354251733,0.4588935946677348
A#,3,46,0.5540929482843417,0.37728506761999914
A#,4,58,0.22253816313707375,0.24941127586851577
A#,5,70,0.23491674276599103,0.1459974910302985
A#,6,82,0.17333358155493717,0.09437214839864788
A#,7,94,0.08379677628315046,0.06674925288718483
A#,8,106,0.026148989846018874,0.03453378084599744
A#,9,118,0.006846531047775318,0.015171185489428942
B,0,11,0.059761073240413035,0.18412288751495032
B,1,23,0.040254929929049,0.16162403932174396
B,2,35,0.19900050028234353,0.537302100323255
B,3,47,0.5517187058666495,0.29501915160032327
B,4,59,0.19911047831580306,0.2354199815605617
B,5,71,0.21664761394250184,0.13670875026780122
B,6,83,0.1692208007637111,0.10729594496625762
B,7,95,0.07599375813136833,0.0641305970041219
B,8,107,0.022850952610420208,0.033673740061989775
B,9,119,0.006029928266010301,0.01350665351814336
C,0,0,0.01646381813426135,0.15649622920573608
C,1,12,0.08033743043800352,0.21635561962532587
C,2,24,0.042599111295199665,0.16956219856726149
C,3,36,0.3627346115176843,0.6714367544514451
C,4,48,1.0170312622578854,0.26200072625552634
C,5,60,0.21756054535247368,0.21522642843871115
C,6,72,0.19385577331333131,0.1253933278394892
C,7,84,0.18092182439957832,0.11392649096762218
C,8,96,0.0747322811944123,0.0650141987007002
C,9,108,0.02563688970405199,0.03607608036495413
C,10,120,0.006283325035960004,0.012908345680993352
C#,0,1,0.017914095917815884,0.14554700219923256
C#,1,13,0.061583449192770215,0.20502936947015352
C#,2,25,0.04651902292836781,0.16215390113133493
C#,3,37,0.5096565707915821,0.8601019109524741
C#,4,49,1.1271850082092798,0.2567003581773325
C#,5,61,0.22271459874267033,0.20757290517614052
C#,6,73,0.19822719006244802,0.1274493798235705
C#,7,85,0.2004281430511779,0.1182790623773595
C#,8,97,0.07781590921932384,0.06980726742770033
C#,9,109,0.027561563224220775,0.039273455962399
C#,10,121,0.00605370603738294,0.012501698495036845
D,0,2,0.02420254039929304,0.12612940096860895
D,1,14,0.0404511060590907,0.1725926708240307
D,2,26,0.04900642658163571,0.15943922884810735
D,3,38,0.6774064653006184,1.0583213800602405
D,4,50,0.8719369716959926,0.22377229976395174
D,5,62,0.21063134971939232,0.17573441946827878
D,6,74,0.204492020595029,0.119299497221535
D,7,86,0.2364548467707143,0.1099574776061632
D,8,98,0.07902057475041023,0.06960359055411824
D,9,110,0.02672667339954675,0.03881421064218314
D,10,122,0.006588975584597596,0.013125944046002716
D#,0,3,0.02117333554833685,0.12759029147762602
D#,1,15,0.04473116260460561,0.1799766378133697
D#,2,27,0.05237211420638546,0.16694488952378744
D#,3,39,0.9258356135426448,1.2611040840310896
D#,4,51,0.8995753379127298,0.23090682933295345
D#,5,63,0.3031080232894223,0.18772102548216574
D#,6,75,0.25091757411459653,0.11048358245303012
D#,7,87,0.23509204072381817,0.09566121476688666
D#,8,99,0.0733444412932601,0.06313382485427885
D#,9,111,0.025805932110092973,0.036523647874902566
D#,10,123,0.007315910470042207,0.013565461040426368
E,0,4,0.02424239023340972,0.12619376139099064
E,1,16,0.052908152442720395,0.19105173413138912
E,2,28,0.05025631570038642,0.1551925981328839
E,3,40,1.1661240485531634,1.3754946386215279
E,4,52,0.7061925225453985,0.25146558576260714
E,5,64,0.28382884579695616,0.1760209833443741
E,6,76,0.1919331497094465,0.09913866794585774
E,7,88,0.12335993353801615,0.08775430421744443
E,8,100,0.04403879422548003,0.05584051886568612
E,9,112,0.02216384081239625,0.03370376221827479
E,10,124,0.007395348421196773,0.013828743378756104
F,0,5,0.028147173586268396,0.15606999665134663
F,1,17,0.05527245727908203,0.21405268043198045
F,2,29,0.06164391639957029,0.1685832708402954
F,3,41,1.221605020151914,1.2433328706125677
F,4,53,0.4456995889852135,0.293140718755456
F,5,65,0.28533223993895207,0.16097525600570506
F,6,77,0.155327581236543,0.09474236388870334
F,7,89,0.11479758882596194,0.08789212824752855
F,8,101,0.04061660539643514,0.05298472655560534
F,9,113,0.021087123991770873,0.031906551885554225
