Note,Octave,MIDI Note,Harmonic Mean,Percussive Mean
A,0,9,0.0005101247954345799,0.020709088972282165
A,1,21,0.0016499824566892933,0.021989939933838118
A,2,33,0.03924418937144573,0.21872351044699717
A,3,45,0.7750611951199418,0.1572776295527071
A,4,57,0.5640644144204306,0.22297620537008256
A,5,69,0.11945455751240147,0.18272567615920338
A,6,81,0.08983439199441753,0.07635530895146976
A,7,93,0.06413334241647757,0.05195577747343502
A,8,105,0.05727494029214677,0.04316089283129207
A,9,117,0.016359063932553274,0.029882330044469507
A#,0,10,0.0005442188444994574,0.020832510642290077
A#,1,22,0.0018727336114370645,0.022468937119977484
A#,2,34,0.047621809386275304,0.272718210867559
A#,3,46,0.8444928820731085,0.14151266400709653
A#,4,58,0.5879384631029058,0.23088256920903275
A#,5,70,0.12598802414710936,0.15910679644441025
A#,6,82,0.08061219467647722,0.0776714965792602
A#,7,94,0.06567602023572125,0.051311648647381754
A#,8,106,0.045385660813534026,0.03718418367245174
A#,9,118,0.015508312951230351,0.02957774882989135
B,0,11,0.0005667632485814393,0.020205375244923152
B,1,23,0.00225735051397055,0.023005589222275392
B,2,35,0.07177586019610907,0.34019415170207473
B,3,47,1.4689073226298406,0.13310776819709705
B,4,59,0.7475659329723722,0.2008619873296784
B,5,71,0.17072611078340058,0.1443039427413979
B,6,83,0.06512770158523613,0.06630998737754704
B,7,95,0.05200571612863852,0.048013788317617864
B,8,107,0.02672112076505312,0.030151567461582617
B,9,119,0.012868517921971445,0.02836614825102807
C,0,0,0.00046232394656360815,0.018982333372844256
C,1,12,0.0005893668425100698,0.0200039056721245
C,2,24,0.003113064656215985,0.0250301455068009
C,3,36,0.12238928857380242,0.40366958704452105
C,4,48,1.7982640269386663,0.1404016067024388
C,5,60,0.901184084684418,0.19964639566335884
C,6,72,0.22832881275006742,0.14730400281456835
C,7,84,0.05840516629187161,0.05235761459334379
C,8,96,0.04641174460969233,0.04478518841753346
C,9,108,0.025054030509609474,0.032580737895276275
C,10,120,0.011905619663634607,0.025401935337934136
C#,0,1,0.00044439773979715444,0.020445673774299962
C#,1,13,0.0006266545180654188,0.02069032102533396
C#,2,25,0.0041687586113992306,0.028885053142655635
C#,3,37,0.1311200855158417,0.39177328634513275
C#,4,49,1.112890275654424,0.14489837940195568
C#,5,61,0.7120434018530148,0.22054066592936894
C#,6,73,0.21372396359886553,0.14810634998765476
C#,7,85,0.05030100693129792,0.04724366741662169
C#,8,97,0.04275159300133274,0.042299813883495505
C#,9,109,0.04697478801611908,0.04211127513220782
C#,10,121,0.010913622500685592,0.024342869011508027
D,0,2,0.0005054814632520319,0.0207097915502278
D,1,14,0.0006543554068521589,0.021370711028048144
D,2,26,0.005746301767313936,0.035088690813916995
D,3,38,0.0761059635548848,0.32590279081038226
D,4,50,0.5624492795039217,0.15934885996880532
D,5,62,0.5820564498242109,0.26104326420648544
D,6,74,0.21145645300243995,0.14180565500800912
D,7,86,0.05606487500397057,0.0476536013872257
D,8,98,0.05267834990469531,0.041707102056112624
D,9,110,0.05458195417842202,0.04715162483728836
D,10,122,0.009670392783993308,0.02280044271468132
D#,0,3,0.0005748222630866998,0.020573867556885162
D#,1,15,0.0007062088741975295,0.02102677184551033
D#,2,27,0.007315954176163385,0.041659760680375614
D#,3,39,0.060774506883757205,0.29065043102204047
D#,4,51,0.32791903707672626,0.18858105602510725
D#,5,63,0.453421805086103,0.27060012796360794
D#,6,75,0.2007924900542393,0.13840407988381945
D#,7,87,0.05783698576215644,0.04888343269147071
D#,8,99,0.053290468722250815,0.04367503182360094
D#,9,111,0.048953377603712794,0.04359466051134079
D#,10,123,0.01045078990458238,0.020337698392332505
E,0,4,0.0005484963573093275,0.021383052571715567
E,1,16,0.00081413563857289,0.020761795458172864
E,2,28,0.01028743142568115,0.05471562537087133
E,3,40,0.08276439070390396,0.26003408698108876
E,4,52,0.208166070600013,0.2125422154673491
E,5,64,0.350805448547959,0.23438682676134937
E,6,76,0.15554116828185194,0.12440366914370839
E,7,88,0.0631079264683372,0.04877374090464047
E,8,100,0.07538101157485581,0.04748946722862496
E,9,112,0.03581519229298223,0.03744386591378624
E,10,124,0.009259642591850283,0.018168138428006235
F,0,5,0.0004892778519529148,0.020464595608292446
F,1,17,0.000936227705883539,0.020647763091795918
F,2,29,0.014303511817163822,0.07015007032380682
F,3,41,0.10663711324825678,0.21893891962591344
F,4,53,0.19858691902455775,0.2131572899045299
F,5,65,0.29268985124760244,0.19281811519178324
F,6,77,0.1037809159876068,0.10466276743933753
F,7,89,0.054257858385761464,0.04968946649498659
F,8,101,0.09006556066381338,0.04786617101614702
F,9,113,0.023656631090514663,0.03265599018412611
F,10,125,0.007228586990888801,0.015255760208692836
F#,0,6,0.00047063055182258197,0.02164805687200034
F#,1,18,0.001022281882244226,0.0212912820955813
F#,2,30,0.018248603476628676,0.09498763255378777
F#,3,42,0.13577189512738258,0.18407125500347582
F#,4,54,0.230716303894649,0.21327187778112044
F#,5,66,0.2872208484078383,0.1745621917257654
F#,6,78,0.08342811565805767,0.09005460723308868
F#,7,90,0.06368555110578512,0.05323508436632595
F#,8,102,0.07088218988627892,0.04283374039027312
F#,9,114,0.032394555012183635,0.03359560253709026
F#,10,126,0.007000175443245411,0.013161754791208489
G,0,7,0.00046125576419615247,0.021784137792689475
G,1,19,0.0011572444905052813,0.02155095470891088
G,2,31,0.02576456756703687,0.1331624388931959
G,3,43,0.1934522630773645,0.168145932112748
G,4,55,0.29538863910516305,0.23292578475455608
G,5,67,0.301919069437197,0.17143993329769797
G,6,79,0.08789117139310827,0.08222501566189994
G,7,91,0.08696316271663293,0.05696395132607389
G,8,103,0.03972773557617583,0.03785940053895663
G,9,115,0.02935386659940994,0.03285715780877177
G,10,127,0.006462828668047761,0.011859314952219117
G#,0,8,0.0004786040162001569,0.021493572266269464
G#,1,20,0.0013781877901623567,0.021295430530057585
G#,2,32,0.035228541763819586,0.17598038255185222
