Note,Octave,MIDI Note,Harmonic Mean,Percussive Mean
A,0,9,0.0007305710069920033,0.026471019987416144
A,1,21,0.002032056704000464,0.027537064086868564
A,2,33,0.06983173703939609,0.18299152485520065
A,3,45,0.4201662146043027,0.17944185434236307
A,4,57,0.5730685472428922,0.19064591706816597
A,5,69,0.20495430880628693,0.14696864955219613
A,6,81,0.11953538443698883,0.07324227012975097
A,7,93,0.0613342134804301,0.04940033348710879
A,8,105,0.06085068815541523,0.05031113960229106
A,9,117,0.035982854062550015,0.03195829239410206
A#,0,10,0.0007569869932818194,0.02448478231665031
A#,1,22,0.002349532712884284,0.02728896189339795
A#,2,34,0.07946696783446157,0.16750553468037838
A#,3,46,0.35016841111906527,0.16302174892739216
A#,4,58,0.5937413472086593,0.19353871886108964
A#,5,70,0.12842444414518922,0.12281603193319383
A#,6,82,0.10744998143309134,0.06558096781485273
A#,7,94,0.08132297750700483,0.05383688897478888
A#,8,106,0.030089533831523733,0.03517804612165315
A#,9,118,0.023362602252752305,0.02702259975333788
B,0,11,0.0008526829479674309,0.0252301032230507
B,1,23,0.003073787656382665,0.02942235540268786
B,2,35,0.11914039912579114,0.1759216194193474
B,3,47,0.5553580198694495,0.18365300163146614
B,4,59,0.887775595373378,0.19298080787094307
B,5,71,0.16368970147191264,0.1172722705482769
B,6,83,0.1293099785332878,0.05734981600520099
B,7,95,0.09438365035929645,0.05728276639279414
B,8,107,0.03785126253501913,0.03709209877224897
B,9,119,0.015570071635556513,0.02399965140335252
C,0,0,0.0007728662596914372,0.025357830056868192
C,1,12,0.000915179688475922,0.0259119010104365
C,2,24,0.0038107916799056266,0.03247626500870568
C,3,36,0.3025988969515134,0.2480288769859829
C,4,48,0.6255154610761499,0.19401835883409835
C,5,60,0.8621809645223716,0.18942176779344888
C,6,72,0.16241839601015529,0.11794801140519237
C,7,84,0.09714191961481579,0.05306774464534049
C,8,96,0.07024363525364848,0.05564100693537318
C,9,108,0.05574125415962236,0.04430985462212576
C,10,120,0.01461839589662589,0.022990862827743378
C#,0,1,0.0007241804386574748,0.02598375681204448
C#,1,13,0.0009755867147403542,0.02547181416922146
