Note,Octave,MIDI Note,Harmonic Mean,Percussive Mean
A,0,9,0.0004105486007513875,0.01323657707986475
A,1,21,0.002410285745264111,0.0232019850385846
A,2,33,0.06604725554674773,0.2121882568297297
A,3,45,0.15650206007487436,0.13621994059506226
A,4,57,0.822983692532674,0.1249933779888675
A,5,69,0.3092265076841433,0.11462874991260236
A,6,81,0.24455295441906608,0.10757847555471518
A,7,93,0.1249351663405392,0.059787744055968046
A,8,105,0.04084017616464321,0.03513911807579943
A,9,117,0.010661184832144852,0.013142653929784249
A#,0,10,0.00041733319801357487,0.013273870598812545
A#,1,22,0.003011033172357026,0.03011178614336317
A#,2,34,0.0642289612782879,0.20105866156884925
A#,3,46,0.13361945070057793,0.12244097962624306
A#,4,58,0.7910642413484363,0.1337767230534844
A#,5,70,0.22968247750080228,0.10045759538571065
A#,6,82,0.2563080277901332,0.12027340183075456
A#,7,94,0.0799769345939292,0.053308072447268304
A#,8,106,0.0384922587842971,0.03352599029494891
A#,9,118,0.01012708431949348,0.012654827829880554
B,0,11,0.000441698783205762,0.012591637276675383
B,1,23,0.004129470010699684,0.04071928994971069
B,2,35,0.059601177900368056,0.17548543850436374
B,3,47,0.16741319540694025,0.12342712971033692
B,4,59,0.635239047459839,0.14052655452037052
B,5,71,0.18936004068595258,0.09884843315231873
B,6,83,0.2557288128068019,0.11751958297087742
B,7,95,0.06712233506944762,0.05391524780813505
B,8,107,0.03799801864854903,0.03283372497623117
B,9,119,0.009312952425843986,0.011338208342681542
C,0,0,0.00036926654708325444,0.013996695047282239
C,1,12,0.0004978767895396754,0.012513716531558685
C,2,24,0.005590433754994005,0.05303493206617177
C,3,36,0.06350361482223477,0.16577563111851393
C,4,48,0.2559293941313197,0.1345804930572865
C,5,60,0.6083841407642735,0.15121527874816715
C,6,72,0.18639069844439604,0.0975346768372887
C,7,84,0.22183653597297695,0.11257643297178033
C,8,96,0.07744054242557198,0.059857718997904416
C,9,108,0.03445139967656308,0.03248993635655601
C,10,120,0.008826515754219192,0.010826781750377898
C#,0,1,0.00038724813848337557,0.014271699924703103
C#,1,13,0.0005969867869111402,0.012588964722207835
C#,2,25,0.007192827992978042,0.06434413259465901
C#,3,37,0.08873577165103375,0.17238210146506702
C#,4,49,0.5773123786075576,0.1372349428865217
C#,5,61,0.6032429647944215,0.14732619504848146
C#,6,73,0.17823893190332046,0.09289708702522907
C#,7,85,0.19921602524143286,0.11413702759872939
C#,8,97,0.10623226220228153,0.06882254443340112
C#,9,109,0.03744045647866986,0.033208140095631375
C#,10,121,0.007494111812738905,0.009621558529602954
D,0,2,0.0003826263529077424,0.013884478344715623
D,1,14,0.0006731035366291453,0.011936961460607331
D,2,26,0.009174654024798166,0.0763018754199689
D,3,38,0.09322339374704333,0.16709101092432224
D,4,50,0.7505440597737674,0.13669364678138496
D,5,62,0.5008447170984764,0.1349772863472456
D,6,74,0.18564861077381514,0.0896449453256292
D,7,86,0.18385506981947622,0.10166054756461854
D,8,98,0.1139045097552421,0.06711977690868372
D,9,110,0.03644678081898614,0.0309580771432603
D,10,122,0.007323019464211843,0.0106758139247262
D#,0,3,0.00040075961870914066,0.013193361730623498
D#,1,15,0.0007832539605092757,0.01193366657522229
D#,2,27,0.012685805407631182,0.0922407563861105
D#,3,39,0.07251723305255195,0.1472051392997654
D#,4,51,0.4591244189719921,0.11708187610251404
D#,5,63,0.27547024154457905,0.11722171175864102
D#,6,75,0.13582231814610682,0.0828864084258138
D#,7,87,0.11917694442078636,0.08624870538808735
D#,8,99,0.07321231750785272,0.05641821416699482
D#,9,111,0.02850365994894313,0.025952220908038764
D#,10,123,0.006370051969859379,0.008919555015152856
E,0,4,0.00040650060041444273,0.013839679381618914
E,1,16,0.0009454017038317148,0.012644275542222439
E,2,28,0.018051768975968222,0.1128900912447897
E,3,40,0.07261800585513813,0.1486229245293764
E,4,52,0.31069561041613347,0.11643837149015016
E,5,64,0.21532374875508406,0.12978047238264068
E,6,76,0.1232135549130668,0.08219699235543407
E,7,88,0.10954155219636531,0.07888371652012224
E,8,100,0.056644199408800486,0.0477509186200855
E,9,112,0.022519446840333184,0.02180286721827535
E,10,124,0.00569096481551432,0.006556127642070852
F,0,5,0.00040192620885744787,0.013852557693880045
F,1,17,0.0010678407512440446,0.01288952887408961
F,2,29,0.02391526428270678,0.13255347545139035
F,3,41,0.08638338865908396,0.15078133349845868
F,4,53,0.3194810418050521,0.11581780028459192
F,5,65,0.19930014941506033,0.12801605217997433
F,6,77,0.11495914224367443,0.0818149303054933
F,7,89,0.11681740279879846,0.07375571524837972
F,8,101,0.055385165017287595,0.045665174265301124
