,MIDI Note,Note,Octave,time,value
3773,61,C#,5,29,0.10168741907291537
3774,62,D,5,29,0.1493114591828744
3775,63,D#,5,29,0.14179424259266682
3779,67,G,5,29,0.13649207448264514
3791,79,G,6,29,0.11816929902488889
3792,80,G#,6,29,0.12363671040126138
3891,51,D#,4,30,0.11138860134522313
3892,52,E,4,30,0.1328153824829752
3893,53,F,4,30,0.10043029539324533
3901,61,C#,5,30,0.23102868039470173
3902,62,D,5,30,0.27346175812593476
3903,63,D#,5,30,0.14675582734318057
3904,64,E,5,30,0.17096401952117263
3905,65,F,5,30,0.17821621397408058
3907,67,G,5,30,0.1471450391370916
3908,68,G#,5,30,0.2563995109349656
3909,69,A,5,30,0.28342635890320045
3910,70,A#,5,30,0.23070119921019017
3911,71,B,5,30,0.13793945246502598
3912,72,C,6,30,0.11444521092715636
3913,73,C#,6,30,0.10419187720978239
3920,80,G#,6,30,0.1417429339402699
3927,87,D#,7,30,0.10735749735942977
3932,92,G#,7,30,0.10993742197662851
4010,42,F#,3,31,0.10738251470581167
4013,45,A,3,31,0.1287569892213673
4014,46,A#,3,31,0.12214203441697984
4019,51,D#,4,31,0.13076856586668142
4025,57,A,4,31,0.12668522910726593
4026,58,A#,4,31,0.12990237252998396
4029,61,C#,5,31,0.26339551709148035
4030,62,D,5,31,0.21819656163957324
4031,63,D#,5,31,0.10458460529564995
4032,64,E,5,31,0.16709018627239516
4033,65,F,5,31,0.11174988153953459
4037,69,A,5,31,0.1040957831668316
4038,70,A#,5,31,0.1295886885729935
4137,41,F,3,32,0.13798743827483448
4138,42,F#,3,32,0.1765509381206741
4140,44,G#,3,32,0.14510980234023665
4141,45,A,3,32,0.16939584298120533
4142,46,A#,3,32,0.11329614929294023
4145,49,C#,4,32,0.11678886499087905
4146,50,D,4,32,0.21719406975440272
4147,51,D#,4,32,0.20717521541266515
4148,52,E,4,32,0.12854614782454749
4149,53,F,4,32,0.1758623757112511
4150,54,F#,4,32,0.1033335546374913
4151,55,G,4,32,0.10929878767623799
4152,56,G#,4,32,0.10989726743481126
4153,57,A,4,32,0.22075732943196713
4154,58,A#,4,32,0.14391519277283044
4156,60,C,5,32,0.10491276701834941
4157,61,C#,5,32,0.24561152376785608
4158,62,D,5,32,0.17778109960033808
4159,63,D#,5,32,0.11385634758737172
4160,64,E,5,32,0.21122438952119513
4161,65,F,5,32,0.16249679927940813
4164,68,G#,5,32,0.10800692572782469
4165,69,A,5,32,0.18959649217017527
4166,70,A#,5,32,0.10254252054352798
4167,71,B,5,32,0.11523810991508375
4255,31,G,2,33,0.10149951662460882
4264,40,E,3,33,0.10391474292915749
4265,41,F,3,33,0.184504610549236
4266,42,F#,3,33,0.25298381168767436
4267,43,G,3,33,0.2006728900363915
4268,44,G#,3,33,0.21100751125267897
4269,45,A,3,33,0.1691509271808025
4272,48,C,4,33,0.10050329514896547
4273,49,C#,4,33,0.18468786449122604
4274,50,D,4,33,0.31707299051534704
4275,51,D#,4,33,0.3181330636757157
4276,52,E,4,33,0.25879442380007006
4277,53,F,4,33,0.26823739388215134
4278,54,F#,4,33,0.26965288994911485
4279,55,G,4,33,0.1961468022712772
4280,56,G#,4,33,0.13846674066181322
4281,57,A,4,33,0.2526551219921711
4282,58,A#,4,33,0.20280504126548243
4285,61,C#,5,33,0.18830857849269428
4286,62,D,5,33,0.15469799651612243
4287,63,D#,5,33,0.10530164673071707
4288,64,E,5,33,0.2579205806522242
4289,65,F,5,33,0.16459138801415127
4293,69,A,5,33,0.15395554779804638
4294,70,A#,5,33,0.13184043837296341
4295,71,B,5,33,0.12202108252641237
4296,72,C,6,33,0.10198961630584313
4383,31,G,2,34,0.10516445882304723
4392,40,E,3,34,0.11458839919500248
4393,41,F,3,34,0.2073436343745859
4394,42,F#,3,34,0.31649623998701726
4395,43,G,3,34,0.29420076913720256
4396,44,G#,3,34,0.23893221134805703
4397,45,A,3,34,0.134825691307326
4401,49,C#,4,34,0.18530783245030316
4402,50,D,4,34,0.32715372844501756
4403,51,D#,4,34,0.3462175337434469
4404,52,E,4,34,0.22528977132550904
4405,53,F,4,34,0.21652578159478142
4406,54,F#,4,34,0.33662346658999587
4407,55,G,4,34,0.23852107472827427
4409,57,A,4,34,0.25528262704657806
4410,58,A#,4,34,0.18923866955411447
4413,61,C#,5,34,0.19111782815458794
4414,62,D,5,34,0.14906532083853183
4416,64,E,5,34,0.2650097934411282
4417,65,F,5,34,0.2211785641253916
4511,31,G,2,35,0.10485963059248903
4520,40,E,3,35,0.11065287209236459
4521,41,F,3,35,0.1965185647745937
4522,42,F#,3,35,0.3523232275055287
4523,43,G,3,35,0.34923152284527664
4524,44,G#,3,35,0.21275461262215692
4529,49,C#,4,35,0.10278251089192685
4530,50,D,4,35,0.2577102880014955
4531,51,D#,4,35,0.2556040426654579
4534,54,F#,4,35,0.27818253634172463
4535,55,G,4,35,0.20652454675140608
4536,56,G#,4,35,0.11344554477770599
4537,57,A,4,35,0.2407715761899059
4538,58,A#,4,35,0.19166382431066645
4541,61,C#,5,35,0.20108875895842285
4542,62,D,5,35,0.12935620143325127
4544,64,E,5,35,0.24923958581672775
4545,65,F,5,35,0.18705163503325986
4638,30,F#,2,36,0.10120514472681234
4639,31,G,2,36,0.1007783094714548
4649,41,F,3,36,0.1575145976479598
4650,42,F#,3,36,0.3527126636873004
4651,43,G,3,36,0.3499184847915056
4652,44,G#,3,36,0.15259723091442143
4658,50,D,4,36,0.18011216742440064
4659,51,D#,4,36,0.1632349394683197
4661,53,F,4,36,0.1067816151832772
4662,54,F#,4,36,0.2114172987713483
4663,55,G,4,36,0.13133099106054355
4665,57,A,4,36,0.19344482024856843
4666,58,A#,4,36,0.16692967388556182
4669,61,C#,5,36,0.15566346848898854
4670,62,D,5,36,0.15498802448624283
4672,64,E,5,36,0.15327796625135573
4673,65,F,5,36,0.10116770963671486
4777,41,F,3,37,0.1094660619322996
4778,42,F#,3,37,0.31810598330580564
4779,43,G,3,37,0.3039297611678433
4786,50,D,4,37,0.14324780731185452
4787,51,D#,4,37,0.1543786131211807
4790,54,F#,4,37,0.15799927550137177
4791,55,G,4,37,0.10954233666011186
4793,57,A,4,37,0.17229016146146628
4797,61,C#,5,37,0.1347535546349641
4798,62,D,5,37,0.10350727937929391
4800,64,E,5,37,0.13819126646114802
4801,65,F,5,37,0.11252244435044828
4807,71,B,5,37,0.10704788584364949
4906,42,F#,3,38,0.26181081002976486
4907,43,G,3,38,0.2377890283533438
4914,50,D,4,38,0.11640237469081359
4915,51,D#,4,38,0.141263890955288
4918,54,F#,4,38,0.12827084516459472
