Note,Octave,MIDI Note,Harmonic Mean,Percussive Mean
A,0,9,0.014309421260550754,0.012294422436106038
A,1,21,0.005515309875963185,0.013040452486442112
A,2,33,0.016862716290496377,0.03801106253974363
A,3,45,0.12417275927084216,0.04798743945321801
A,4,57,0.08064991451465443,0.05330785601911767
A,5,69,0.2212536353233491,0.04000557506366665
A,6,81,0.09790960859512156,0.016566378116099508
A,7,93,0.05104595931266777,0.012295734489777532
A,8,105,0.007799814706386123,0.0028988430635759053
A,9,117,0.003029360476754117,0.0016316841228445809
A#,0,10,0.013420530881484923,0.011271256573930426
A#,1,22,0.004992569666359569,0.013550474842416484
A#,2,34,0.01741251218067911,0.0358257297827969
A#,3,46,0.09631327994795592,0.04222535217982196
A#,4,58,0.0826740986841923,0.04277713862224821
A#,5,70,0.12215455626325444,0.034212167866921696
A#,6,82,0.07697253680251648,0.013018599311773706
A#,7,94,0.057724281053096266,0.011672503670244597
A#,8,106,0.007054005403872832,0.0027315668849376756
A#,9,118,0.002302204525192386,0.0014005746320745033
B,0,11,0.012763951876793007,0.01064789892535077
B,1,23,0.005116153431779279,0.015491629760437154
B,2,35,0.02062961927457974,0.034123104555270796
B,3,47,0.08482399258006453,0.036992600066169876
B,4,59,0.12199142913272937,0.0477580182062231
B,5,71,0.19201180702242077,0.02856444290312067
B,6,83,0.11320874787885564,0.011420493820389644
B,7,95,0.061306336622416996,0.010458172246803673
B,8,107,0.006786806234879185,0.0025991864417132145
B,9,119,0.0016973435844168656,0.0012278549132879626
C,0,0,0.020041048141830425,0.015721647540413154
C,1,12,0.012039168676235338,0.010353297137174172
C,2,24,0.004754478796006881,0.016158123426212097
C,3,36,0.025641265531651258,0.03201249912313544
C,4,48,0.08956411315644137,0.03653421256481519
C,5,60,0.13123245902569952,0.04414453502485156
C,6,72,0.16119308432121635,0.024778015141341002
C,7,84,0.09894946735823966,0.01195257533180316
C,8,96,0.056189145754402675,0.009460250328437118
C,9,108,0.005834307809414954,0.0024339271080699018
C,10,120,0.0014125805872060157,0.0012082917045474512
C#,0,1,0.019027177872391846,0.015611350398297443
C#,1,13,0.011003188413883551,0.010731207876337252
C#,2,25,0.005416271341900384,0.01935657569802898
C#,3,37,0.0304180547927177,0.03101336222977622
C#,4,49,0.13289208482176856,0.05133254840779037
C#,5,61,0.11957883167043927,0.04074435112937118
C#,6,73,0.10844919666198542,0.021814312471789676
C#,7,85,0.07635159522968808,0.012027704162274012
C#,8,97,0.05084100595960089,0.008518956894929073
C#,9,109,0.005032962774379174,0.0022600231800975553
C#,10,121,0.0012104738720786626,0.0011040769294426312
D,0,2,0.017189531820630728,0.013515029182715714
D,1,14,0.010585974643316048,0.010506413980048177
D,2,26,0.009112400799590999,0.03093385057514692
D,3,38,0.04557830391772682,0.035396289339078804
D,4,50,0.18107405584192518,0.09105768983110206
D,5,62,0.1300124646422611,0.040759472353798974
D,6,74,0.12926564709988989,0.020379976994730035
D,7,86,0.07270509860704366,0.011158752798788064
D,8,98,0.035384301265968636,0.0069800894557365935
D,9,110,0.0041096258890084315,0.0019882200724371094
D,10,122,0.0009680148724469781,0.0009325719632538949
D#,0,3,0.017422366720293615,0.013498416907439722
D#,1,15,0.010078881899480675,0.010026712050166323
D#,2,27,0.01952521227192464,0.05960569787294095
D#,3,39,0.13409379229109475,0.05498303525739441
D#,4,51,0.19745449297564963,0.09016062480588866
D#,5,63,0.2153760436827313,0.04243716822930302
D#,6,75,0.1609270958636398,0.019792742539038604
