Note,Octave,MIDI Note,Harmonic Mean,Percussive Mean
A,0,9,0.0005211662007478146,0.008013054750777524
A,1,21,0.0022923005730443465,0.026094260861934813
A,2,33,0.007852563205008208,0.02540292687293136
A,3,45,0.22259477347658854,0.03421654794192835
A,4,57,0.11573698180820385,0.05133249980220803
A,5,69,0.22184145259212593,0.04754268778364334
A,6,81,0.18860227438530458,0.037383166774517786
A,7,93,0.04920529301380206,0.016051546889285957
A,8,105,0.018349146207192725,0.0077843718278592395
A,9,117,0.006175047287403121,0.004553627372791554
A#,0,10,0.0005897472016743437,0.008385827842642826
A#,1,22,0.0026270266047052717,0.027929714858632486
A#,2,34,0.010247122163856346,0.024473562980809646
A#,3,46,0.17760669576178967,0.0365404651613785
A#,4,58,0.11054145147458698,0.05745892602207095
A#,5,70,0.435071123165768,0.04607969952326089
A#,6,82,0.19407602997501833,0.031726233211705
A#,7,94,0.05281167805998207,0.015240635490866279
A#,8,106,0.016963919834552664,0.008125199736244655
A#,9,118,0.004320841738838181,0.0036448655604818824
B,0,11,0.0007005795681303258,0.009049977895405367
B,1,23,0.0027745907911238938,0.028101698555242305
B,2,35,0.015306603637540616,0.027569602055323127
B,3,47,0.1671883432898159,0.042731530562930144
B,4,59,0.1078704388037453,0.057930249976442874
B,5,71,0.46909649305399304,0.046919704619347226
B,6,83,0.14976649960799587,0.02858660892024381
B,7,95,0.05460352316627007,0.01504885095823155
B,8,107,0.017400488153255383,0.008200538735345585
B,9,119,0.0026954525465725564,0.002914187052332088
C,0,0,0.00028273268982283216,0.006921714477021675
C,1,12,0.0007987810431912389,0.009995121931176703
C,2,24,0.003128376953101542,0.029596768869070384
C,3,36,0.02045488977991057,0.03111130226665327
C,4,48,0.1791488174678216,0.04843446289525051
C,5,60,0.08977722855184175,0.05184872677572329
C,6,72,0.2631223735832249,0.048713457165470674
C,7,84,0.07304823749456013,0.026383622391461598
C,8,96,0.04384379535565016,0.014616985707359973
C,9,108,0.014435423916311503,0.007490993872066425
C,10,120,0.002135214823970732,0.0025502960534020663
C#,0,1,0.0002906099791751782,0.007309493072289024
C#,1,13,0.0009443478153288671,0.011476832430169092
C#,2,25,0.003976940619946697,0.032988577251638215
C#,3,37,0.037266468153227074,0.03482198461322431
C#,4,49,0.19153881204943898,0.047847531288959015
C#,5,61,0.10124348430183579,0.04887735666047662
C#,6,73,0.20569926219378112,0.04997739580035808
C#,7,85,0.09190410004530862,0.026535865692839528
C#,8,97,0.046464347737516704,0.015602658423579883
C#,9,109,0.015691901378192298,0.007660331377418128
C#,10,121,0.0022206427033780707,0.002654612284401193
D,0,2,0.00033255303029677645,0.007274009223401539
D,1,14,0.001127435552228607,0.012502607592151462
D,2,26,0.004604157514010112,0.03445056965808177
D,3,38,0.10925994204610617,0.042739844086715946
D,4,50,0.23882500302945878,0.04032405399723599
D,5,62,0.1049098326537296,0.04985557401480828
D,6,74,0.18206632862448718,0.04695952540733871
D,7,86,0.08565759332511406,0.02668204628618618
D,8,98,0.04197576119445261,0.015533257931109185
D,9,110,0.01318212364306785,0.007377644675982366
D,10,122,0.0028967343329065077,0.002966473711759819
D#,0,3,0.00037048574848495044,0.00745651454649055
D#,1,15,0.001420108139186417,0.014668977960058298
D#,2,27,0.0049685655927914,0.033668886824275934
D#,3,39,0.15921011560392037,0.040942979913196946
D#,4,51,0.27545535743045063,0.03336729982701316
D#,5,63,0.10927546613213016,0.050892851875054476
D#,6,75,0.2176589150350075,0.048736562233226775
D#,7,87,0.08053752781494367,0.027083324745160793
D#,8,99,0.042583317561805854,0.014535554029590291
D#,9,111,0.01256859676005261,0.0071070766114779945
D#,10,123,0.003299169071848857,0.003066021889559935
E,0,4,0.0003882967802836211,0.007628381179533964
E,1,16,0.001496397421083496,0.015991824466146002
E,2,28,0.004639429192618406,0.030370076917164982
E,3,40,0.18182120253175357,0.044536642699092854
E,4,52,0.20562297909202074,0.028619075670376696
E,5,64,0.11918867161760849,0.04999971773639475
E,6,76,0.2555807007094086,0.049940707405525434
E,7,88,0.08579418847285435,0.024865684805279942
E,8,100,0.040134608236683925,0.013257189734893409
E,9,112,0.010618682582531949,0.006094488256845037
E,10,124,0.002743307599622541,0.002858351879588894
F,0,5,0.00038407284135103914,0.007517856553334147
F,1,17,0.00156777159641773,0.017215876946417727
F,2,29,0.004765688277599521,0.029641692466392207
F,3,41,0.2526865987913979,0.05470011255674636
F,4,53,0.14448989565723838,0.03568491558026494
F,5,65,0.15464968203296545,0.04916111285973331
F,6,77,0.2593186609285136,0.04372710015950345
F,7,89,0.08716452170886055,0.022494044439683676
F,8,101,0.033542512085205645,0.011660452694315902
F,9,113,0.007339517546895853,0.0045957986792284295
F,10,125,0.002647070813181076,0.002715548394889379
F#,0,6,0.0004230158814893222,0.007287796310407684
F#,1,18,0.0019093471504957372,0.02078861200563696
F#,2,30,0.00527605910052938,0.027854671362051883
F#,3,42,0.32040292305939794,0.05045318570344794
F#,4,54,0.13251246672558584,0.04354730552567117
F#,5,66,0.2556259837045556,0.046651315671883006
F#,6,78,0.3652568470114028,0.040623835553687496
F#,7,90,0.08846568602825101,0.022771983554169154
F#,8,102,0.030434810555791485,0.011136611220832978
F#,9,114,0.00804623328868446,0.004738054089418629
F#,10,126,0.0026588996207797255,0.0027293548557219367
G,0,7,0.0004408887320852776,0.007372703994910986
G,1,19,0.0021668360708123977,0.022181035113331367
G,2,31,0.005943390466299419,0.02695003673034436
G,3,43,0.30680146679890613,0.04309339515424129
G,4,55,0.10131950270844876,0.040493421199756234
G,5,67,0.23114482369147593,0.04473371650293919
G,6,79,0.2912584720721893,0.03818433656583622
G,7,91,0.05570999250468627,0.0188293013387745
G,8,103,0.02451943812826927,0.010084202031868958
G,9,115,0.00780906691147875,0.004786647515562652
G,10,127,0.0024574828925072335,0.002354095961714636
G#,0,8,0.00046162466979353216,0.007700913408217437
G#,1,20,0.0020954460739481605,0.023075042307844365
G#,2,32,0.006727886613805783,0.026035784438972934
G#,3,44,0.2744958136285924,0.037884705934089234
G#,4,56,0.10880169343189508,0.04472698136192544
G#,5,68,0.17416459901732959,0.04812407713759394
G#,6,80,0.19856420465936475,0.03962106651608027
G#,7,92,0.05012088113404795,0.016908497923231697
G#,8,104,0.023115017849831828,0.008760094404153112
G#,9,116,0.006768553647245309,0.004726828325337215
