Note,Octave,MIDI Note,Harmonic Mean,Percussive Mean
A,0,9,0.004154420064583377,0.01501208758547217
A,1,21,0.010378645090416937,0.034279999622305365
A,2,33,0.3153418089470746,0.21297768823990526
A,3,45,2.0414791606211176,0.08063568954630938
A,4,57,0.10020155359229889,0.1180726170539349
A,5,69,0.23708331141600414,0.07239284032210234
A,6,81,0.13355243951758325,0.03598574370340562
A,7,93,0.042104410437820095,0.013549009657160644
A,8,105,0.012316139985572272,0.006405868471228808
A,9,117,0.00433887224838842,0.0035965321699522293
A#,0,10,0.004026973290550086,0.015012268084653392
A#,1,22,0.013027452222650742,0.03757510884493142
A#,2,34,0.17854583033786775,0.1337590048537782
A#,3,46,1.0520361598270827,0.050312985651738376
A#,4,58,0.09688389296620002,0.11703721999609407
A#,5,70,0.19252700025531772,0.06383004678514131
A#,6,82,0.08728577597475595,0.032085082985815916
A#,7,94,0.02923692851176893,0.01259885150569063
A#,8,106,0.009144822055026605,0.0057151830006784
A#,9,118,0.004173096950137887,0.003407329809197113
B,0,11,0.003981173208153958,0.015300711699696923
B,1,23,0.01860349496362113,0.04951301987105639
B,2,35,0.059286732079084206,0.06373143648704188
B,3,47,0.16764342863716744,0.03581368271741501
B,4,59,0.08346175658265777,0.11410197199135769
B,5,71,0.1486736974573459,0.06085686124533675
B,6,83,0.118518663081812,0.027289592301705877
B,7,95,0.03682780257092342,0.011711901163736844
B,8,107,0.010921582778303428,0.0058644499860069105
B,9,119,0.003687044627511967,0.0033195247557116997
C,0,0,0.00729686204280837,0.0159354837843059
C,1,12,0.003881252818248645,0.015376262023144452
C,2,24,0.024640615545622312,0.05972591414289408
C,3,36,0.03675148263690588,0.046985075403035176
C,4,48,0.08619679427829362,0.04041861723356121
C,5,60,0.09594869708847667,0.11960930685044308
C,6,72,0.158857710950174,0.055741963529579365
C,7,84,0.10547183240229996,0.028378448528051478
C,8,96,0.03555018158463017,0.012361552401729094
C,9,108,0.0094243224139653,0.005382631331768094
C,10,120,0.003516490833446886,0.0034311712247091443
C#,0,1,0.006244028208316275,0.01595225409749474
C#,1,13,0.003817649905433824,0.01546504542726896
C#,2,25,0.04180941770369567,0.08339993051320921
C#,3,37,0.031317261358612264,0.04709988685810008
C#,4,49,0.10674305095599652,0.06688716269474217
C#,5,61,0.09519432450058289,0.09792655531180211
C#,6,73,0.19266258154610608,0.04932881178352472
C#,7,85,0.06548023831367414,0.026771394521890663
C#,8,97,0.027005473003231913,0.012499485198466788
C#,9,109,0.0066472994165446475,0.00474868663560612
C#,10,121,0.0032570833499140895,0.003165987234534887
D,0,2,0.005716579487788336,0.016043755422836585
D,1,14,0.003973794054483741,0.01539107890276203
D,2,26,0.07217901973200692,0.12065184606988157
D,3,38,0.039515163665073814,0.06302435740035152
D,4,50,0.2316029153285354,0.1186047282312495
D,5,62,0.11540053407193247,0.08991946972715051
D,6,74,0.22511364188937014,0.050255636887923644
D,7,86,0.062436446066021396,0.02399800973167488
D,8,98,0.026334116609083386,0.011422334304695289
D,9,110,0.007081156581395503,0.0045321825094676825
D,10,122,0.002967456647733726,0.0027874266889835802
D#,0,3,0.0054081629785706015,0.015490241533521637
D#,1,15,0.004173576876435002,0.01587604198899416
D#,2,27,0.11492133534430603,0.1638160161695737
D#,3,39,0.05947064655265627,0.0723972392002265
D#,4,51,0.40102881499952436,0.12956036653589434
D#,5,63,0.1516742958474587,0.08113462736582798
D#,6,75,0.171591678866731,0.0529891016024286
D#,7,87,0.0609708448888748,0.022617738430994436
D#,8,99,0.026540194485489645,0.010875280483761846
D#,9,111,0.005884877633123463,0.004080565489648983
D#,10,123,0.003001358211985331,0.002683940237945985
E,0,4,0.005234266481674687,0.015396265612768781
E,1,16,0.0044841927647128075,0.016614341859090165
E,2,28,0.11725784082018156,0.15563872913067978
E,3,40,0.08938793066481865,0.07934271056859438
E,4,52,0.6462151544429958,0.12598495246382152
E,5,64,0.25506851608559616,0.0994180594907955
E,6,76,0.24370131236650677,0.05128167707530415
E,7,88,0.10777737872761937,0.022238375125810603
E,8,100,0.031881348943169296,0.011068183334718573
E,9,112,0.005078773827743295,0.003891513395143376
E,10,124,0.002605836355116402,0.0025059970524688884
F,0,5,0.004786806772121398,0.015251119837045775
F,1,17,0.004970817889070276,0.016534755423542692
F,2,29,0.0970081869517459,0.12329260076919582
F,3,41,0.13019734471076588,0.07455265890388871
F,4,53,0.42034114208540524,0.0840899464679609
F,5,65,0.2181310600165931,0.08318503947142007
F,6,77,0.2037536287079761,0.041767546286687655
F,7,89,0.09385226169797388,0.019250698127828744
F,8,101,0.023794594536820254,0.009079075965709615
F,9,113,0.0043523081619450755,0.003608851141658073
F,10,125,0.0023228619957867385,0.0023858492013432114
F#,0,6,0.0049026536384435895,0.015488265865926491
F#,1,18,0.005806303129533367,0.01805896528535582
F#,2,30,0.10595090788055793,0.12221004970392656
F#,3,42,0.2820265528228706,0.07857161930431297
F#,4,54,0.08595176420415816,0.04584119796761986
F#,5,66,0.11424643636380141,0.06563179869436478
F#,6,78,0.08875585134792499,0.040396077766421574
F#,7,90,0.05480848779324285,0.01741633336072528
F#,8,102,0.014775164799984048,0.008124346116817997
F#,9,114,0.005500507845595449,0.003882336546248195
F#,10,126,0.0026072329184213304,0.002578066330420684
G,0,7,0.0046091180419513674,0.015356058235880212
G,1,19,0.008062614811641867,0.03044084991208421
G,2,31,0.1131060907511446,0.12081626875646853
G,3,43,0.4413314967080924,0.0728107022460641
G,4,55,0.027719307328171232,0.055753413512637906
G,5,67,0.08108768894555284,0.0637109790821106
G,6,79,0.09589466543637126,0.03931616726952548
G,7,91,0.04635063448975928,0.016613564713614932
G,8,103,0.01414911925687698,0.007920268226387446
G,9,115,0.005234595115688861,0.004083924163874205
G,10,127,0.0026127537533632544,0.00253857932420601
G#,0,8,0.004253916213190757,0.0151537352799285
G#,1,20,0.010076006528443813,0.03872981348094508
G#,2,32,0.19745478872227476,0.14753507633487242
G#,3,44,1.328208734273368,0.06895535405008299
G#,4,56,0.04648439517897845,0.08067651533177445
G#,5,68,0.11524365392945765,0.059885898169348216
G#,6,80,0.13662558245805015,0.03391469649395275
G#,7,92,0.04064473782825401,0.014430631296301379
G#,8,104,0.014106232104043393,0.00721722425140316
G#,9,116,0.004306145755452576,0.0038862923224029493
