Note,Octave,MIDI Note,Harmonic Mean,Percussive Mean
A,0,9,0.0004700503997288751,0.02083084213821368
A,1,21,0.001012271365044635,0.021159848232907123
A,2,33,0.03906784938855646,0.2104911510549645
A,3,45,0.7748993227376226,0.6503089252105982
A,4,57,0.36084935721144457,0.17650940886782115
A,5,69,0.3701818520602238,0.1550929748962198
A,6,81,0.1790362391425676,0.09232790928416003
A,7,93,0.06257372759622203,0.058265274052965284
A,8,105,0.016449137134029984,0.03630965383967599
A,9,117,0.008271928314670154,0.021770865688612393
A#,0,10,0.00046344143893302267,0.02013836699613678
A#,1,22,0.0010766552546239351,0.025413425150881064
A#,2,34,0.07166321529617187,0.2600005175242233
A#,3,46,0.7712569237239065,0.38519277384898937
A#,4,58,0.20652981986001331,0.1738227456107687
A#,5,70,0.2475826923681799,0.15643248959956346
A#,6,82,0.137005247282501,0.09043153955409049
A#,7,94,0.04948809733768229,0.052534187319024615
A#,8,106,0.01854006525477624,0.03361375314160568
A#,9,118,0.008316923760015532,0.020557325608639612
B,0,11,0.00046984379143153745,0.021482368947976265
B,1,23,0.0012533723418305038,0.029150474562261417
B,2,35,0.1168928818171488,0.30587042463699027
B,3,47,1.2504467450573566,0.30728624818864464
B,4,59,0.2226458765274246,0.20750931575830808
B,5,71,0.21936171740017116,0.157429122216349
B,6,83,0.12699513116434544,0.08601218653906956
B,7,95,0.04431623403721484,0.04755015371168377
B,8,107,0.0167203027563197,0.027423968161393513
B,9,119,0.00788356928992422,0.019964775553971935
C,0,0,0.000609670034913584,0.021135718293533397
C,1,12,0.0005122693812681243,0.021899193270524486
C,2,24,0.0015809495057140497,0.03905223519323067
C,3,36,0.13982087406355415,0.3564351689786724
C,4,48,1.5480259103688345,0.30055916894354834
C,5,60,0.2541717300321618,0.20282736763675566
C,6,72,0.1799885890595337,0.14762421757106664
C,7,84,0.09864942891797289,0.08313043521214077
C,8,96,0.04704217301972485,0.04726109257192254
C,9,108,0.01459924100546765,0.023265658375579475
C,10,120,0.0071076896166408395,0.018540426934800694
C#,0,1,0.0006095209110416382,0.019542717618934398
C#,1,13,0.0005729676070903224,0.021054608214087278
C#,2,25,0.002042558216673932,0.04687661601204318
C#,3,37,0.16293247752668363,0.4099025247652039
C#,4,49,2.1502143754146568,0.3170385796545239
C#,5,61,0.4525332480861355,0.23764286917403607
C#,6,73,0.1946143129956172,0.14952274008688343
C#,7,85,0.099670629832334,0.07352090470599063
C#,8,97,0.04813450670735871,0.04843831534419863
