,MIDI Note,Note,Octave,time,value
3281,81,A,6,25,0.2082769576184693
3282,82,A#,6,25,0.20146525400785034
3283,83,B,6,25,0.11381663827189416
3409,81,A,6,26,0.27020901049184565
3410,82,A#,6,26,0.4121217710431164
3411,83,B,6,26,0.17134847255060023
3413,85,C#,7,26,0.15052665954109806
3537,81,A,6,27,0.15779108514808587
3538,82,A#,6,27,0.24982127435732787
3539,83,B,6,27,0.12220709756384784
3569,113,F,9,27,0.12741266011869207
3572,116,G#,9,27,0.1269985319294503
3666,82,A#,6,28,0.1106466072333118
3669,85,C#,7,28,0.12267424241477477
3697,113,F,9,28,0.13983318482710452
3698,114,F#,9,28,0.10367966532465994
9425,81,A,6,73,0.12744693591716577
9553,81,A,6,74,0.11142229643139698
10453,85,C#,7,81,0.11773823907756638
10702,78,F#,6,83,0.12012398769254001
10703,79,G,6,83,0.10516611028813651
10705,81,A,6,83,0.17678392988013467
10706,82,A#,6,83,0.1759585737428856
10708,84,C,7,83,0.12339818238461907
10737,113,F,9,83,0.10606844573675377
10740,116,G#,9,83,0.11284757912547816
10865,113,F,9,84,0.16493468392913158
10866,114,F#,9,84,0.1406637062124778
10993,113,F,9,85,0.100738451132157
11125,117,A,9,86,0.12472648079989546
11126,118,A#,9,86,0.11892845042888132
11261,125,F,10,87,0.11679973710938549
11507,115,G,9,89,0.11222345163455535
11508,116,G#,9,89,0.10143763773426215
12753,81,A,6,99,0.10167665031756642
12886,86,D,7,100,0.11859151546145047
17489,81,A,6,136,0.12571855378985344
17616,80,G#,6,137,0.1000706474204145
17617,81,A,6,137,0.14831229132197057
17648,112,E,9,137,0.10512323829152648
17655,119,B,9,137,0.11133761624002675
17727,63,D#,5,138,0.12786631024448
17728,64,E,5,138,0.12015923616549908
17739,75,D#,6,138,0.14060096093961036
17781,117,A,9,138,0.12938697187720682
17782,118,A#,9,138,0.10758974133388334
17783,119,B,9,138,0.14531313381674685
17788,124,E,10,138,0.11351758796904789
17789,125,F,10,138,0.2278391950704356
17790,126,F#,10,138,0.1982825095172394
17856,64,E,5,139,0.1313945372589474
17867,75,D#,6,139,0.2116832735535127
17868,76,E,6,139,0.38733510985001607
17869,77,F,6,139,0.20705255647588608
17907,115,G,9,139,0.12801416743162758
17910,118,A#,9,139,0.1326511215904648
17911,119,B,9,139,0.1804260025229908
17912,120,C,10,139,0.11600771168401519
17918,126,F#,10,139,0.1022310084294242
17996,76,E,6,140,0.32429187625008726
17997,77,F,6,140,0.3366266763311027
17998,78,F#,6,140,0.10448089878983893
18032,112,E,9,140,0.14411868162052707
18033,113,F,9,140,0.12307523027519678
18034,114,F#,9,140,0.10994386416296478
18035,115,G,9,140,0.13870224409970736
18036,116,G#,9,140,0.10519262613624983
18037,117,A,9,140,0.10041154427719635
18039,119,B,9,140,0.11802161184953959
18044,124,E,10,140,0.18328449063647456
18045,125,F,10,140,0.19685803213822775
18124,76,E,6,141,0.17160285843700362
18125,77,F,6,141,0.2590255690756944
18126,78,F#,6,141,0.10988151131876256
18163,115,G,9,141,0.13167880588805378
18252,76,E,6,142,0.15598271165788705
18253,77,F,6,142,0.21225441624756644
18428,124,E,10,143,0.13144656182287592
18429,125,F,10,143,0.12080811258179178
19923,83,B,6,155,0.11461666180444914
19924,84,C,7,155,0.11667894561704145
23374,78,F#,6,182,0.1825911272987232
23375,79,G,6,182,0.2304352077229473
23376,80,G#,6,182,0.10353789781979318
23503,79,G,6,183,0.18856841297482416
23504,80,G#,6,183,0.10746266739008485
23508,84,C,7,183,0.12988582980512128
23629,77,F,6,184,0.10293171928326954
