Note,Octave,MIDI Note,Harmonic Mean,Percussive Mean
A,0,9,0.00787051046129122,0.007839854769640591
A,1,21,0.003059603566607412,0.006005648754750278
A,2,33,0.004235239839329642,0.022571072829932294
A,3,45,0.04683551140011504,0.03296971032693682
A,4,57,0.1859693871540071,0.05576508842182398
A,5,69,0.2006419303757342,0.062586957748878
A,6,81,0.12676053745762508,0.04847053834273007
A,7,93,0.051729812890576654,0.02876212203547301
A,8,105,0.016903929992286487,0.014415184722257215
A,9,117,0.00356959225957072,0.00555024309798548
A#,0,10,0.007658980013516643,0.007407657578840348
A#,1,22,0.002338721641295014,0.005884823340504193
A#,2,34,0.007620142467661677,0.03168351257939772
A#,3,46,0.04853772939359706,0.03458390746591104
A#,4,58,0.17281636050925003,0.05714478683423861
A#,5,70,0.19600511028938655,0.06294042308462747
A#,6,82,0.13712131551014045,0.04715237103314007
A#,7,94,0.048543318559154176,0.02541933424065071
A#,8,106,0.016740693996909705,0.013846365057286352
A#,9,118,0.003401043289611047,0.0054133507130228525
B,0,11,0.007855617111925407,0.007174650807457369
B,1,23,0.0017286028176020228,0.005769015101410063
B,2,35,0.010849050261961996,0.03624982280285645
B,3,47,0.06612458980093612,0.03402872277536233
B,4,59,0.16264694344606068,0.05226238443242641
B,5,71,0.18665178304241747,0.059786530892227845
B,6,83,0.12277370778212471,0.048050547927103344
B,7,95,0.03952416563655707,0.022805199008616658
B,8,107,0.016786258487804954,0.01355350158619727
B,9,119,0.003420716008506076,0.005469588343748324
C,0,0,0.013197486286675953,0.011721080420818476
C,1,12,0.006705735393231382,0.0065581701426513424
C,2,24,0.0014382732074046996,0.00625389996382078
C,3,36,0.013851890335113266,0.03570010370854993
C,4,48,0.12847030885317967,0.03725507950284596
C,5,60,0.2134166046173107,0.06267412055365672
C,6,72,0.24739394520075503,0.05782121186495052
C,7,84,0.13385682165680235,0.0465789774957918
C,8,96,0.04188846430653296,0.02059469911477483
C,9,108,0.017551670663860052,0.013155859229073094
C,10,120,0.0031148123160049637,0.005126075212396426
C#,0,1,0.01271828451085876,0.011743236495063942
C#,1,13,0.0064214292013641,0.00629990678740554
C#,2,25,0.0012654673128013596,0.006540751598642961
C#,3,37,0.02217386229664853,0.043114443210856966
C#,4,49,0.11163186120024635,0.03486504122283431
C#,5,61,0.21090819008244513,0.06346540237912696
C#,6,73,0.21553988466107973,0.05673687668370658
C#,7,85,0.10683596462068594,0.038737409339577894
C#,8,97,0.03271805402660959,0.018057748149162615
C#,9,109,0.014198849282381281,0.011767252623608771
C#,10,121,0.003088495463310004,0.005073333007977334
D,0,2,0.01195503315950243,0.011198841564109392
D,1,14,0.0057966940342856045,0.006144915199687993
D,2,26,0.0011431197686606362,0.0066817368993294275
D,3,38,0.03588063915141203,0.05625948425307887
D,4,50,0.07286297921269293,0.03923301102483892
D,5,62,0.1688483877366946,0.07045677683176685
D,6,74,0.1496146116171701,0.055342508739876846
D,7,86,0.07695206659365474,0.032859635780881864
D,8,98,0.023347004988947262,0.016142353309601887
D,9,110,0.010819608769462424,0.010661183773455945
D,10,122,0.003184316589737693,0.005214237612016827
D#,0,3,0.009986638256938964,0.009240400535809016
D#,1,15,0.006993048027921576,0.007449803503711002
D#,2,27,0.0009094757651595299,0.006462464936755858
D#,3,39,0.043859199002703006,0.05335383558946097
D#,4,51,0.13636957028114569,0.0689489635767014
D#,5,63,0.13276553682096542,0.07198385176483892
D#,6,75,0.12429278780057194,0.050057668389745895
D#,7,87,0.06209382345491707,0.033519793908390876
D#,8,99,0.018386329932866152,0.015406468621676508
D#,9,111,0.010113050656949086,0.010567494406827646
D#,10,123,0.003328088605371047,0.005454200829109099
E,0,4,0.009456939716647647,0.008643517878911636
E,1,16,0.01705677980074355,0.026019576054749943
E,2,28,0.0008021542138331775,0.006481252471408808
E,3,40,0.0648981331330458,0.05018670652189156
E,4,52,0.21530176746370971,0.0695445458731223
E,5,64,0.14036849957839334,0.07259788631632852
E,6,76,0.14893390727429653,0.04671872801232676
E,7,88,0.06875359304948755,0.03666129888518073
E,8,100,0.021238898727158412,0.014763006753384704
E,9,112,0.009932842256466349,0.009953857400859542
E,10,124,0.0034448993742042674,0.00614888250056147
F,0,5,0.009722919231242697,0.008810869447501786
F,1,17,0.029629568915972963,0.04697543210207642
F,2,29,0.0008797345069427719,0.00725955205178174
F,3,41,0.12688297289511127,0.0601851770689313
F,4,53,0.333634107515353,0.07182938906821323
F,5,65,0.1816040921076213,0.07742238649608699
F,6,77,0.19440948248116952,0.04286686723066076
F,7,89,0.08228363333150611,0.03358183407630484
F,8,101,0.021237118929463575,0.014169334151819497
F,9,113,0.008228706331185403,0.00844823147508654
F,10,125,0.0029916982090698687,0.005805625397855401
F#,0,6,0.009402778980922134,0.008677986887221295
F#,1,18,0.01612722546637217,0.02505443537540544
F#,2,30,0.0011121499500261936,0.008518350386261123
F#,3,42,0.12878864518106906,0.06141793488645159
F#,4,54,0.29859540560472286,0.06543180520239122
F#,5,66,0.15881027560557756,0.06666812528382726
F#,6,78,0.13852569635193115,0.03785608564990438
F#,7,90,0.06220182620262931,0.031117265879449768
F#,8,102,0.01588070529042925,0.01465555154821629
F#,9,114,0.006229749323210165,0.007736335410739041
F#,10,126,0.0024343736457094044,0.0047353080663299135
G,0,7,0.008184612133665621,0.007457547932756701
G,1,19,0.005130946781007868,0.0069217092113481905
G,2,31,0.001784825873317022,0.012287904660891219
G,3,43,0.10129224019028144,0.04851697004190573
G,4,55,0.19787019017557292,0.05173056051499127
G,5,67,0.13473383578773546,0.06076249841500509
G,6,79,0.08929413032010813,0.039379409818350614
G,7,91,0.048919884214958284,0.0314901117089625
G,8,103,0.018618497448767434,0.01595368294298959
G,9,115,0.00585170688141723,0.007294973405172498
G,10,127,0.0020957241777936394,0.003986582461729319
G#,0,8,0.008201190113629285,0.007560911956013497
G#,1,20,0.0037150466396691628,0.005930141397586102
G#,2,32,0.00280170820999301,0.01724609676983199
G#,3,44,0.07292277025129623,0.037535680526740355
G#,4,56,0.1745954359333172,0.05154382787738717
G#,5,68,0.15464929040517225,0.060300118061056215
G#,6,80,0.09078744452980099,0.044510266157299576
G#,7,92,0.04488689201864333,0.029770112306051495
G#,8,104,0.018748422537252885,0.015096442427992476
G#,9,116,0.004607800293730965,0.006121442586690864
