,MIDI Note,Note,Octave,time,value
5932,44,G#,3,46,0.1065556836003313
5933,45,A,3,46,0.12072570246713564
5934,46,A#,3,46,0.11912703641990256
6057,41,F,3,47,0.10502303306898911
6058,42,F#,3,47,0.13046570948232816
6059,43,G,3,47,0.16059292645298712
6060,44,G#,3,47,0.17477001301531475
6061,45,A,3,47,0.1924282435767294
6062,46,A#,3,47,0.2013745277093384
6063,47,B,3,47,0.17144187020695165
6064,48,C,4,47,0.11083749749914663
6073,57,A,4,47,0.14425178977612182
6074,58,A#,4,47,0.1876196816511025
6075,59,B,4,47,0.1457139486568428
6182,38,D,3,48,0.10093958361430101
6183,39,D#,3,48,0.11058747931168696
6184,40,E,3,48,0.111708696090576
6185,41,F,3,48,0.12489336148996488
6186,42,F#,3,48,0.16615703282937477
6187,43,G,3,48,0.22019137354660362
6188,44,G#,3,48,0.22760927564495417
6189,45,A,3,48,0.20629980550923252
6190,46,A#,3,48,0.24779811994636844
6191,47,B,3,48,0.23440418458121842
6192,48,C,4,48,0.15149273943393496
6201,57,A,4,48,0.2622640702640377
6202,58,A#,4,48,0.46979659689966546
6203,59,B,4,48,0.37993867231671297
6204,60,C,5,48,0.137766436548708
6309,37,C#,3,49,0.1004162706901535
6310,38,D,3,49,0.10993660318933793
6311,39,D#,3,49,0.11641955595360425
6312,40,E,3,49,0.11358864394168398
6313,41,F,3,49,0.12347714289598324
6314,42,F#,3,49,0.17753438974097407
6315,43,G,3,49,0.24191361238416617
6316,44,G#,3,49,0.2580504671877265
6317,45,A,3,49,0.14017699640828507
6318,46,A#,3,49,0.25407221646554373
6319,47,B,3,49,0.25583188396832995
6320,48,C,4,49,0.1363263988373083
6329,57,A,4,49,0.2949282402708399
6330,58,A#,4,49,0.599515598378806
6331,59,B,4,49,0.49701223258325855
6332,60,C,5,49,0.15488275044947453
6437,37,C#,3,50,0.11462553930816204
6438,38,D,3,50,0.10438875776740958
6439,39,D#,3,50,0.10869885163655088
6440,40,E,3,50,0.10247665442922323
6441,41,F,3,50,0.10071552500852073
6442,42,F#,3,50,0.16634251191837562
6443,43,G,3,50,0.2156289580741147
6444,44,G#,3,50,0.2576136643367099
6446,46,A#,3,50,0.24838284020562734
6447,47,B,3,50,0.23244004566128937
6457,57,A,4,50,0.20468444840772343
6458,58,A#,4,50,0.4197771524001387
6459,59,B,4,50,0.3750527601458194
6460,60,C,5,50,0.13291905031660145
6564,36,C,3,51,0.10129564533717597
6565,37,C#,3,51,0.12144599645826842
6570,42,F#,3,51,0.13831738703720153
6571,43,G,3,51,0.1467373607092407
6572,44,G#,3,51,0.22236594369850296
6573,45,A,3,51,0.1453753043170019
6574,46,A#,3,51,0.25656513982482576
6575,47,B,3,51,0.19053094095207462
6580,52,E,4,51,0.11398994104544809
6581,53,F,4,51,0.1169384099048807
6582,54,F#,4,51,0.10486761597721442
6586,58,A#,4,51,0.18657061608453987
6587,59,B,4,51,0.153788615051555
6692,36,C,3,52,0.11451457177850347
6693,37,C#,3,52,0.1194193131617836
6698,42,F#,3,52,0.10098886100622109
6700,44,G#,3,52,0.1726377899857384
6701,45,A,3,52,0.20615579435511006
6702,46,A#,3,52,0.269373961351634
6703,47,B,3,52,0.16491270251958667
6708,52,E,4,52,0.1672196002214917
6709,53,F,4,52,0.24192777853765224
6710,54,F#,4,52,0.2006629960332136
6820,36,C,3,53,0.12717937204820842
6821,37,C#,3,53,0.11059380672707803
6828,44,G#,3,53,0.14061810590362578
6829,45,A,3,53,0.16347263484949762
6830,46,A#,3,53,0.2658179070756657
6831,47,B,3,53,0.158437637892335
6836,52,E,4,53,0.13950585648597094
6837,53,F,4,53,0.29823214124580877
6838,54,F#,4,53,0.2689556094288964
6842,58,A#,4,53,0.10819534318127658
6843,59,B,4,53,0.15143166488507626
6849,65,F,5,53,0.12235206056320672
6850,66,F#,5,53,0.12583839837212066
6948,36,C,3,54,0.1393394261883717
6949,37,C#,3,54,0.10211464231172909
6956,44,G#,3,54,0.12879181366592318
6958,46,A#,3,54,0.25139370042129977
6959,47,B,3,54,0.15646824597158046
6965,53,F,4,54,0.2908588479109191
6966,54,F#,4,54,0.2883546434680375
6969,57,A,4,54,0.15554447161833992
6970,58,A#,4,54,0.28110060532886566
6971,59,B,4,54,0.2603787650510048
6977,65,F,5,54,0.12449914539881511
6978,66,F#,5,54,0.12447590652468159
7076,36,C,3,55,0.1504682410749735
7077,37,C#,3,55,0.1018713773721028
7084,44,G#,3,55,0.11726256633412493
7086,46,A#,3,55,0.2510680088493893
7087,47,B,3,55,0.158621852488244
7092,52,E,4,55,0.10782378882064161
7093,53,F,4,55,0.3077856010776047
7094,54,F#,4,55,0.2742067960700073
7097,57,A,4,55,0.14389887827717146
7098,58,A#,4,55,0.37549028771683995
7099,59,B,4,55,0.2974559218961877
7105,65,F,5,55,0.11688918749214325
7106,66,F#,5,55,0.10775024612024674
7204,36,C,3,56,0.15998665236878676
7205,37,C#,3,56,0.10902047403550046
7213,45,A,3,56,0.15888917231050356
7214,46,A#,3,56,0.2704078857127919
7215,47,B,3,56,0.16661183151704997
7220,52,E,4,56,0.1292590171033653
7221,53,F,4,56,0.31224134243161156
7222,54,F#,4,56,0.2542679231907936
7226,58,A#,4,56,0.363448081746123
7227,59,B,4,56,0.2846163381351528
7233,65,F,5,56,0.12180960247073856
7234,66,F#,5,56,0.1036630623838345
7332,36,C,3,57,0.1675185501855541
7333,37,C#,3,57,0.11585424690274701
7341,45,A,3,57,0.17021952815870076
7342,46,A#,3,57,0.2834352802488217
7343,47,B,3,57,0.18607796845953842
