Note,Octave,MIDI Note,Harmonic Mean,Percussive Mean
A,0,9,0.005473316006355439,0.005243629951772884
A,1,21,0.0018291951730427308,0.005871813835887937
A,2,33,0.01812633472475521,0.028792655691567002
A,3,45,0.043252984883262846,0.029979149750214113
A,4,57,0.10799332126496182,0.03871048506215404
A,5,69,0.09111991087424574,0.034489190705929165
A,6,81,0.09737877326440114,0.03176905721793376
A,7,93,0.042596514329644654,0.023870917846443324
A,8,105,0.017186919662630067,0.011360712044184854
A,9,117,0.0037127809169922297,0.00934721609172128
A#,0,10,0.005339828226669438,0.005534405392825225
A#,1,22,0.0016418966311134626,0.006483801009721379
A#,2,34,0.02737622674380295,0.03296885672319068
A#,3,46,0.05955228235334185,0.03118393533220148
A#,4,58,0.16673067172794978,0.04348504476089733
A#,5,70,0.1524839698629176,0.0337724055127944
A#,6,82,0.12315186317112262,0.030244733993450755
A#,7,94,0.05222703540234802,0.024896896018334152
A#,8,106,0.01695407781465275,0.008378493361330754
A#,9,118,0.0037815258005683525,0.009600294416470078
B,0,11,0.004694045781528139,0.004958898441348033
B,1,23,0.0016269913856746929,0.007294600960907869
B,2,35,0.062320486556226885,0.04728941993803339
B,3,47,0.060178354820047374,0.030641613453665326
B,4,59,0.15011932283174578,0.04089129936326402
B,5,71,0.13276094343099007,0.029847904735691315
B,6,83,0.08606710400459339,0.027747830739753485
B,7,95,0.03575172000939054,0.02522304198668775
B,8,107,0.01150469452685672,0.00726244682572177
B,9,119,0.0033307025454053616,0.009442715209944634
C,0,0,0.009487824548703745,0.009490901997779645
C,1,12,0.004064042005851091,0.004685705205785541
C,2,24,0.001965013198588197,0.00952421590599729
C,3,36,0.10300082840234599,0.06861294469941097
C,4,48,0.055618479652309184,0.03678857253512997
C,5,60,0.13719848466654552,0.04399547377764866
C,6,72,0.11695857833851589,0.02982815700001754
C,7,84,0.0824932780301713,0.02695839355659898
C,8,96,0.0314623181098435,0.023599645249459414
C,9,108,0.00979259116699033,0.0068033710183077935
C,10,120,0.0034861156668009163,0.008985028230649715
C#,0,1,0.009365357676515753,0.008558366207015838
C#,1,13,0.0037598741737681182,0.004911632463568879
C#,2,25,0.0025955918922428997,0.012621000134078823
C#,3,37,0.07513063380249167,0.050533739197013566
C#,4,49,0.051121562126012064,0.04001448817098686
C#,5,61,0.1528098320461182,0.0427463970003047
C#,6,73,0.12171351667408314,0.02951269840044789
C#,7,85,0.08885485299728994,0.028598426379955164
C#,8,97,0.030098283696126105,0.021667084042269833
C#,9,109,0.008663826025084757,0.006979055494150702
C#,10,121,0.003260994605152667,0.008528408028158305
D,0,2,0.00940946894398139,0.00854746080532714
D,1,14,0.0034567407737303778,0.004859260702721423
D,2,26,0.0026865710041631677,0.013678720590757296
D,3,38,0.04584247157620821,0.036164035842476204
D,4,50,0.04504492952755466,0.03487215293766374
D,5,62,0.21798082637240396,0.042255000618196696
D,6,74,0.1587802751755899,0.028728682363827623
D,7,86,0.12346810882880496,0.028247791862737782
D,8,98,0.0331367853264647,0.019478717990066296
D,9,110,0.008456676750589883,0.007555551054127152
D,10,122,0.003132853959951086,0.007839430785757153
D#,0,3,0.009646502335858084,0.008892002179788352
D#,1,15,0.0032170694020690507,0.004773582060304951
D#,2,27,0.0043868171597991985,0.020503763424529777
D#,3,39,0.045030379072739726,0.033758894417727114
D#,4,51,0.04217270981269207,0.03513074518804856
D#,5,63,0.21388107953759447,0.039714493499059915
D#,6,75,0.16003196571842068,0.02891502282198229
D#,7,87,0.12244099988082884,0.027245016003917422
D#,8,99,0.03122075344023958,0.0181418039538675
D#,9,111,0.007951819923082517,0.007948156690912735
D#,10,123,0.002985058821600116,0.007049756049744897
E,0,4,0.00719714280574018,0.006980204481606261
E,1,16,0.002859171682515122,0.004743743410175299
E,2,28,0.004707796707725081,0.020949291078970176
E,3,40,0.07390093768043703,0.03712787298899023
E,4,52,0.03610399859190742,0.03368193383896129
E,5,64,0.12023131945789015,0.03183720616211152
E,6,76,0.1051864739404321,0.031121351395310425
E,7,88,0.06746681542439482,0.02732439544023907
E,8,100,0.02074574138342993,0.01771137999138795
E,9,112,0.005804791518761882,0.007903748193311739
E,10,124,0.002754140275271735,0.006400969253541473
F,0,5,0.005820574194201527,0.005980498250273742
F,1,17,0.002602930835005844,0.0047491941220901114
F,2,29,0.004773992871925168,0.018169112800749905
F,3,41,0.15211475891599704,0.047767567831741055
F,4,53,0.055493325245798815,0.04087922197251341
F,5,65,0.12649712686173575,0.03511192209046191
F,6,77,0.16116651690309275,0.031956293899439096
F,7,89,0.07267424477068443,0.02465455589498697
F,8,101,0.023191952767265493,0.016943214897293356
F,9,113,0.005470337142390244,0.007414555313954374
F,10,125,0.002670774997805945,0.006129447442872071
F#,0,6,0.0057703459740229305,0.005751224285522276
F#,1,18,0.0024335406796250503,0.004791742876431743
F#,2,30,0.007131217760105556,0.02305514545983492
F#,3,42,0.1629320213581381,0.04494132334945627
F#,4,54,0.06041016322637053,0.03905957508613164
F#,5,66,0.12785877857854835,0.035683041329226936
F#,6,78,0.1603546617548261,0.0316602561173339
F#,7,90,0.06713106813919738,0.021259441173855302
F#,8,102,0.02272517538801204,0.017098605232624773
F#,9,114,0.0051382866726122816,0.007347806414463346
F#,10,126,0.0025635600349016865,0.005674179722486654
G,0,7,0.005587125723047654,0.005315997664456777
G,1,19,0.0021636281349269736,0.004894770282674782
G,2,31,0.008924203034410787,0.024901582424072612
G,3,43,0.11243803361244738,0.035992154524254416
G,4,55,0.05845288812221146,0.035474221751566296
G,5,67,0.11133329821712577,0.0372111490309599
G,6,79,0.13780846240952416,0.029299960467346706
G,7,91,0.0460614333555645,0.02013634314019157
G,8,103,0.022980913530183545,0.01760005955132484
G,9,115,0.004332276378342941,0.008069225442633474
G,10,127,0.002426089105618127,0.005274012432064846
G#,0,8,0.005430885208207437,0.005010880300412603
G#,1,20,0.001956918703455688,0.005152886426721055
G#,2,32,0.010564751966490737,0.023321888834993754
G#,3,44,0.07065144442403073,0.03626284984319866
G#,4,56,0.06557991222943912,0.03552026239578465
G#,5,68,0.08507611929400438,0.036488040497774696
G#,6,80,0.11022794682608689,0.029296883308544665
G#,7,92,0.03581894118597295,0.02103863796865633
G#,8,104,0.019408448997660185,0.015388221767843394
G#,9,116,0.003638864335213818,0.00862721551621108
