Note,Octave,MIDI Note,Mean,Median
A,0,9,0.012641892855801126,0.008601087138696534
A,1,21,0.012395703796183289,0.007932393659894822
A,2,33,0.17232611080578558,0.1394545080498323
A,3,45,0.6812926752458487,0.37235401995492856
A,4,57,0.6330671000374242,0.4132597076815647
A,5,69,0.17197893044937204,0.11406306119003054
A,6,81,0.26553817386193795,0.16758115416739522
A,7,93,0.1988819391131843,0.1350139465278275
A,8,105,0.09533487567123745,0.07536733600433107
A,9,117,0.043924098679815345,0.036935350250709494
A#,0,10,0.009971291639058895,0.006745946703675993
A#,1,22,0.008694837541843097,0.00632478362252905
A#,2,34,0.3481283083027754,0.2765643373090066
A#,3,46,0.5502015026846795,0.2672749591900703
A#,4,58,0.6045577801315036,0.37478489019551237
A#,5,70,0.1768489103610991,0.12948392407120873
A#,6,82,0.2543263010896101,0.1698700242912768
A#,7,94,0.18497170750459838,0.1330353989508008
A#,8,106,0.08685628259481662,0.07050683579030892
A#,9,118,0.04170449940233202,0.03475219043816368
B,0,11,0.009624832034336832,0.006115263097097881
B,1,23,0.01528221517347821,0.01002330690176469
B,2,35,1.0612049981712648,0.7191035558989897
B,3,47,0.73466975435306,0.4325161411007504
B,4,59,0.4762985576751022,0.2995374849962204
B,5,71,0.208782885683967,0.14159977696034917
B,6,83,0.248313421189958,0.17305783946959097
B,7,95,0.17573174909646183,0.12933541529640516
B,8,107,0.08413210739581241,0.06856725489678817
B,9,119,0.04407274011491604,0.035688715731952626
C,0,0,0.012995994004655911,0.00772286657703704
C,1,12,0.009784871491532357,0.006423642165137976
C,2,24,0.018841347986038152,0.011326761568967992
C,3,36,1.6844182142848954,1.1428927638976991
C,4,48,1.302544197430576,0.575666948234655
C,5,60,0.3836062536025629,0.23273628471244967
C,6,72,0.23259633823600734,0.17836483841551393
C,7,84,0.23473877804381096,0.17404823574213243
C,8,96,0.15270075855644327,0.12003769750295491
C,9,108,0.0749317810962061,0.06247508758221993
C,10,120,0.03882387896704307,0.032424537072628795
C#,0,1,0.012709615912390886,0.007248338505586258
C#,1,13,0.00965491572140117,0.006166990062413108
C#,2,25,0.014934618096569024,0.010752574278304153
C#,3,37,1.451305364438124,1.134722066143408
C#,4,49,1.3822076596393578,0.7988235485966434
C#,5,61,0.2849228152926974,0.2029912024734184
C#,6,73,0.20708755957585118,0.17725966368888094
C#,7,85,0.1595308817764147,0.13213740616551664
C#,8,97,0.11409405936499507,0.09138533366566279
C#,9,109,0.06702614662403004,0.055567117682137616
C#,10,121,0.03357893991109186,0.026952546500113167
D,0,2,0.012731219612921878,0.006611468353246299
D,1,14,0.014230367517295934,0.007777299515874114
D,2,26,0.02660565163376575,0.01834588612220418
D,3,38,1.5774178134319254,0.9288167107367213
D,4,50,1.3599753684707987,0.8637857686368616
D,5,62,0.3544508032442492,0.16730809655639806
D,6,74,0.42837627263396155,0.2893894412527461
D,7,86,0.2395896949312049,0.16617122736027193
D,8,98,0.14233317836013257,0.11675062114075897
D,9,110,0.07198172199317077,0.06124529793435772
D,10,122,0.03007449348851444,0.02465203747740043
D#,0,3,0.013553081742591693,0.006661634433744653
D#,1,15,0.017754014772215054,0.00907219227182645
D#,2,27,0.04062864290100717,0.0277596124608132
D#,3,39,1.6966391941570136,0.9734932411802449
D#,4,51,1.1345837856251724,0.6525001786809476
D#,5,63,0.32609902362160803,0.16976424610868968
D#,6,75,0.4272986448038153,0.3360067400949043
D#,7,87,0.20748325789695987,0.15194812818148803
D#,8,99,0.11655615596945744,0.09393389411915751
D#,9,111,0.06438179363756621,0.05538367566409241
D#,10,123,0.025062194442380278,0.021071729539054104
E,0,4,0.01513365294390654,0.008025793229296006
E,1,16,0.012300508285969201,0.007105456610234572
