,Octave,MIDI Note,Note,time,value
164935,5,71,B,1288,0.10411872725101885
165446,5,70,A#,1292,0.1121297997522682
174156,6,76,E,1360,0.10637509675322943
179789,6,77,F,1404,0.10531709556518197
181303,4,55,G,1416,0.1141218041726787
181431,4,55,G,1417,0.10169552127053617
183628,6,76,E,1434,0.11958672674254685
183629,6,77,F,1434,0.10511559139155228
184379,4,59,B,1440,0.10274926958787665
184774,5,70,A#,1443,0.12902057374039205
184891,4,59,B,1444,0.12507658798341467
184902,5,70,A#,1444,0.12702327759196722
184903,5,71,B,1444,0.1487016061214895
185016,4,56,G#,1445,0.10124785738059494
185017,4,57,A,1445,0.10681946276502495
185019,4,59,B,1445,0.12718672222254837
185028,5,68,G#,1445,0.16993870942131226
185029,5,69,A,1445,0.16939575978787078
185030,5,70,A#,1445,0.1960268681800258
185031,5,71,B,1445,0.15059749033728503
185144,4,56,G#,1446,0.10964009198409927
185145,4,57,A,1446,0.12726788458788274
185156,5,68,G#,1446,0.17564109743211007
185157,5,69,A,1446,0.1652869586617576
185158,5,70,A#,1446,0.19401940524335995
185159,5,71,B,1446,0.16261085011284226
185272,4,56,G#,1447,0.12677692733200074
185284,5,68,G#,1447,0.15985439139057028
185285,5,69,A,1447,0.20606375523143786
185286,5,70,A#,1447,0.23280899411259184
185287,5,71,B,1447,0.14760741471162295
185400,4,56,G#,1448,0.11781263704378876
185401,4,57,A,1448,0.10926787826071506
185412,5,68,G#,1448,0.15316777295601008
185413,5,69,A,1448,0.17305721100108107
185414,5,70,A#,1448,0.23766282516604836
185415,5,71,B,1448,0.2207273750379882
185528,4,56,G#,1449,0.1312857863004425
185529,4,57,A,1449,0.1191342934276013
185531,4,59,B,1449,0.10824470048314919
185540,5,68,G#,1449,0.1890413998643511
185541,5,69,A,1449,0.16277244162108156
185542,5,70,A#,1449,0.2044855037808537
185543,5,71,B,1449,0.10510960224587798
185548,6,76,E,1449,0.10133774092585886
185549,6,77,F,1449,0.10550323800766798
185656,4,56,G#,1450,0.11943545702341944
185657,4,57,A,1450,0.10745380954243322
185668,5,68,G#,1450,0.14955304928745558
186690,5,66,F#,1458,0.12615092807663048
186691,5,67,G,1458,0.11312613054804173
186818,5,66,F#,1459,0.1359080496272722
186819,5,67,G,1459,0.11903138311428073
186937,4,57,A,1460,0.10010959848907114
186943,5,63,D#,1460,0.11821543773241658
186944,5,64,E,1460,0.10911512652144681
186946,5,66,F#,1460,0.16317085511417714
186947,5,67,G,1460,0.1181931537102413
186948,5,68,G#,1460,0.1200538190172891
186949,5,69,A,1460,0.10853784809277008
187071,5,63,D#,1461,0.12105340715713266
187074,5,66,F#,1461,0.12493880238953323
187075,5,67,G,1461,0.14106951387224193
187076,5,68,G#,1461,0.14545696574516243
187204,5,68,G#,1462,0.10021771091751551
187460,5,68,G#,1464,0.13739767897459265
187466,6,74,D,1464,0.10097687770444723
187468,6,76,E,1464,0.1303345164735298
187588,5,68,G#,1465,0.1359067073513427
187590,5,70,A#,1465,0.19010205400162256
187591,5,71,B,1465,0.293100619714355
187592,6,72,C,1465,0.1321737460929979
187718,5,70,A#,1466,0.19330958942848273
187719,5,71,B,1466,0.10706131311611229
187846,5,70,A#,1467,0.11751396495742629
187847,5,71,B,1467,0.11657848846011505
188102,5,70,A#,1469,0.11445037199302747
188103,5,71,B,1469,0.10513560705090896
188230,5,70,A#,1470,0.11294316198755984
188729,4,57,A,1474,0.10993386508352178
188856,4,56,G#,1475,0.12135403276277949
188857,4,57,A,1475,0.12801671845712115
188984,4,56,G#,1476,0.12279324272844105
188985,4,57,A,1476,0.1246011010884702
189112,4,56,G#,1477,0.1317364208682911
189113,4,57,A,1477,0.10158743550078111
189240,4,56,G#,1478,0.1294253601789119
189241,4,57,A,1478,0.1196800880250528
189368,4,56,G#,1479,0.12277596325433063
189369,4,57,A,1479,0.11296250440273224
189380,5,68,G#,1479,0.11855477779491305
190285,6,77,F,1486,0.17437610058411435
190286,6,78,F#,1486,0.18355190000325294
190288,6,80,G#,1486,0.1405079256346327
190289,6,81,A,1486,0.1398878418189836
190413,6,77,F,1487,0.13268935822035022
190414,6,78,F#,1487,0.1152687527256064
190523,4,59,B,1488,0.11428249743645655
190531,5,67,G,1488,0.10439244259589704
190532,5,68,G#,1488,0.2619001794344504
190533,5,69,A,1488,0.26772165771947154
190541,6,77,F,1488,0.12159478389708708
190542,6,78,F#,1488,0.15525487945362906
190651,4,59,B,1489,0.1066182504345052
190652,5,60,C,1489,0.101777606714098
190655,5,63,D#,1489,0.11724912920846961
190656,5,64,E,1489,0.11807074114703227
190660,5,68,G#,1489,0.29062980551210776
190661,5,69,A,1489,0.3076854286454428
190662,5,70,A#,1489,0.1524077395491682
190669,6,77,F,1489,0.13417735663546668
190670,6,78,F#,1489,0.1488737294998335
190776,4,56,G#,1490,0.1338947649573188
190777,4,57,A,1490,0.10540906656495883
190783,5,63,D#,1490,0.145963513303267
190784,5,64,E,1490,0.1223695826538456
190788,5,68,G#,1490,0.260845892393268
190789,5,69,A,1490,0.2511156358935152
190790,5,70,A#,1490,0.1164012511108603
190797,6,77,F,1490,0.14235455127478905
190904,4,56,G#,1491,0.10933593864258317
190905,4,57,A,1491,0.10867490750189698
190907,4,59,B,1491,0.10482572953412943
190908,5,60,C,1491,0.10309413823145804
190911,5,63,D#,1491,0.13155649145992052
190912,5,64,E,1491,0.10107606352171376
190916,5,68,G#,1491,0.17130266733427765
190917,5,69,A,1491,0.14366809018513452
190925,6,77,F,1491,0.12475570740407078
190926,6,78,F#,1491,0.11587061317767028
191032,4,56,G#,1492,0.11890535045087237
191033,4,57,A,1492,0.10037485543158527
191044,5,68,G#,1492,0.1215639886364957
191053,6,77,F,1492,0.12940785243327943
191054,6,78,F#,1492,0.1305240913364939
191160,4,56,G#,1493,0.11168045903912353
191181,6,77,F,1493,0.10610444806689731
191295,5,63,D#,1494,0.10716338458688576
191307,6,75,D#,1494,0.10304367138218336
191543,4,55,G,1496,0.11656831420620889
191686,5,70,A#,1497,0.10691455804528054
191687,5,71,B,1497,0.11334492190000518
191814,5,70,A#,1498,0.16958802054100758
191815,5,71,B,1498,0.1332395917227019
191942,5,70,A#,1499,0.16182714080529417
191943,5,71,B,1499,0.15005066440898554
192070,5,70,A#,1500,0.10578984483792611
192198,5,70,A#,1501,0.12126092841770748
192199,5,71,B,1501,0.17410098692318562
192200,6,72,C,1501,0.1398557022651716
192439,4,55,G,1503,0.10306624838314937
192452,5,68,G#,1503,0.10372132638318939
192453,5,69,A,1503,0.13710019456658915
192454,5,70,A#,1503,0.11269786118675319
192455,5,71,B,1503,0.14190612967938349
192456,6,72,C,1503,0.10922662599790668
192567,4,55,G,1504,0.11614455756145853
192568,4,56,G#,1504,0.15631225247044025
192569,4,57,A,1504,0.13096969768247096
192696,4,56,G#,1505,0.16056828602145204
192697,4,57,A,1505,0.16635349294899035
192708,5,68,G#,1505,0.1086708406483729
192824,4,56,G#,1506,0.16941973131788826
192825,4,57,A,1506,0.1583218413602524
192952,4,56,G#,1507,0.1735036890094684
192953,4,57,A,1507,0.16458757613384994
193080,4,56,G#,1508,0.16691454338805797
193081,4,57,A,1508,0.1324079221357877
193083,4,59,B,1508,0.1042563345607878
193100,6,76,E,1508,0.11145126261718603
193101,6,77,F,1508,0.10777341560433897
193208,4,56,G#,1509,0.17279987572127622
193209,4,57,A,1509,0.14335076790812581
193336,4,56,G#,1510,0.13010887856827533
193337,4,57,A,1510,0.12769345774412025
193338,4,58,A#,1510,0.11361006081642967
193350,5,70,A#,1510,0.110542922460841
193351,5,71,B,1510,0.10946500848113974
193466,4,58,A#,1511,0.10724895283644977
193467,4,59,B,1511,0.14466146242323105
193472,5,64,E,1511,0.1112964584605792
193595,4,59,B,1512,0.15015231060476703
193600,5,64,E,1512,0.10840828470462278
193607,5,71,B,1512,0.1077941109188383
193862,5,70,A#,1514,0.11962288989530266
193863,5,71,B,1514,0.13237775818873207
194489,4,57,A,1519,0.10718260235031289
194616,4,56,G#,1520,0.10245871497056812
194617,4,57,A,1520,0.10233889353733477
194744,4,56,G#,1521,0.10786839221520732
194872,4,56,G#,1522,0.1191375243825209
194873,4,57,A,1522,0.11772270110153558
194893,6,77,F,1522,0.12512775340067078
194894,6,78,F#,1522,0.11417704155753054
195000,4,56,G#,1523,0.13072971711971415
195021,6,77,F,1523,0.10056037784513501
195510,4,54,F#,1527,0.10022272315711343
195638,4,54,F#,1528,0.10604551274716806
195766,4,54,F#,1529,0.10446001093743136
195907,5,67,G,1530,0.11658386586022446
196039,5,71,B,1531,0.12350718083502758
196040,6,72,C,1531,0.11580443588066298
196297,6,73,C#,1533,0.11352946922533864
196408,4,56,G#,1534,0.12051180578606042
196409,4,57,A,1534,0.12269037326945967
196536,4,56,G#,1535,0.1441348845961016
196537,4,57,A,1535,0.13384179818937192
196551,5,71,B,1535,0.11521607330387636
196664,4,56,G#,1536,0.13675511675529067
196665,4,57,A,1536,0.11881370399458926
196792,4,56,G#,1537,0.14360097336359423
196793,4,57,A,1537,0.12758165949507308
196799,5,63,D#,1537,0.1203609740168682
196920,4,56,G#,1538,0.13323719182463195
196921,4,57,A,1538,0.10970543298568039
196927,5,63,D#,1538,0.10862204680455104
196940,6,76,E,1538,0.13363529095961957
196941,6,77,F,1538,0.11846404440445937
197062,5,70,A#,1539,0.11994654632473473
197063,5,71,B,1539,0.12593097832854225
198213,5,69,A,1548,0.10200827725981688
198329,4,57,A,1549,0.10796121329448082
198340,5,68,G#,1549,0.1160213813311203
198456,4,56,G#,1550,0.11375459996630632
198468,5,68,G#,1550,0.10817485775735423
198469,5,69,A,1550,0.10544483032214683
198596,5,68,G#,1551,0.1308365975911481
198597,5,69,A,1551,0.11744552557474865
198724,5,68,G#,1552,0.15707629216669014
198725,5,69,A,1552,0.10649635652383903
