Note,Octave,MIDI Note,Harmonic Mean,Percussive Mean
A,0,9,0.0004946894806736988,0.013743416918754973
A,1,21,0.001575966716414506,0.011223788817488672
A,2,33,0.042058888785808886,0.015178828208693295
A,3,45,0.219890933112945,0.01204844755221096
A,4,57,0.14669065005560553,0.05551811806680497
A,5,69,0.16212736592002583,0.07608207890858824
A,6,81,0.1898101129814294,0.0710823352428404
A,7,93,0.09231275507722778,0.035884919039375685
A,8,105,0.04563367881870219,0.018724682146297068
A,9,117,0.01783957448811581,0.012703567660290814
A#,0,10,0.000496723790632889,0.01471327695990938
A#,1,22,0.002276843345058515,0.014689422861318763
A#,2,34,0.3104953298493951,0.024923271084414732
A#,3,46,0.23509883005505663,0.01601182161038991
A#,4,58,0.23034964457860227,0.0883681086542154
A#,5,70,0.33972188065135894,0.07249026227921086
A#,6,82,0.33197497071636467,0.07062313466313726
A#,7,94,0.13987071929037845,0.034631727304584456
A#,8,106,0.04954138171693944,0.017126791573910557
A#,9,118,0.017402848364138468,0.011763078388175202
B,0,11,0.0006329058190714579,0.016206825405580258
B,1,23,0.0029715497944259534,0.016400367091699883
B,2,35,1.0942486364629425,0.057125427563279846
B,3,47,0.734468893791509,0.03442726172923285
B,4,59,0.28769571029441304,0.1057998573319382
B,5,71,0.39015316168110253,0.07435664333743063
B,6,83,0.3238971335885651,0.07147555550839856
B,7,95,0.14822746177367846,0.03499666913050537
B,8,107,0.046528530841515245,0.016889801673947914
B,9,119,0.016167589410760883,0.010722420618844354
C,0,0,0.0006186014850177065,0.011827626910723591
C,1,12,0.0008973160479407238,0.02331752643873933
C,2,24,0.003062664553058349,0.012925795428834411
C,3,36,0.9168367702638348,0.04910853729264916
C,4,48,0.6225071728563131,0.034029736689080436
C,5,60,0.1894961250082261,0.07503123673564673
C,6,72,0.251736092094058,0.06512164710121537
C,7,84,0.20806404394674125,0.07008410875212975
C,8,96,0.08493991000752046,0.03837073837304746
C,9,108,0.02880146227732766,0.015419713524707184
C,10,120,0.012569525732635119,0.009734214242694113
C#,0,1,0.000624587736637683,0.015081558229497478
C#,1,13,0.0014820149102072286,0.04230101101595053
C#,2,25,0.004057217380030205,0.011643097720763258
C#,3,37,0.24242528257028034,0.020288929319582833
C#,4,49,0.1579817404365458,0.02356712448166576
C#,5,61,0.1957530094291955,0.08016461423872727
C#,6,73,0.4126288516601214,0.07197576887022776
C#,7,85,0.3226343744732892,0.06540762532082503
C#,8,97,0.11597467650270026,0.035874627628939525
C#,9,109,0.03485150980967789,0.014246090032353833
