Note,Octave,MIDI Note,Harmonic Mean,Percussive Mean
A,0,9,0.028657201107162616,0.08104352172294293
A,1,21,0.012366715353172904,0.04123367126310174
A,2,33,0.09306851645435722,0.08671076358910935
A,3,45,0.6774864045648176,0.0811946385150481
A,4,57,0.28781506203979906,0.08750234819545878
A,5,69,0.11967164837902361,0.0637835467520576
A,6,81,0.12334362716997241,0.04089829182734496
A,7,93,0.06693490882760787,0.02916583334651667
A,8,105,0.05786339917770214,0.026582754896531564
A,9,117,0.018201273557347804,0.015278073348753833
A#,0,10,0.026881395983507892,0.0771759081504923
A#,1,22,0.01355203872023517,0.04142383995470274
A#,2,34,0.11197284802824248,0.10118273521151137
A#,3,46,0.5624849699324239,0.0897929479797157
A#,4,58,0.22902897010779816,0.10892097692558464
A#,5,70,0.1330916240128505,0.05991676993299406
A#,6,82,0.12438299141009473,0.040691884231962565
A#,7,94,0.06263437096575604,0.02983738746275584
A#,8,106,0.05314057329389556,0.02617514945705479
A#,9,118,0.017560834277486843,0.015440749762755418
B,0,11,0.02355602290584319,0.07174591014403812
B,1,23,0.013885028209886786,0.03946761002733901
B,2,35,0.22403732219391642,0.1559435005390073
B,3,47,0.5009222879572508,0.0834560391935545
B,4,59,0.27352919850088314,0.13733106799059153
B,5,71,0.2649886962790698,0.05184490444483946
B,6,83,0.22182776675508417,0.03986168911611457
B,7,95,0.09958144122661032,0.028318844343979677
B,8,107,0.05068964441415016,0.025638901688795315
B,9,119,0.018137752183370447,0.015074337827264528
C,0,0,0.003048572804802726,0.01331777807861023
C,1,12,0.018266702920277576,0.05883733556142929
C,2,24,0.016254642033834962,0.03899920392221153
C,3,36,0.3708933324741319,0.17975194626134122
C,4,48,0.6836532609035094,0.08954730804906162
C,5,60,0.3384838496079294,0.12500559958111995
C,6,72,0.26565762843138163,0.05073205634050442
C,7,84,0.2425779739906361,0.03811058114712262
C,8,96,0.09503039177142683,0.027495482991279865
C,9,108,0.04353034499158465,0.02381116549061505
C,10,120,0.016509329154211272,0.013329379510228416
C#,0,1,0.0032589913552980606,0.014256719547880832
C#,1,13,0.014519640015895337,0.05728780335078051
C#,2,25,0.022575987609734397,0.046328624684697346
C#,3,37,0.30668496532752076,0.14159757841426482
C#,4,49,0.53256856419759,0.07916926346794556
C#,5,61,0.26819651228359714,0.08564245111046077
C#,6,73,0.15993490307715824,0.05039616816660928
C#,7,85,0.1478662331807202,0.03649837174622765
C#,8,97,0.05782857796970752,0.029443237742357662
C#,9,109,0.02922738985218266,0.021412735754265506
C#,10,121,0.011512948925602073,0.011199761057665918
D,0,2,0.0032295259930730843,0.01661938525044387
D,1,14,0.011819497229822352,0.05146520565371349
D,2,26,0.029383045182436774,0.052236527711715657
D,3,38,0.177142125414453,0.10271643661663364
D,4,50,0.3310863424057616,0.09418231696390228
D,5,62,0.3765833864076029,0.09925344304845553
D,6,74,0.2338490764332277,0.049579242414120456
D,7,86,0.20970362380390373,0.03313299400944754
D,8,98,0.08976519621003991,0.027420144377399994
D,9,110,0.03912194954078089,0.021662431575004946
D,10,122,0.011533137311593538,0.010480348262402604
D#,0,3,0.003325810288133397,0.021976277067860515
D#,1,15,0.012983387808708382,0.05312980988807242
D#,2,27,0.08892811936219207,0.08981276477873743
D#,3,39,0.20567736820395138,0.09374371709381578
D#,4,51,0.3157343084558063,0.09459872372673145
D#,5,63,0.32872239931817215,0.09012867245673871
D#,6,75,0.20407157964068245,0.04680473504957963
D#,7,87,0.18027468343937955,0.03177093977320756
D#,8,99,0.08628219757625392,0.028631958196444377
D#,9,111,0.038554763582276205,0.02225766248804273
D#,10,123,0.01058792732507247,0.009642755126507233
E,0,4,0.0038058623743317792,0.022565726838537113
E,1,16,0.015026873325823536,0.0544502544718591
E,2,28,0.23345804979077198,0.18113648640838967
E,3,40,0.40796954204094754,0.1162144506482
E,4,52,0.363380677449914,0.09983059847131552
E,5,64,0.17117634336446497,0.08041940080896158
E,6,76,0.12816993875724766,0.045976026308116855
E,7,88,0.11793455632149236,0.03150312239384989
E,8,100,0.07919592951306487,0.028537735688928437
E,9,112,0.0319583019639928,0.020826084943867874
E,10,124,0.008833501116017663,0.00870219629303507
F,0,5,0.004458548321712451,0.02241859724465814
F,1,17,0.013901905157997937,0.047223878798033705
F,2,29,0.2987979518768599,0.21241009982403167
F,3,41,0.431147787492953,0.10337936086663983
F,4,53,0.2952526403720632,0.09345616217706434
F,5,65,0.10621484394402249,0.08048622742383535
F,6,77,0.10215929819202167,0.04798197415501515
F,7,89,0.1015818682679813,0.032956135081023866
F,8,101,0.0669500285606092,0.027121920712514864
F,9,113,0.027093870471736642,0.018198847324804965
F,10,125,0.0073291036224583965,0.007311305816102782
F#,0,6,0.005948678832701884,0.02763241996719093
F#,1,18,0.013108024578363279,0.04519631568653
F#,2,30,0.19692950894499864,0.15443695534893406
F#,3,42,0.6068037367413638,0.08513209187460732
F#,4,54,0.26925848055048746,0.07179349961109324
F#,5,66,0.10411474591358269,0.0721621594059053
F#,6,78,0.09199653860525213,0.04627450182944781
F#,7,90,0.08801803867349126,0.0315652909750805
F#,8,102,0.056317757198095786,0.028814250189343794
F#,9,114,0.025273400355441913,0.016597879616747704
F#,10,126,0.0064723805623084114,0.006415592481847246
G,0,7,0.012461030249751686,0.04140177771020396
G,1,19,0.011750161693716567,0.04498443349110272
G,2,31,0.12730312199208427,0.13054003541942258
G,3,43,1.4198716530408213,0.12742211067175802
G,4,55,0.6408603771598629,0.09968543586004575
G,5,67,0.29480359906242404,0.08064535922125829
G,6,79,0.2674313895578385,0.03900681195863958
G,7,91,0.15773431387101242,0.02768114184962311
G,8,103,0.07855030438400017,0.02924434011291928
G,9,115,0.027490756919672447,0.016417495521925052
G,10,127,0.005853534936046818,0.005995488240174694
G#,0,8,0.02279453499858258,0.06707187164648205
G#,1,20,0.011596654276856574,0.04356839735420285
G#,2,32,0.10787500741870963,0.11131690458100353
