Note,Octave,MIDI Note,Harmonic Mean,Percussive Mean
A,0,9,0.012641892855801126,0.13462610392784252
A,1,21,0.012395703796183289,0.1513835170857936
A,2,33,0.17232611080578558,0.19858246418916622
A,3,45,0.6812926752458487,0.3705820418812825
A,4,57,0.6330671000374242,0.2679092914610914
A,5,69,0.17197893044937204,0.13923168454405466
A,6,81,0.26553817386193795,0.10133033175949199
A,7,93,0.1988819391131843,0.08094763885450136
A,8,105,0.09533487567123745,0.06600998575272084
A,9,117,0.043924098679815345,0.04343444713854628
A#,0,10,0.009971291639058895,0.10225369661168059
A#,1,22,0.008694837541843097,0.10036971922083568
A#,2,34,0.3481283083027754,0.2123318634780514
A#,3,46,0.5502015026846795,0.37330198522713665
A#,4,58,0.6045577801315036,0.2492366409809819
A#,5,70,0.1768489103610991,0.13920736369632494
A#,6,82,0.2543263010896101,0.09832695072955232
A#,7,94,0.18497170750459838,0.08156318972736594
A#,8,106,0.08685628259481662,0.06442738780886276
A#,9,118,0.04170449940233202,0.04261892779123144
B,0,11,0.009624832034336832,0.11651761629989206
B,1,23,0.01528221517347821,0.1752115794995024
B,2,35,1.0612049981712648,0.34244477933380457
B,3,47,0.73466975435306,0.3650546221775056
B,4,59,0.4762985576751022,0.24394129452206667
B,5,71,0.208782885683967,0.13133483764753223
B,6,83,0.248313421189958,0.09547065855843942
B,7,95,0.17573174909646183,0.07739422532746655
B,8,107,0.08413210739581241,0.061377873763959145
B,9,119,0.04407274011491604,0.04363353794612933
C,0,0,0.012995994004655911,0.10965699802508674
C,1,12,0.009784871491532357,0.12703896602765538
C,2,24,0.018841347986038152,0.2207062565566708
C,3,36,1.6844182142848954,0.45500704686898974
C,4,48,1.302544197430576,0.33154355724078755
C,5,60,0.3836062536025629,0.24390412245492427
C,6,72,0.23259633823600734,0.13163139630701962
C,7,84,0.23473877804381096,0.0856465453797889
C,8,96,0.15270075855644327,0.07288923184397306
C,9,108,0.0749317810962061,0.05796145243919563
C,10,120,0.03882387896704307,0.03941174501907683
C#,0,1,0.012709615912390886,0.10050820638571771
C#,1,13,0.00965491572140117,0.12070722531830487
C#,2,25,0.014934618096569024,0.1672949044991767
C#,3,37,1.451305364438124,0.3530643241714003
C#,4,49,1.3822076596393578,0.2981949521759546
C#,5,61,0.2849228152926974,0.21768845346771384
C#,6,73,0.20708755957585118,0.1147184972150487
C#,7,85,0.1595308817764147,0.0796508397154859
C#,8,97,0.11409405936499507,0.07065962311789448
C#,9,109,0.06702614662403004,0.057806178406346526
C#,10,121,0.03357893991109186,0.0353897472266123
D,0,2,0.012731219612921878,0.10677146663082014
D,1,14,0.014230367517295934,0.2000219737641589
D,2,26,0.02660565163376575,0.21189555500745308
D,3,38,1.5774178134319254,0.32084955263918663
D,4,50,1.3599753684707987,0.25452837705739767
D,5,62,0.3544508032442492,0.1952089573967824
D,6,74,0.42837627263396155,0.1144215516940639
D,7,86,0.2395896949312049,0.07575972809307907
D,8,98,0.14233317836013257,0.06548380242577849
D,9,110,0.07198172199317077,0.05913203853127376
D,10,122,0.03007449348851444,0.031885812005944376
D#,0,3,0.013553081742591693,0.12044443240093579
D#,1,15,0.017754014772215054,0.2922618283839508
D#,2,27,0.04062864290100717,0.2839313521129922
D#,3,39,1.6966391941570136,0.32713872485858164
D#,4,51,1.1345837856251724,0.21975121548787654
D#,5,63,0.32609902362160803,0.17392709564889997
D#,6,75,0.4272986448038153,0.11107914230793119
D#,7,87,0.20748325789695987,0.07164507749121811
D#,8,99,0.11655615596945744,0.06490075530302389
D#,9,111,0.06438179363756621,0.05805636472088607
D#,10,123,0.025062194442380278,0.02735486249840178
E,0,4,0.01513365294390654,0.11588696391595911
E,1,16,0.012300508285969201,0.1958161369435704
E,2,28,0.033235867769395834,0.20081838015287914
E,3,40,1.9155326586143557,0.3584685381825822
E,4,52,0.8812493151779867,0.21228573782614965
E,5,64,0.2658170070146794,0.17602188559259582
E,6,76,0.46101569494371236,0.10943648772427737
E,7,88,0.19676290775202943,0.0713796880492023
E,8,100,0.10182973783006616,0.062161236920162274
E,9,112,0.061318703291585945,0.057492135147313876
E,10,124,0.022498256286006615,0.024466840516608315
F,0,5,0.014839061174875968,0.10670974324180135
F,1,17,0.009179932148465781,0.15429183132632948
F,2,29,0.0449118380970013,0.22221162559730984
F,3,41,1.6785616651240107,0.3543675778287294
F,4,53,0.6334334288255163,0.20927717517320085
F,5,65,0.21605210816128978,0.16287904106735596
F,6,77,0.4211137076270277,0.10734659767116563
F,7,89,0.16935303500538698,0.07468384519061437
F,8,101,0.09239415847584326,0.061170089491664546
F,9,113,0.05586066113760288,0.05366525407364961
F,10,125,0.019753948615511118,0.022019183495781334
F#,0,6,0.014297449973323944,0.10668145084943273
F#,1,18,0.009163763181613584,0.15814594560157116
F#,2,30,0.05460763251646413,0.22289404164945742
F#,3,42,1.7468505736939939,0.39653074583331777
