Note,Octave,MIDI Note,Harmonic Mean,Percussive Mean
A,0,9,0.01036961283267673,0.1437795365566822
A,1,21,0.09085541228040003,0.3145731133949148
A,2,33,0.6593401034149923,0.9080762623664634
A,3,45,0.8162385394490776,0.4673558014945536
A,4,57,0.5809437581696125,0.27629070010080625
A,5,69,0.27700754158436164,0.1798821114079907
A,6,81,0.4072592770751717,0.10681259460447619
A,7,93,0.20634569589168616,0.062490853985479086
A,8,105,0.13231061032524435,0.08595802493632543
A,9,117,0.026162834185615255,0.030123454258905318
A#,0,10,0.009881645075172493,0.1297612973363284
A#,1,22,0.10557622365054818,0.38768138195409646
A#,2,34,0.9141825839149413,0.9267527839935993
A#,3,46,0.9525336356124022,0.519915703157857
A#,4,58,0.5769686677520353,0.2997414591775653
A#,5,70,0.27174423517592644,0.17460117477576564
A#,6,82,0.36264815348278184,0.10504213437152043
A#,7,94,0.21683430320362557,0.06749087114426587
A#,8,106,0.14037447319427288,0.09775315694868966
A#,9,118,0.03056705666735322,0.030966876793444634
B,0,11,0.009159638197689427,0.09843300977011822
B,1,23,0.11033752607619936,0.4539875063888172
B,2,35,0.9053044025448264,0.8856558488823891
B,3,47,0.8489963182950455,0.4505934685599635
B,4,59,0.47864049435604106,0.27290310992832234
B,5,71,0.3179086858287932,0.1615156966597882
B,6,83,0.19640674265675107,0.10643654929705053
B,7,95,0.20867854871184408,0.06988480098313027
B,8,107,0.12056359803922223,0.09417702393497862
B,9,119,0.03115049184427564,0.031880692850426925
C,0,0,0.004087399862818343,0.09727742669652796
C,1,12,0.010867098333458147,0.10526145730707609
C,2,24,0.12700749996398736,0.5118284729932672
C,3,36,0.7493941247588699,0.7235611784347709
C,4,48,0.6426660680334492,0.39437026597414043
C,5,60,0.3428455701227805,0.22932554387733936
C,6,72,0.27102157807124405,0.17851307586118667
C,7,84,0.14644085978301508,0.11106282652257779
C,8,96,0.15395139919858414,0.07168558587031125
C,9,108,0.09290050431752583,0.07911494560510389
C,10,120,0.031715550926354426,0.03284730693786904
C#,0,1,0.004666558244231341,0.09457017842410016
C#,1,13,0.011461498472005057,0.09811798675834973
C#,2,25,0.13324470379464193,0.5305024798170944
C#,3,37,0.5992495368184906,0.5204437762365658
C#,4,49,0.5415201619920944,0.3022232047281348
C#,5,61,0.38009039252236443,0.23179020772564596
C#,6,73,0.23750485561104712,0.17405402782411825
C#,7,85,0.17252001847225645,0.10586890165612092
C#,8,97,0.15169466847828172,0.07366440007893324
