Note,Octave,MIDI Note,Harmonic Mean,Percussive Mean
A,0,9,0.003795003074581667,0.0815757471850509
A,1,21,0.013139745726362898,0.08718934666313947
A,2,33,0.5697252072683592,0.7141661462225479
A,3,45,2.0721617934658747,0.8045077169550493
A,4,57,0.4424474812447101,0.34088843375682676
A,5,69,0.26578914008415594,0.1517057689194033
A,6,81,0.3099911314765199,0.08643856460205751
A,7,93,0.20088001867956218,0.06882824574562953
A,8,105,0.05043119673340643,0.03599181590455023
A,9,117,0.015748399160065388,0.021523155538487233
A#,0,10,0.003482051758897079,0.048424050508097484
A#,1,22,0.015021771307933869,0.09413169803272782
A#,2,34,0.7709601207534275,0.9001022055500776
A#,3,46,1.8665707341423896,0.743201106690696
A#,4,58,0.406278492744569,0.27941022638402785
A#,5,70,0.23274923592173266,0.1405957587442336
A#,6,82,0.22111500102298212,0.08909434161978712
A#,7,94,0.14606204038501305,0.06456731183599176
A#,8,106,0.042731464067935473,0.03641735823560444
A#,9,118,0.014371230644671691,0.020709472610644028
B,0,11,0.003754914184903125,0.07295774727902125
B,1,23,0.018927298533398945,0.10218586600075776
B,2,35,1.3513314744532836,1.2096775389444505
B,3,47,1.7553763662334212,0.7399910762435306
B,4,59,0.3503474562212226,0.2941822870594173
B,5,71,0.15378090844730435,0.12955713808483676
B,6,83,0.10695676201493709,0.09245497734674689
B,7,95,0.10188923985330811,0.06068340271846046
B,8,107,0.042174456539663764,0.03394350341983419
B,9,119,0.013533747037220843,0.019247346374984566
C,0,0,0.008851249724505189,0.21545812290411914
C,1,12,0.004269810816773715,0.08531031118755698
C,2,24,0.024182133045030405,0.11131970765523014
C,3,36,1.949663669249049,1.53975140172048
C,4,48,1.5627560491867238,0.7545780332374539
C,5,60,0.30994832283021684,0.27210055177034337
C,6,72,0.2020086939432434,0.11723489823145482
C,7,84,0.13486969406278743,0.08214084791040235
C,8,96,0.10060785541398772,0.05796174721724653
C,9,108,0.03339193754572095,0.0290671520809686
C,10,120,0.011746331553236277,0.018418095825955633
C#,0,1,0.005831881236626084,0.10711208555171839
C#,1,13,0.004445589883577817,0.054156598285809744
C#,2,25,0.030694304824716866,0.12099812050325733
C#,3,37,2.298689513427368,1.7572629389777348
C#,4,49,1.0228859538322024,0.7310465044725516
C#,5,61,0.32839904787791263,0.2706477140470719
C#,6,73,0.34764448669240183,0.11305762805410789
C#,7,85,0.250555393240336,0.07694669788293351
C#,8,97,0.16692706548099728,0.05686321015573407
C#,9,109,0.040865909221516956,0.0301499238902047
C#,10,121,0.010756413391856904,0.01796165799776606
D,0,2,0.007457551865512354,0.09059240448938659
D,1,14,0.005665037935804214,0.07654808239848886
D,2,26,0.037532208709308276,0.12521953117119056
D,3,38,2.425414470028104,1.8293741765962366
D,4,50,0.6511719698526374,0.6494185834872107
D,5,62,0.22683963242767324,0.22453351161168603
D,6,74,0.2711317470875735,0.10567335070464742
D,7,86,0.19924747043389437,0.072605218228981
D,8,98,0.1317407659565145,0.05102417464080064
D,9,110,0.03959224591357238,0.031959794402226196
D,10,122,0.010914628005654336,0.017759541907602705
D#,0,3,0.006622854179427818,0.08556318069488841
D#,1,15,0.006453154637422118,0.06800527869587944
D#,2,27,0.04518738688604317,0.1340204617049077
D#,3,39,2.1951887555700975,1.7306136113436066
D#,4,51,0.4960148960821896,0.5802669697499577
D#,5,63,0.11634459849866474,0.1818432688825227
