Note,Octave,MIDI Note,Harmonic Mean,Percussive Mean
A,0,9,0.014135616111272762,0.1091146709451876
A,1,21,0.01095561646908044,0.11213257938095275
A,2,33,0.3593809943878228,0.6600992243984637
A,3,45,0.8854229360979966,0.7028476024333871
A,4,57,0.5895543424265542,0.2993276012046978
A,5,69,0.3374992812760435,0.20222239643379328
A,6,81,0.45231907056265847,0.10057405084110425
A,7,93,0.16949139184054826,0.0561491084377673
A,8,105,0.04310471369620192,0.02716405458833068
A,9,117,0.014636229570407213,0.018431358986253022
A#,0,10,0.01462986351641168,0.11964931161347665
A#,1,22,0.013117536621265054,0.1227326553794109
A#,2,34,0.341936664292471,0.7318580872002449
A#,3,46,0.7287394406065401,0.45194091064250375
A#,4,58,0.6129225338595723,0.2952242442956942
A#,5,70,0.4498186348450581,0.17727135196892996
A#,6,82,0.4052436081094304,0.09784109250549389
A#,7,94,0.1745959038613211,0.05804858547410296
A#,8,106,0.04115860561097153,0.027237302078359043
A#,9,118,0.013768507682530845,0.018137931132603535
B,0,11,0.010669122753884775,0.08104668435843096
B,1,23,0.015582947435625012,0.1355407492397569
B,2,35,0.3753054698261936,0.7734053269351043
B,3,47,0.743103199811806,0.49611528024420043
B,4,59,0.8664133419525516,0.31845915464080565
B,5,71,0.99588471494967,0.15314227208801504
B,6,83,0.28686711735713616,0.09373804603643265
B,7,95,0.17940724165974117,0.05721452052423958
B,8,107,0.029280392136732475,0.024975665208056583
B,9,119,0.012470910208629766,0.016594945109716985
C,0,0,0.018382402915144366,0.06713491801705723
C,1,12,0.010427305092951278,0.10534342533339848
C,2,24,0.0188403518433082,0.14645983421127515
C,3,36,0.38648978207652673,0.7909706360126846
C,4,48,0.5725411890946331,0.46634293506276026
C,5,60,0.6668992861415414,0.26134744931668685
C,6,72,0.8336406558625339,0.1438296972704746
C,7,84,0.22709822696491822,0.08864734944450316
C,8,96,0.12889236952490923,0.050765824299304575
C,9,108,0.02731757160490361,0.022087511332847486
C,10,120,0.010336416945032028,0.014042871860259052
C#,0,1,0.02121835451714308,0.0782018222420679
C#,1,13,0.009847721167637918,0.09633949154158163
C#,2,25,0.023865595781661635,0.15317965621046237
C#,3,37,0.25673256747804624,0.8078858031752785
C#,4,49,0.29700184750034886,0.32707299733609196
C#,5,61,0.5438124555236235,0.25161861309577793
C#,6,73,0.38534178324537904,0.14223454068670804
C#,7,85,0.18098453458240327,0.08738120196885478
C#,8,97,0.07154885866053089,0.047847184250680436
C#,9,109,0.025962957530029623,0.021785176391014547
C#,10,121,0.008668603929587175,0.012245234945839385
D,0,2,0.03875265985886713,0.19876053984799866
D,1,14,0.00902372100291836,0.0940405519088
D,2,26,0.031169560862736367,0.1635594348962198
D,3,38,0.18501617036141707,0.8183231107792016
D,4,50,0.3713659676562724,0.3105594564367203
D,5,62,0.9821300460249363,0.29611633251582326
D,6,74,0.6952842929973181,0.12837375003438964
D,7,86,0.23983796864488804,0.08477429319512554
D,8,98,0.08030165555885678,0.04556028054511123
D,9,110,0.02313419533592931,0.021632775922438462
D,10,122,0.007417282078411139,0.010500139624689275
D#,0,3,0.04440505475948209,0.23393397398112056
D#,1,15,0.00886608191041332,0.10318233422387993
D#,2,27,0.041904483243303196,0.1763337955288968
D#,3,39,0.1587364848531017,0.7105761642662587
D#,4,51,0.35978836201070885,0.32657935035792296
D#,5,63,0.7893667684267456,0.2636368576561004
D#,6,75,0.5746634348809818,0.12047547210226411
D#,7,87,0.20777933551182484,0.08283660986134771
D#,8,99,0.06925002472318176,0.04480281389415017
