Note,Octave,MIDI Note,Harmonic Mean,Percussive Mean
A,0,9,0.026292199254933035,0.21779632359700804
A,1,21,0.040000712055469706,0.24383698718128052
A,2,33,1.010812337223096,0.7045547607421822
A,3,45,1.672317267838958,0.7071342254363221
A,4,57,0.9053578289534571,0.7320301873590331
A,5,69,0.3037903374173125,0.24384078522701577
A,6,81,0.20875523637063206,0.09741554060430854
A,7,93,0.0827847253497039,0.05867497577929305
A,8,105,0.04348423428367973,0.04178241953063118
A,9,117,0.022826394815624283,0.04749071169911811
A#,0,10,0.027450591863045503,0.23884184540460857
A#,1,22,0.048424067502577654,0.2455424490926881
A#,2,34,1.3842575791939702,0.7573226620409141
A#,3,46,2.338216217478023,0.7293541229452842
A#,4,58,1.2814040108460316,0.9770230068981383
A#,5,70,0.3071706804295916,0.22101161579526743
A#,6,82,0.19185868647050067,0.08905207571701047
A#,7,94,0.07194512138477499,0.05511713153046921
A#,8,106,0.04293526444117705,0.04460221045049318
A#,9,118,0.02020569863951521,0.04482414654645518
B,0,11,0.029570024979482495,0.2625555149531669
B,1,23,0.07074686488310176,0.2808592688000685
B,2,35,1.4084694906778172,0.7427784299615033
B,3,47,1.9419446914535121,0.6134564387458892
B,4,59,1.0158263453995537,0.9453016899217249
B,5,71,0.1806023716162968,0.19697609447556966
B,6,83,0.14075596771920357,0.08253602029689584
B,7,95,0.08795389508682312,0.05602411178221376
B,8,107,0.03399362604660271,0.04465078233570187
B,9,119,0.019358542503707193,0.042561839813721344
C,0,0,0.02050284247983146,0.15329174893381206
C,1,12,0.028470249268425042,0.26637826939206505
C,2,24,0.08435924976155987,0.332805932644483
C,3,36,1.429564745568584,0.7399381017849701
C,4,48,1.537762760631981,0.5164876271159273
C,5,60,0.6961004763747711,0.6962232585478981
C,6,72,0.1369550612898275,0.17671398821052167
C,7,84,0.1563435596387082,0.08271974322940791
C,8,96,0.11100025283944613,0.05704339879351274
C,9,108,0.030452365536479044,0.04331884844586535
C,10,120,0.017737928062411826,0.038430433087351314
C#,0,1,0.02080974181425198,0.13771269373978604
C#,1,13,0.024105964376423032,0.2343227928765433
C#,2,25,0.10077383039265862,0.38866718765222463
C#,3,37,1.3951368112277318,0.6579020866554517
C#,4,49,1.3253690705901395,0.47845530444054635
C#,5,61,0.5943079426804262,0.46911051225613476
C#,6,73,0.13021055098495796,0.1480236103098928
C#,7,85,0.1328396722743949,0.08158543558231854
C#,8,97,0.08267792547499016,0.05504226492701437
C#,9,109,0.031909408601790125,0.043829004007342326
C#,10,121,0.01592178050968074,0.03602995332900798
D,0,2,0.025579375093622733,0.13707921541123186
D,1,14,0.022276116845378807,0.2118337198996026
D,2,26,0.11777704619100857,0.4252806565886959
D,3,38,1.5295776079548038,0.6396107721256904
D,4,50,1.277874934279116,0.5050958159312847
D,5,62,0.7122898606852323,0.4387566579449705
D,6,74,0.17636441735986527,0.14781819426792817
D,7,86,0.14840451855783712,0.07803150562247353
D,8,98,0.0756635009191995,0.05461920408035392
D,9,110,0.03231474173405346,0.04466096940460305
D,10,122,0.01453308617693068,0.0333500294359436
D#,0,3,0.03858634059332444,0.23868850586426743
D#,1,15,0.026507309481245585,0.21735315529169555
D#,2,27,0.1520107445657865,0.43600236811278625
D#,3,39,1.2039880047088058,0.6361100178266823
D#,4,51,1.0373897376980512,0.4787998384022328
D#,5,63,0.5320346463002695,0.39587734023269744
D#,6,75,0.1740110634397507,0.1366816181909967
D#,7,87,0.11768361971471683,0.07416138119314404
D#,8,99,0.0695924933889891,0.05183423921724295
D#,9,111,0.032431627110196856,0.04706472593085327
D#,10,123,0.01292553544978371,0.028021409454089114
E,0,4,0.06987749511548719,0.425842688547922
E,1,16,0.03207507136713997,0.25864876906711953
E,2,28,0.20932797822986512,0.48287187963345385
E,3,40,0.8961034765307838,0.6343474917003449
E,4,52,1.1042031959166752,0.46741294296029273
E,5,64,0.4381077012843288,0.33472544746139105
E,6,76,0.22649958212346977,0.11150733506539215
E,7,88,0.08620070319259286,0.06867915981962185
E,8,100,0.06444710205218539,0.05372175905830542
E,9,112,0.029670880401650716,0.046538663182892244
E,10,124,0.011477747857617555,0.026439155851183213
F,0,5,0.047712450581753975,0.3239649558370539
F,1,17,0.03131192152386409,0.2561569987340148
F,2,29,0.256008190021306,0.5331577644924356
F,3,41,1.1366236620248433,0.6959640238659304
F,4,53,1.6786619242770984,0.5084372058204945
F,5,65,0.7145562292104418,0.33272090594052595
F,6,77,0.39915305895686004,0.10265932361153297
F,7,89,0.10562789660249021,0.06244800575066976
F,8,101,0.08253638051465409,0.06094213390018659
F,9,113,0.02559523827488082,0.04323895753100797
F,10,125,0.010613851563331719,0.02410074786361686
F#,0,6,0.030623578667053994,0.2228590459337485
F#,1,18,0.030657656736112395,0.2443074741922342
F#,2,30,0.41914476491196645,0.604626538704682
F#,3,42,0.9931576533251922,0.6854288484783998
F#,4,54,1.3214652922241494,0.48353150056003086
F#,5,66,0.5539559645086325,0.31211413743554345
F#,6,78,0.31193591653145725,0.1032348568402558
F#,7,90,0.11370054435665071,0.05992218461842
F#,8,102,0.06749971167976633,0.05653797411650089
F#,9,114,0.02474638775788416,0.0422021997686733
F#,10,126,0.010381170010604302,0.021911691992986024
G,0,7,0.02538780850203192,0.2198871312239473
G,1,19,0.03483979175538541,0.2366395031279594
G,2,31,0.7431322891094035,0.7756814557622616
G,3,43,0.8083998197819937,0.6585531526384191
G,4,55,0.7949118436863362,0.5037819680487159
G,5,67,0.3262051577824059,0.29903279535972654
G,6,79,0.17845221883658427,0.11526699225194126
G,7,91,0.12193265782914482,0.06322308254032273
G,8,103,0.04723519399509828,0.04850875535563999
G,9,115,0.022529705434389657,0.04181723576652675
G,10,127,0.008803613218462705,0.018968079118691472
G#,0,8,0.024700921345376495,0.21970118601119995
G#,1,20,0.03642972281793652,0.23750464267996593
G#,2,32,0.8595304102953566,0.7839975002626642
G#,3,44,1.007431863024357,0.6675787090885156
G#,4,56,0.6727139730784983,0.5801909009197843
G#,5,68,0.2742395052166278,0.2565638333464742
G#,6,80,0.15793963114514745,0.11001459897814062
G#,7,92,0.10157942637309879,0.062076382641720336
G#,8,104,0.03788975789534025,0.042151878067232806
G#,9,116,0.02175268106600923,0.043323575385573146
