Note,Octave,MIDI Note,Harmonic Mean,Percussive Mean
A,0,9,0.0019913474105869113,0.05671415353372887
A,1,21,0.014472064439257219,0.09552810794626782
A,2,33,0.8928793847184181,0.4301582234206826
A,3,45,2.0830401629593616,0.311415348810994
A,4,57,1.547803700744433,0.2963040659743174
A,5,69,0.41351825514282353,0.1345729725118898
A,6,81,0.30633504878159046,0.08062525894170769
A,7,93,0.18155579905645444,0.04326163240649513
A,8,105,0.046568312056311595,0.03159237202478689
A,9,117,0.00991461353057717,0.014237555241670889
A#,0,10,0.002205300569458161,0.05649952562010309
A#,1,22,0.019121332288517177,0.12370099316677736
A#,2,34,0.3431073806842924,0.27622310695961705
A#,3,46,0.8268953625032055,0.24557918006398008
A#,4,58,0.5964041193445888,0.3117460349489026
A#,5,70,0.18278048819925613,0.11767639174412031
A#,6,82,0.19688725821363293,0.08191017836189743
A#,7,94,0.10556551748202446,0.04504436953488741
A#,8,106,0.038004309620185465,0.031887198086908965
A#,9,118,0.009721331882809941,0.014009386512126106
B,0,11,0.0025378677568767332,0.055686757703138245
B,1,23,0.02687139242693262,0.15633452546191506
B,2,35,0.21430479959357226,0.23685775180438562
B,3,47,0.5346881622274063,0.28897904958406445
B,4,59,0.2573588227915975,0.27191486293966216
B,5,71,0.18751473760055526,0.12351101432573465
B,6,83,0.2471971164560819,0.07733897687900641
B,7,95,0.0904866125377758,0.04321035456507886
B,8,107,0.038730076704796265,0.031018611980282475
B,9,119,0.00896003946814834,0.012842003847368806
C,0,0,0.001311073274249106,0.05905424226674189
C,1,12,0.0028892823772770954,0.05759876803413558
C,2,24,0.041752045772126434,0.20984025347545102
C,3,36,0.2316075537050134,0.2679550781852898
C,4,48,0.4785871984651139,0.2994056953331458
C,5,60,0.21987907619975558,0.24703594124784659
C,6,72,0.22187721291806298,0.1215020511168608
C,7,84,0.29505328472689246,0.07384365879358624
C,8,96,0.07610774346576206,0.04049733248310142
C,9,108,0.03669628223952119,0.027290413608748065
C,10,120,0.0077302640636266965,0.01136530765608653
C#,0,1,0.0013534097562104689,0.056589803094612014
C#,1,13,0.0032626081105932903,0.059809141222367114
C#,2,25,0.06711319666615621,0.2835811584467674
C#,3,37,0.3328227291320606,0.37329864205907887
C#,4,49,0.6221226220892981,0.25334502541947185
C#,5,61,0.356788095340294,0.24197919979656474
C#,6,73,0.2565453293992675,0.11647273410793914
C#,7,85,0.28765240177119233,0.07190379679084176
C#,8,97,0.07765503887514304,0.04066476355579907
C#,9,109,0.031905751791161154,0.025982762106513745
C#,10,121,0.006815048123754492,0.010173118757754979
D,0,2,0.0013338747343638532,0.05414330271346951
D,1,14,0.0037116055503554203,0.06188261065442917
D,2,26,0.09251413514251774,0.3534300125875774
D,3,38,0.3055829816997594,0.4231527195294508
D,4,50,0.6767534429397881,0.20856442223582214
D,5,62,0.4169160112486639,0.21379681987069257
D,6,74,0.25004921214061715,0.11240236818259915
D,7,86,0.20425939409353547,0.06724355965945265
D,8,98,0.06349986305204652,0.04089776607508909
D,9,110,0.02483479730687177,0.023956327459950546
D,10,122,0.005882069399117979,0.008943964274652398
D#,0,3,0.0013742991007874928,0.057558202538969254
D#,1,15,0.004205489204190263,0.0640847395079913
D#,2,27,0.09668048479753238,0.34657559824348266
D#,3,39,0.26646196642852993,0.45392512115465544
D#,4,51,0.9437422921463268,0.22407408874127643
D#,5,63,0.5284942791744558,0.21519746020372382
D#,6,75,0.36275107885730995,0.1060998744181887
D#,7,87,0.21945954650576208,0.05840623830458961
D#,8,99,0.07322031488922259,0.03745891082339732
D#,9,111,0.026177009901359048,0.022061252348775505
D#,10,123,0.0050017229284488336,0.007939048104183019
E,0,4,0.001522468295993568,0.05424632792200173
E,1,16,0.0048744956829122835,0.06418867764585373
E,2,28,0.0885251225011628,0.30900703662414974
E,3,40,0.3204278986943585,0.4448369474150784
E,4,52,0.9054439777238616,0.2088077257028203
E,5,64,0.4711935312416544,0.20210363668568251
E,6,76,0.3314192373914664,0.09743440323920338
E,7,88,0.19007298122023739,0.0537367745888652
E,8,100,0.06825965815239424,0.035819060028873806
E,9,112,0.023559985343832603,0.020107136038182098
E,10,124,0.00453107051337764,0.007680760897523523
