Note,Octave,MIDI Note,Harmonic Mean,Percussive Mean
A,0,9,0.00019925919632234371,0.005171781074642661
A,1,21,0.00020776940365417685,0.0038259090949568884
A,2,33,0.005354120653155457,0.031247306222009587
A,3,45,0.05245748332900917,0.07373258109513182
A,4,57,0.2499486317709176,0.07638420652648298
A,5,69,0.466361597701558,0.1470761506632251
A,6,81,0.1465969114065332,0.06609747475456873
A,7,93,0.06988439283869524,0.03144766079210768
A,8,105,0.032874919473274776,0.019539385871505176
A,9,117,0.0032222869413374303,0.004712367926363309
A#,0,10,0.0001876713032042299,0.004761677224988451
A#,1,22,0.0002336152389090203,0.003779925897466597
A#,2,34,0.007089168788740782,0.03945616264868516
A#,3,46,0.06224181158982529,0.0666428510778948
A#,4,58,0.29413466796991583,0.07525146068864338
A#,5,70,0.39686770978511376,0.13780795937037282
A#,6,82,0.14699593584591766,0.06166862512575162
A#,7,94,0.05376838787704624,0.02895845798520579
A#,8,106,0.028763651916603915,0.018853374021997493
A#,9,118,0.003010284063355305,0.004563755941568484
B,0,11,0.00018155003321187525,0.004519121215682264
B,1,23,0.0002703606932023973,0.0037504777847534197
B,2,35,0.009779397636838985,0.04796371853280296
B,3,47,0.07456917623574587,0.05270358496442895
B,4,59,0.374423137362624,0.08059488018523965
B,5,71,0.2834619573549434,0.12695714716218479
B,6,83,0.21855150560559322,0.05773723911395192
B,7,95,0.04913557135870217,0.02909533894618982
B,8,107,0.023907268406035236,0.01793393204175766
B,9,119,0.0030063010672621866,0.004637395037726293
C,0,0,0.00019507927740035049,0.004648778996832419
C,1,12,0.00018186595101928973,0.004403846435796809
C,2,24,0.0003246325562738718,0.0037829226944324796
C,3,36,0.02304958615890301,0.06139986676372604
C,4,48,0.10825078665618976,0.047335365775774706
C,5,60,0.42322238167106396,0.0938956606277817
C,6,72,0.24855917756374488,0.1267927716702292
C,7,84,0.21242074877662045,0.05807553096028266
C,8,96,0.05075999115588375,0.031216592749041823
C,9,108,0.023051752138807696,0.017755690433512647
C,10,120,0.00308274388169531,0.004845430797221055
C#,0,1,0.000200512723082061,0.004857099147522187
C#,1,13,0.0001783330577293769,0.004493861028386623
C#,2,25,0.00041614603726110484,0.003992128875969627
C#,3,37,0.02864066749517986,0.07069955018576085
C#,4,49,0.20492205525086374,0.050712174377870525
C#,5,61,0.4427254899568959,0.09370520253959193
C#,6,73,0.22463497902948618,0.11666342870864332
C#,7,85,0.13383263234779225,0.06098215765062177
C#,8,97,0.05063234683375248,0.03387909154120485
C#,9,109,0.016809419133297282,0.016637788640421102
C#,10,121,0.0033429332293239532,0.005104875555365456
D,0,2,0.00022880199976497444,0.00520213935500516
D,1,14,0.00017948146327457755,0.004455359243575344
D,2,26,0.0005470601990403043,0.0046001398345383165
D,3,38,0.016792134682870122,0.06782430726590925
D,4,50,0.2915423760889404,0.05152311923457274
D,5,62,0.6231543410306659,0.10961900585937
D,6,74,0.26897352261456703,0.10721539305628658
D,7,86,0.15426310467871257,0.06022120423752291
D,8,98,0.05663509358677914,0.03482392950049573
D,9,110,0.01303796057449936,0.013694044504475244
D,10,122,0.0036368978198955877,0.005614152596765159
D#,0,3,0.00023136448386578342,0.005102660395964199
D#,1,15,0.00017704586245961186,0.004290231880296253
D#,2,27,0.0007095791418542146,0.005518213821213147
D#,3,39,0.014439861420492915,0.07149596875569454
D#,4,51,0.2120524370678934,0.04859731412759742
D#,5,63,0.6227986486372639,0.10297397777641959
D#,6,75,0.24017631916591592,0.09622509625318997
D#,7,87,0.13754025265303765,0.057267762531622406
D#,8,99,0.04511435623251716,0.034222054995189675
D#,9,111,0.01017796699694559,0.010987532829277738
D#,10,123,0.003904672527804049,0.006314959986521554
E,0,4,0.0001960158500565168,0.0052113366613497905
E,1,16,0.0001802643507381662,0.004316075019479589
E,2,28,0.0009721102549919208,0.0070284653663870425
E,3,40,0.015454530476721694,0.07483274630533049
E,4,52,0.13706692269682497,0.05196351752527797
E,5,64,0.8010156042136632,0.1089441335748056
E,6,76,0.28859328251165256,0.08828169241544685
E,7,88,0.1630641633475742,0.053379557989248594
E,8,100,0.041617198472638894,0.030909028915936797
E,9,112,0.00911288562895372,0.01021977127785832
E,10,124,0.003853762571499468,0.006385606932010152
F,0,5,0.0001909524825898666,0.0052281289214723475
F,1,17,0.00019770573515443622,0.004151783205915397
F,2,29,0.0013885262410259019,0.009533609751223183
F,3,41,0.012791316042100117,0.07499335148210166
F,4,53,0.11891441701526209,0.0526870891193598
