Note,Octave,MIDI Note,Harmonic Mean,Percussive Mean
A,0,9,0.0002038119886840086,0.004631618786041972
A,1,21,0.00020246332672063785,0.003835057637362514
A,2,33,0.0021883497759662552,0.02504759001780388
A,3,45,0.051421707026494366,0.05407190932905834
A,4,57,0.20019008191498133,0.10859198019968735
A,5,69,0.3077106539798504,0.16346576123728396
A,6,81,0.11512928638564436,0.06890652934186947
A,7,93,0.06457174272886211,0.04881015483046235
A,8,105,0.019593791487999147,0.017292210046950238
A,9,117,0.0032253671381187237,0.005002191056870785
A#,0,10,0.00018867110753371496,0.004524930420060697
A#,1,22,0.00020578711132860725,0.0038508051539214113
A#,2,34,0.0027268399866780405,0.028895736128857052
A#,3,46,0.08901306831722634,0.05267844701738018
A#,4,58,0.264552064676672,0.11423795587343455
A#,5,70,0.2595201540196502,0.15194807723264023
A#,6,82,0.11064974948390065,0.06818862117756057
A#,7,94,0.049367717256665,0.04759568210806025
A#,8,106,0.015622867328129427,0.01573022547078596
A#,9,118,0.00296811233903942,0.00461051334923335
B,0,11,0.00019222771459937035,0.004535188696824
B,1,23,0.0002180539908863134,0.0038766682285084537
B,2,35,0.0036651812057903917,0.03252924607156566
B,3,47,0.15231138373602027,0.052229924116752015
B,4,59,0.4216562791219978,0.11900061942285439
B,5,71,0.29058367867153057,0.14788538626048064
B,6,83,0.13056389567503615,0.0674659051538567
B,7,95,0.05260824057733276,0.047605566174575946
B,8,107,0.01469042508428558,0.015042087518889408
B,9,119,0.0026628578234239903,0.004209703593977223
C,0,0,0.00021615135842418154,0.0047566758126170216
C,1,12,0.00018585159296581177,0.004298275495558719
C,2,24,0.0002635526911112113,0.004027129266589305
C,3,36,0.008307240652402997,0.04084349630052581
C,4,48,0.18270307205580552,0.05150116631376462
C,5,60,0.42170350918316624,0.11655655065659669
C,6,72,0.25530115849267765,0.13845837975816086
C,7,84,0.12191891394651001,0.06696672305485375
C,8,96,0.05716694065057122,0.04993608865286635
C,9,108,0.013691767281566966,0.015297654962960334
C,10,120,0.0024078053388524663,0.003941341177612392
C#,0,1,0.00019308284114155844,0.004464112940716602
C#,1,13,0.00017378467748839504,0.004163266195973873
C#,2,25,0.0003174139743016004,0.004519608507361213
C#,3,37,0.010529254457695121,0.0470614169393703
C#,4,49,0.24533842563578306,0.05174664317598823
C#,5,61,0.5147191432166152,0.11901503415598158
C#,6,73,0.22682681101043492,0.12401812266733797
C#,7,85,0.11059767759029865,0.06671265608644586
C#,8,97,0.06255344727314291,0.04958096986947459
C#,9,109,0.012581134285163331,0.015386884537303485
