,MIDI Note,Note,Octave,time,value
1199,47,B,3,9,0.10048233610362046
1326,46,A#,3,10,0.10627768238169101
1327,47,B,3,10,0.12049167053311538
1328,48,C,4,10,0.11547679672302533
1343,63,D#,5,10,0.107631335220111
1455,47,B,3,11,0.10725366947067252
1456,48,C,4,11,0.10104218816928962
1470,62,D,5,11,0.16583910229279628
1471,63,D#,5,11,0.14669363402672744
1474,66,F#,5,11,0.12882769014302434
1475,67,G,5,11,0.1079646563635941
1598,62,D,5,12,0.13188326830768896
1599,63,D#,5,12,0.13831908103238122
1602,66,F#,5,12,0.11823622164962667
2104,56,G#,4,16,0.12137738096128124
2105,57,A,4,16,0.12193890073210373
2232,56,G#,4,17,0.16804457268864803
2233,57,A,4,17,0.12825109922155087
2360,56,G#,4,18,0.134478660147741
2361,57,A,4,18,0.11974522122154294
2363,59,B,4,18,0.10740266675260819
2489,57,A,4,19,0.11532390811206168
2490,58,A#,4,19,0.1531641862491549
2617,57,A,4,20,0.10823790194409458
2618,58,A#,4,20,0.1293672382957831
2619,59,B,4,20,0.10448478528697633
2620,60,C,5,20,0.1086532566963231
2757,69,A,5,21,0.10174972967452801
2762,74,D,6,21,0.103375006483275
3267,67,G,5,25,0.10921139298479
3278,78,F#,6,25,0.1280446548531229
3279,79,G,6,25,0.1627829609926274
4025,57,A,4,31,0.10255856833661679
4153,57,A,4,32,0.10499880539083356
4281,57,A,4,33,0.11301573167088559
4409,57,A,4,34,0.10024655813749438
5701,69,A,5,44,0.10812134301999886
8615,39,D#,3,67,0.10270646799409595
8623,47,B,3,67,0.10648380501465983
8624,48,C,4,67,0.1093142925782295
8743,39,D#,3,68,0.12466472642511521
8744,40,E,3,68,0.11642077400683364
8751,47,B,3,68,0.12041320158196445
8752,48,C,4,68,0.12273125730979965
8871,39,D#,3,69,0.13521261474631777
8872,40,E,3,69,0.13243366843198798
8879,47,B,3,69,0.11607252762409385
8887,55,G,4,69,0.12283015173995966
8888,56,G#,4,69,0.177242104339786
8889,57,A,4,69,0.16331970496603807
8890,58,A#,4,69,0.16448762312009518
8891,59,B,4,69,0.120880661733019
8892,60,C,5,69,0.1058372768718395
8893,61,C#,5,69,0.10439197238576357
8900,68,G#,5,69,0.11384007026960775
8999,39,D#,3,70,0.13232318723343586
9000,40,E,3,70,0.13735494911894264
9005,45,A,3,70,0.10673155419768117
9006,46,A#,3,70,0.10362009545280106
9015,55,G,4,70,0.2015741718727651
9016,56,G#,4,70,0.3380166516439334
9017,57,A,4,70,0.3187470449486642
9018,58,A#,4,70,0.23433114687233048
9019,59,B,4,70,0.11785424278911426
9024,64,E,5,70,0.10547114838256745
9029,69,A,5,70,0.15000583157189223
9030,70,A#,5,70,0.12078585830249261
9031,71,B,5,70,0.10629800221007278
9032,72,C,6,70,0.11907438895530523
9127,39,D#,3,71,0.11698591794113193
9128,40,E,3,71,0.12934506793705414
9133,45,A,3,71,0.11235134887970367
9134,46,A#,3,71,0.1406088243278483
9143,55,G,4,71,0.23428604418846405
9144,56,G#,4,71,0.36329869315731794
9145,57,A,4,71,0.23201067662750974
9146,58,A#,4,71,0.11898944756683527
9147,59,B,4,71,0.1356180831447246
9155,67,G,5,71,0.10033285893300078
9156,68,G#,5,71,0.20749172721069184
9157,69,A,5,71,0.19091773408248344
9159,71,B,5,71,0.19578988143894163
9160,72,C,6,71,0.1336895276659673
9256,40,E,3,72,0.11044800723809757
9261,45,A,3,72,0.10871656126564501
9262,46,A#,3,72,0.1356138316984185
9271,55,G,4,72,0.1779035391461877
9272,56,G#,4,72,0.19300193079368205
9273,57,A,4,72,0.18493403577475098
9274,58,A#,4,72,0.23328523023056197
9275,59,B,4,72,0.29052470577447903
9276,60,C,5,72,0.20376106145503853
9281,65,F,5,72,0.11203197063384845
9285,69,A,5,72,0.17022922901862814
9286,70,A#,5,72,0.15294134898275674
9288,72,C,6,72,0.1125362516186545
9292,76,E,6,72,0.1220187835653072
9390,46,A#,3,73,0.10173461021962808
9402,58,A#,4,73,0.2210640038006006
9403,59,B,4,73,0.3096959203349824
9404,60,C,5,73,0.3307415001375699
9405,61,C#,5,73,0.2396331967344194
9406,62,D,5,73,0.15522691245437112
9409,65,F,5,73,0.10291433396635352
9412,68,G#,5,73,0.14286648142281283
9413,69,A,5,73,0.2500221776512833
9414,70,A#,5,73,0.14302350200762484
9416,72,C,6,73,0.13782363192359734
9417,73,C#,6,73,0.1382044282016143
9418,74,D,6,73,0.12182866253928815
9532,60,C,5,74,0.1724250813110074
9533,61,C#,5,74,0.12489826494983686
9534,62,D,5,74,0.12123645289295581
9535,63,D#,5,74,0.10814369800913631
9541,69,A,5,74,0.16777799342905883
9542,70,A#,5,74,0.12239743941315366
9546,74,D,6,74,0.11537423381784391
9669,69,A,5,75,0.17513319842165798
9670,70,A#,5,75,0.10720133834014484
9671,71,B,5,75,0.1041341511251592
9672,72,C,6,75,0.14069199465573523
9794,66,F#,5,76,0.12162670249435957
9795,67,G,5,76,0.13008804390075254
9797,69,A,5,76,0.18826989375716188
9798,70,A#,5,76,0.1657586406135619
9804,76,E,6,76,0.10830963006336966
9922,66,F#,5,77,0.10560115512877351
9924,68,G#,5,77,0.19091030527720781
9925,69,A,5,77,0.26735899376236144
9926,70,A#,5,77,0.17024848500175416
9927,71,B,5,77,0.10590999769646112
9930,74,D,6,77,0.16142927200684695
9931,75,D#,6,77,0.1443223460305632
9932,76,E,6,77,0.1182420844707883
9933,77,F,6,77,0.10402317809936226
10049,65,F,5,78,0.10138436059958895
10050,66,F#,5,78,0.1919058385983988
10051,67,G,5,78,0.17664318268861395
10053,69,A,5,78,0.15205316622663673
10054,70,A#,5,78,0.16287788862382815
10055,71,B,5,78,0.10276688117621287
10062,78,F#,6,78,0.14239343629614387
10063,79,G,6,78,0.10591484812309365
10178,66,F#,5,79,0.10806088158607478
10181,69,A,5,79,0.1408690526605709
10297,57,A,4,80,0.10125448121057343
10309,69,A,5,80,0.1175252309547079
10310,70,A#,5,80,0.12025013551623662
10425,57,A,4,81,0.1200827844376553
10434,66,F#,5,81,0.17369465238391404
10435,67,G,5,81,0.16106559310690582
10437,69,A,5,81,0.1172104374209679
10438,70,A#,5,81,0.11183709554005433
10439,71,B,5,81,0.10807550285725297
10553,57,A,4,82,0.12476944376272245
10562,66,F#,5,82,0.13396556383135863
10563,67,G,5,82,0.11164361429175954
10682,58,A#,4,83,0.10925162679430903
10818,66,F#,5,84,0.1197494102374085
10819,67,G,5,84,0.1000739045340816
10946,66,F#,5,85,0.13735946062769497
10947,67,G,5,85,0.14426482594836323
10950,70,A#,5,85,0.10203269172797103
10951,71,B,5,85,0.12523014429801282
10952,72,C,6,85,0.11733094973280846
11074,66,F#,5,86,0.10957017545456514
11075,67,G,5,86,0.14176169591486357
11078,70,A#,5,86,0.10875456092839624
11079,71,B,5,86,0.13451421759728688
11206,70,A#,5,87,0.10114109017942853
11207,71,B,5,87,0.14989342556606775
11208,72,C,6,87,0.12584149702072195
11334,70,A#,5,88,0.1170805326084314
11335,71,B,5,88,0.14761781981711597
11336,72,C,6,88,0.1155233452393197
11458,66,F#,5,89,0.12115708831225097
11459,67,G,5,89,0.11631454285353196
11461,69,A,5,89,0.14749056044553285
11462,70,A#,5,89,0.13049026850143441
11463,71,B,5,89,0.1227179792378212
11464,72,C,6,89,0.10155347343964286
11586,66,F#,5,90,0.11398117268379898
11587,67,G,5,90,0.10511291841494562
11589,69,A,5,90,0.14703056603033843
11590,70,A#,5,90,0.12269083722997097
11717,69,A,5,91,0.10585154644252398
11833,57,A,4,92,0.11498723359115656
11961,57,A,4,93,0.14363750997485605
11962,58,A#,4,93,0.1031575479639727
12089,57,A,4,94,0.14859247414024634
12090,58,A#,4,94,0.11229943765127014
12217,57,A,4,95,0.13503336264121674
12218,58,A#,4,95,0.1212832699427825
12345,57,A,4,96,0.10733810093648341
12346,58,A#,4,96,0.11534913553157207
12359,71,B,5,96,0.10661864091054479
12360,72,C,6,96,0.11718851361641186
12485,69,A,5,97,0.12359598250076136
12487,71,B,5,97,0.11236052147150025
12488,72,C,6,97,0.12822854085338417
12610,66,F#,5,98,0.10271775485256096
12613,69,A,5,98,0.10876610598283598
12615,71,B,5,98,0.11759607427908193
12743,71,B,5,99,0.11155672870367324
12744,72,C,6,99,0.12613036537616376
12869,69,A,5,100,0.11523968677807862
13639,71,B,5,106,0.10999748208973882
13765,69,A,5,107,0.10708365383158397
13766,70,A#,5,107,0.1115797764610563
13767,71,B,5,107,0.1271067192745356
13894,70,A#,5,108,0.1063729293713107
13895,71,B,5,108,0.13317945763495334
14023,71,B,5,109,0.11526322994216612
14264,56,G#,4,111,0.14724674788115547
14265,57,A,4,111,0.1624121235739019
14266,58,A#,4,111,0.1223058273470512
14276,68,G#,5,111,0.10790917596020047
14277,69,A,5,111,0.14305905269824637
14392,56,G#,4,112,0.1240599596218583
14393,57,A,4,112,0.1342835863999301
14394,58,A#,4,112,0.12097118046572354
15527,39,D#,3,121,0.10993072123266605
15654,38,D,3,122,0.10171749129728629
15655,39,D#,3,122,0.12614609200501065
15783,39,D#,3,123,0.13081004338840593
15911,39,D#,3,124,0.12424329747938169
16039,39,D#,3,125,0.10904005849843175
16317,61,C#,5,127,0.10082998456063154
16446,62,D,5,128,0.11583680324704006
16573,61,C#,5,129,0.11515384643758499
16574,62,D,5,129,0.131434336410478
16699,59,B,4,130,0.10495701807609249
16700,60,C,5,130,0.1023328706251995
16703,63,D#,5,130,0.11479759123453988
16704,64,E,5,130,0.11339743863646737
16829,61,C#,5,131,0.13763721802395978
16830,62,D,5,131,0.16663425279712063
16832,64,E,5,131,0.17887933431297873
16833,65,F,5,131,0.16536078096096146
16835,67,G,5,131,0.1094741064394601
16957,61,C#,5,132,0.17495100188784388
16958,62,D,5,132,0.19835283632969283
16959,63,D#,5,132,0.16728015188891202
16960,64,E,5,132,0.18991426151419313
16961,65,F,5,132,0.1377750277923592
16963,67,G,5,132,0.15183111172809755
16964,68,G#,5,132,0.20997069650206962
16965,69,A,5,132,0.17387709773445814
17085,61,C#,5,133,0.11993014884133615
17092,68,G#,5,133,0.1382064840138294
17093,69,A,5,133,0.1057741268963927
17213,61,C#,5,134,0.10966433709354016
17341,61,C#,5,135,0.1359935088155904
17342,62,D,5,135,0.11105037911614586
17344,64,E,5,135,0.12147467064766106
17469,61,C#,5,136,0.14987468676510493
17470,62,D,5,136,0.1422325121517738
17472,64,E,5,136,0.13999799493700701
17473,65,F,5,136,0.13389112813221785
17597,61,C#,5,137,0.10523427235496752
17728,64,E,5,138,0.10376819136472228
17856,64,E,5,139,0.10850004317902358
17981,61,C#,5,140,0.11571272517878434
17982,62,D,5,140,0.12687767648538223
17984,64,E,5,140,0.10325058081969979
18109,61,C#,5,141,0.13566571696815932
18112,64,E,5,141,0.12872646472344257
18113,65,F,5,141,0.1054963842829087
18237,61,C#,5,142,0.1388228826508487
18238,62,D,5,142,0.12755795970728173
18240,64,E,5,142,0.11889836606757276
18365,61,C#,5,143,0.11900246838961487
18366,62,D,5,143,0.1334063110181934
22825,41,F,3,178,0.10291725591476235
22829,45,A,3,178,0.11815076946214363
22830,46,A#,3,178,0.11428120930911016
22952,40,E,3,179,0.10310973348036831
22953,41,F,3,179,0.1245988900856194
22954,42,F#,3,179,0.10815967836592573
22957,45,A,3,179,0.14235056702486482
22958,46,A#,3,179,0.13556303470623243
22973,61,C#,5,179,0.11038055589910048
22974,62,D,5,179,0.12419831763942366
23078,38,D,3,180,0.10285530154091324
23080,40,E,3,180,0.10115658370415101
23081,41,F,3,180,0.13500274626395342
23082,42,F#,3,180,0.10206796873129632
23085,45,A,3,180,0.14396128382694184
23086,46,A#,3,180,0.12573830248186008
23100,60,C,5,180,0.11907838934988063
23102,62,D,5,180,0.10105381709833797
23206,38,D,3,181,0.10608977442050069
23209,41,F,3,181,0.1311417304726519
23213,45,A,3,181,0.12312417137145185
23229,61,C#,5,181,0.11194602673311685
23230,62,D,5,181,0.10364497335633066
23334,38,D,3,182,0.10332002067699718
23337,41,F,3,182,0.11440717679661304
23485,61,C#,5,183,0.1215000018968671
23486,62,D,5,183,0.10348326302019512
23613,61,C#,5,184,0.13753966085819072
23741,61,C#,5,185,0.102699697813181
23864,56,G#,4,186,0.10077348986079575
23865,57,A,4,186,0.10506244113768873
23867,59,B,4,186,0.12792799159840842
23992,56,G#,4,187,0.15822541790243036
23993,57,A,4,187,0.1565407670077622
23995,59,B,4,187,0.15499479633459365
23996,60,C,5,187,0.11067595650228777
23997,61,C#,5,187,0.17196150409762195
23998,62,D,5,187,0.18008466006857166
23999,63,D#,5,187,0.11706393210419618
24120,56,G#,4,188,0.18649043040218477
24121,57,A,4,188,0.17508058582495295
24123,59,B,4,188,0.1758899909912869
24124,60,C,5,188,0.16664060528980276
24125,61,C#,5,188,0.2453758097137643
24126,62,D,5,188,0.29572246780863215
24127,63,D#,5,188,0.16742197587659582
24128,64,E,5,188,0.10731539474354497
24130,66,F#,5,188,0.11846985188926955
24131,67,G,5,188,0.12744935331044085
24132,68,G#,5,188,0.19606611510652616
24133,69,A,5,188,0.17448931090918823
24134,70,A#,5,188,0.10081077204117102
24135,71,B,5,188,0.10361849655924692
24136,72,C,6,188,0.11315908790014788
24248,56,G#,4,189,0.14615596346712578
24249,57,A,4,189,0.15087520663014842
24251,59,B,4,189,0.14572978537405198
24252,60,C,5,189,0.17098746861415517
24253,61,C#,5,189,0.2132824666177843
24254,62,D,5,189,0.13443986863417598
24255,63,D#,5,189,0.11316236156215898
24256,64,E,5,189,0.17976634594676064
24257,65,F,5,189,0.1436146823962395
24258,66,F#,5,189,0.10221517702540928
24260,68,G#,5,189,0.12311742852755404
24376,56,G#,4,190,0.1018812577576576
24379,59,B,4,190,0.10169501577342129
24381,61,C#,5,190,0.12345585924710237
24382,62,D,5,190,0.1015628834037054
24507,59,B,4,191,0.10817258663119052
24508,60,C,5,191,0.10585240619985783
24509,61,C#,5,191,0.12990434797157263
24635,59,B,4,192,0.10284861407283914
24637,61,C#,5,192,0.1241751028747199
24638,62,D,5,192,0.11431807864049055
24765,61,C#,5,193,0.13928969895102952
24766,62,D,5,193,0.1329475072414623
24893,61,C#,5,194,0.13947634674821546
24894,62,D,5,194,0.11203606688615754
25021,61,C#,5,195,0.10914888441935358
25149,61,C#,5,196,0.11265719332655837
28768,96,C,8,224,0.17720459829801644
28769,97,C#,8,224,0.16494866076953094
30398,62,D,5,237,0.10964725609938866
30526,62,D,5,238,0.10396811181670147
30776,56,G#,4,240,0.11891746130086904
30777,57,A,4,240,0.1485274365262064
30778,58,A#,4,240,0.11114328266769617
30904,56,G#,4,241,0.1357821465558209
30905,57,A,4,241,0.17872966437314078
30906,58,A#,4,241,0.1333298920024934
30916,68,G#,5,241,0.10062948320151291
31033,57,A,4,242,0.10752160328988593
31419,59,B,4,245,0.12454409092281829
31420,60,C,5,245,0.14584755740393324
32194,66,F#,5,251,0.14907345247419382
32195,67,G,5,251,0.132041124071035
32322,66,F#,5,252,0.10233743866111267
33090,66,F#,5,258,0.11100657687858548
33091,67,G,5,258,0.10086366087479844
33218,66,F#,5,259,0.10846306668180755
33219,67,G,5,259,0.10244664461140525
36292,68,G#,5,283,0.10777870091277218
37549,45,A,3,293,0.10092313222712776
37673,41,F,3,294,0.1002726834706262
37688,56,G#,4,294,0.1579269492860791
37689,57,A,4,294,0.16987799904005638
37815,55,G,4,295,0.10057796532964311
37816,56,G#,4,295,0.25189264363172625
37817,57,A,4,295,0.23674105123486858
37818,58,A#,4,295,0.13043824366673976
37828,68,G#,5,295,0.10142732902130536
37943,55,G,4,296,0.1111861899613513
37944,56,G#,4,296,0.28332078001707495
37945,57,A,4,296,0.20882782022339924
37947,59,B,4,296,0.16125580444596593
37948,60,C,5,296,0.18800981722370616
37949,61,C#,5,296,0.10510797693827784
37956,68,G#,5,296,0.11934014213465857
37957,69,A,5,296,0.17197170215265453
37958,70,A#,5,296,0.1312440657512784
37960,72,C,6,296,0.1158694729783042
38072,56,G#,4,297,0.2234014819392443
38073,57,A,4,297,0.2399707220164278
38075,59,B,4,297,0.13192047481972285
38076,60,C,5,297,0.28531274275943624
38077,61,C#,5,297,0.15983520738906495
38085,69,A,5,297,0.18770017322326019
38086,70,A#,5,297,0.19995671237606033
38087,71,B,5,297,0.1348155262690719
38200,56,G#,4,298,0.10903726424651272
38201,57,A,4,298,0.18081489140883145
38202,58,A#,4,298,0.19632238525772147
38203,59,B,4,298,0.21647869289325794
38204,60,C,5,298,0.2542915771033088
38205,61,C#,5,298,0.21427936780897278
38206,62,D,5,298,0.1289002393196647
38213,69,A,5,298,0.2255868041079993
38214,70,A#,5,298,0.21098250548772332
38215,71,B,5,298,0.13204112264991041
38330,58,A#,4,299,0.14638819301480344
38341,69,A,5,299,0.21969542247814006
38342,70,A#,5,299,0.20099970543672296
38343,71,B,5,299,0.13813962053666104
38467,67,G,5,300,0.1268196349479247
38468,68,G#,5,300,0.11805025849543713
38469,69,A,5,300,0.22932955943573627
38470,70,A#,5,300,0.21070540050913047
38471,71,B,5,300,0.14287138021142123
38596,68,G#,5,301,0.14051852413553897
38597,69,A,5,301,0.19392419860523097
38598,70,A#,5,301,0.20693121064651682
38599,71,B,5,301,0.12533728616739273
38605,77,F,6,301,0.11038617779748756
38607,79,G,6,301,0.19312472687347115
38608,80,G#,6,301,0.21606854138563378
38614,86,D,7,301,0.1435557285515996
38615,87,D#,7,301,0.1605094251320897
38616,88,E,7,301,0.11243227663117816
38621,93,A,7,301,0.1001136300222782
38722,66,F#,5,302,0.10573088816826455
38723,67,G,5,302,0.14753279874011738
38725,69,A,5,302,0.1619187827256022
38726,70,A#,5,302,0.15337552297468254
38735,79,G,6,302,0.11241377932902469
38853,69,A,5,303,0.18663953250176435
38854,70,A#,5,303,0.14107737918640853
38981,69,A,5,304,0.1035538663428625
40645,69,A,5,317,0.13248710317484352
40646,70,A#,5,317,0.11730307601121906
40647,71,B,5,317,0.10008677155861448
40773,69,A,5,318,0.1173483354596742
40774,70,A#,5,318,0.1338746067685488
40775,71,B,5,318,0.11117571598094579
40901,69,A,5,319,0.13486986323657982
40902,70,A#,5,319,0.12831903165131764
40903,71,B,5,319,0.10788662018826337
41029,69,A,5,320,0.11690104449709458
41030,70,A#,5,320,0.11436287354293137
41146,58,A#,4,321,0.10890927660289762
41157,69,A,5,321,0.17448930766580517
41158,70,A#,5,321,0.15175747029516157
41159,71,B,5,321,0.10394169603763392
41272,56,G#,4,322,0.10348865295738603
41273,57,A,4,322,0.13554489545345788
41284,68,G#,5,322,0.11038261273277843
41285,69,A,5,322,0.19894085721351756
41286,70,A#,5,322,0.13828971097593365
41290,74,D,6,322,0.10397107733261204
41400,56,G#,4,323,0.11936026858197471
42300,60,C,5,330,0.1379791605069008
42301,61,C#,5,330,0.10657746610397174
45223,39,D#,3,353,0.10274641617535231
45351,39,D#,3,354,0.1085589624368089
45479,39,D#,3,355,0.10130727045741562
45493,53,F,4,355,0.11618298298076575
46269,61,C#,5,361,0.11904189624273061
46270,62,D,5,361,0.11596191767271576
46397,61,C#,5,362,0.13515356630786113
46398,62,D,5,362,0.15145831976656884
46401,65,F,5,362,0.10154833178976451
52929,65,F,5,413,0.10299154784509988
53055,63,D#,5,414,0.11859169064836063
53056,64,E,5,414,0.12380992577048823
56514,66,F#,5,441,0.11432827731362005
56515,67,G,5,441,0.12583447065347453
56516,68,G#,5,441,0.15002612814687882
56644,68,G#,5,442,0.10297622704897112
59816,40,E,3,467,0.10234837835049311
59943,39,D#,3,468,0.11243242483308578
59944,40,E,3,468,0.13884999251029867
59945,41,F,3,468,0.1341378558720032
60071,39,D#,3,469,0.1316422582907309
60072,40,E,3,469,0.16111983468022578
60073,41,F,3,469,0.154541132317334
