Note,Octave,MIDI Note,Harmonic Mean,Percussive Mean
A,0,9,4.182925178312535e-05,0.0016373593680284243
A,1,21,4.66114802809097e-05,0.001514850261969705
A,2,33,0.0007739879018950514,0.004487384428580409
A,3,45,0.03484999696392172,0.021773052776624974
A,4,57,0.368715450769191,0.04984712562988798
A,5,69,0.3338148370075973,0.06506473971863383
A,6,81,0.07948415829534873,0.017707278896378728
A,7,93,0.016233953906924187,0.008370820873316503
A,8,105,0.00599010566620673,0.004193105079818138
A,9,117,0.0011320658623385613,0.001607831311426669
A#,0,10,3.937234819558903e-05,0.0015497316972396412
A#,1,22,4.548726942837383e-05,0.0014634170721548596
A#,2,34,0.000987202948187962,0.005928473182486401
A#,3,46,0.09791878521206766,0.02493384617776832
A#,4,58,0.3004767080053088,0.04166686557152221
A#,5,70,0.2071962639280167,0.05507360219090412
A#,6,82,0.057266063768828646,0.01717281195340601
A#,7,94,0.016886090864281993,0.00810190077750384
A#,8,106,0.005902236459941046,0.004206695873089224
A#,9,118,0.0012697282294164857,0.0017772043829917775
B,0,11,3.839855694097598e-05,0.0015191969442044512
B,1,23,5.1473430232583283e-05,0.0014790705839825232
B,2,35,0.0015395664115658136,0.007896727418364927
B,3,47,0.24934392272222933,0.026986859202808255
B,4,59,0.22086209566555423,0.04785295045267733
B,5,71,0.1967270892596092,0.048814078860735126
B,6,83,0.07396563717061098,0.015945218494017713
B,7,95,0.02242939565080809,0.00840008198560073
B,8,107,0.006515232901745626,0.00462161706171871
B,9,119,0.0014637271963997237,0.0019306660265646285
C,0,0,9.223317013457187e-05,0.0018312106023711835
C,1,12,4.2216533226150514e-05,0.0016015582839604835
C,2,24,6.305231253720867e-05,0.0015603139460257853
C,3,36,0.00562545772159882,0.015198781465498024
C,4,48,0.30764016020836576,0.02651355795123786
C,5,60,0.2128254048127987,0.047438899774973425
C,6,72,0.18249697539791332,0.04282928948559636
C,7,84,0.07454920925735617,0.014202633262163599
C,8,96,0.019783619939000147,0.008395321489324425
C,9,108,0.005607234691988902,0.004721166107625162
C,10,120,0.0015431106668064463,0.0020389532650600933
C#,0,1,8.341840812764199e-05,0.0018351469789175906
C#,1,13,4.3062556192616244e-05,0.0015390406905727806
C#,2,25,7.379012965085174e-05,0.0015843611024789891
C#,3,37,0.007158482557904893,0.01945154022220498
C#,4,49,0.3870147530771948,0.02460468865207391
C#,5,61,0.36722740806203463,0.05260740859752163
C#,6,73,0.19978705783385323,0.036631545178147595
C#,7,85,0.07920425100059568,0.012987824989638219
C#,8,97,0.015815144393404965,0.008092282701366926
C#,9,109,0.004466133057961493,0.004412144036947943
C#,10,121,0.0019096107522180354,0.0024218641695208354
D,0,2,8.232151053179791e-05,0.001831888425639599
D,1,14,4.723745526016234e-05,0.0015832558243593763
D,2,26,8.195709815088017e-05,0.0014800389613362926
D,3,38,0.0035764860364283333,0.016107332358601945
D,4,50,0.3512849217079651,0.02008898448074677
D,5,62,0.530103314933522,0.06284916621369752
D,6,74,0.20998770263650787,0.03370177121332487
D,7,86,0.059771883939319335,0.012370010943148444
D,8,98,0.012186851103260118,0.007731590872131206
D,9,110,0.0034037500027700534,0.0036158084391854986
D,10,122,0.0023853809316457288,0.002955040656120368
D#,0,3,7.303298675099251e-05,0.0017514863054623514
D#,1,15,5.1061065988204373e-05,0.0015731428800418216
D#,2,27,0.00010498948514753827,0.0014684525008504018
D#,3,39,0.002940541989707788,0.0166615996489335
D#,4,51,0.20860630877461775,0.016996691390346864
D#,5,63,0.4040381897546848,0.054452922085499136
D#,6,75,0.12041871703076722,0.0290673173751998
D#,7,87,0.035830964746518805,0.012219207666306502
D#,8,99,0.010692034391469462,0.007496133794699782
D#,9,111,0.002882997207168326,0.003059352228653905
D#,10,123,0.002494734585519826,0.0031116101631051794
E,0,4,6.214101282938335e-05,0.0017240940442897078
E,1,16,5.2317787925179116e-05,0.0014130959058406703
E,2,28,0.00013941856585019533,0.0015489131798956805
E,3,40,0.0035111141971202716,0.017209834683795198
E,4,52,0.24194631115696236,0.023550528646157896
E,5,64,0.415608705471177,0.07071042327560059
E,6,76,0.10250812015005101,0.03018913207835462
E,7,88,0.05463173838953307,0.012519769504686426
E,8,100,0.014366110767686856,0.006749746728623892
E,9,112,0.002613828786270295,0.002848528683116833
E,10,124,0.0023057656386182984,0.002886950978568397
F,0,5,5.8962742652541855e-05,0.0016236539905499121
F,1,17,5.879991438153183e-05,0.0014029450075597253
F,2,29,0.00018826076661608197,0.001732852172761647
F,3,41,0.00288053034350049,0.014530321774465256
F,4,53,0.18971594035458025,0.027563257642045084
F,5,65,0.4124803418177601,0.06485045113712636
F,6,77,0.11095165025951889,0.026606978409832806
F,7,89,0.04749955107549829,0.012081101107939102
F,8,101,0.011167809201211291,0.0057372239282561825
F,9,113,0.0022342716433841896,0.002668248249108666
F,10,125,0.0017593564407565423,0.002312695595208895
F#,0,6,5.232609247553271e-05,0.001741296454158857
F#,1,18,6.435384675040913e-05,0.00139802662574986
F#,2,30,0.00025249257365414756,0.0021115424568858344
F#,3,42,0.003523560872673113,0.013672783861436612
F#,4,54,0.11589345963882874,0.031719164348407006
F#,5,66,0.5217709795161384,0.06831855978706296
F#,6,78,0.18016359011626296,0.02058788196375137
F#,7,90,0.0455655758461525,0.010883207741750582
F#,8,102,0.007627267458220583,0.004936925890895318
F#,9,114,0.0020638691694904025,0.0024826356460837967
F#,10,126,0.001439933655170876,0.0019816902334242417
G,0,7,4.9037976338047984e-05,0.0017145939124652621
G,1,19,5.9357476529493295e-05,0.0014728848835863127
G,2,31,0.0003496261348515032,0.0025606513844497023
G,3,43,0.0055622035595760165,0.014413185295361921
G,4,55,0.10733795832518864,0.03420275489168692
G,5,67,0.43953455887563797,0.06331885240963617
G,6,79,0.14609062813536677,0.018476012896198928
G,7,91,0.03462487794809414,0.009877102580569027
G,8,103,0.00588526166286776,0.004351910228706938
G,9,115,0.0016123136853851436,0.001986626210487364
G,10,127,0.00145453894218308,0.0020133980943173083
G#,0,8,4.512708519254357e-05,0.00171079256762832
G#,1,20,4.976324379542354e-05,0.0014979642475888015
G#,2,32,0.0005276484604725183,0.003331574675043131
G#,3,44,0.014247721279988277,0.01691213355623527
G#,4,56,0.19006727070475302,0.038080645537438805
G#,5,68,0.3164708134597021,0.05642443555824193
G#,6,80,0.07560507858528895,0.018096414666960593
G#,7,92,0.017698331885000643,0.009246788500330411
G#,8,104,0.005868277483816002,0.004239533713829812
G#,9,116,0.001176787852086755,0.0016017207043852654
