Note,Octave,MIDI Note,Harmonic Mean,Percussive Mean
A,0,9,0.0003143250619985778,0.00596852052521036
A,1,21,0.00033458174225814067,0.004455775986397885
A,2,33,0.004352841712948773,0.06156016493074339
A,3,45,0.11628736709525879,0.09624612297046117
A,4,57,0.24337503797197552,0.08776137716336237
A,5,69,0.2929543917273966,0.14779239024119867
A,6,81,0.09972390306534767,0.0670217858440438
A,7,93,0.06904511637376358,0.04960828877723385
A,8,105,0.02003105728043533,0.020562434489699594
A,9,117,0.0034489985560218466,0.005316909290503653
A#,0,10,0.00030548440040113317,0.006222961080471385
A#,1,22,0.00037409500186950543,0.004442634818622616
A#,2,34,0.004822947175999623,0.07050227448984044
A#,3,46,0.16531156147901893,0.08483136794368588
A#,4,58,0.36920508526433193,0.11847067579825658
A#,5,70,0.381489299586577,0.16018689871164543
A#,6,82,0.14455073092262763,0.07195583843436583
A#,7,94,0.06029251989285719,0.045423713564857464
A#,8,106,0.018963467075650126,0.018773300597541617
A#,9,118,0.0031247846795970737,0.004908724908975153
B,0,11,0.0002896097614864198,0.005850226406325066
B,1,23,0.0004616806031957132,0.004986503315446916
B,2,35,0.005546906335223875,0.07916078088292648
B,3,47,0.26526546457230876,0.07029850470917313
B,4,59,0.30963227455109005,0.12962651076806225
B,5,71,0.3043343621549992,0.1429335286422925
B,6,83,0.1390363579702345,0.07415520503405447
B,7,95,0.05141521571898162,0.04695896051807516
B,8,107,0.015169699646109177,0.017858757678090025
B,9,119,0.0028345795917075417,0.004610564382610986
C,0,0,0.00035273637867230134,0.005396575798002936
C,1,12,0.00026896305231321376,0.005329129351020225
C,2,24,0.0005925794496750392,0.005901926062667753
C,3,36,0.007623875056100739,0.08851514987722056
C,4,48,0.5482094915491089,0.06687365167380134
C,5,60,0.22183626344696006,0.15804983395463537
C,6,72,0.2865312233486228,0.13858274599680595
C,7,84,0.15779908114761532,0.0755062544564414
C,8,96,0.06888283441344938,0.051192663518012195
C,9,108,0.016472608822205272,0.01949184948924208
C,10,120,0.002762934722069838,0.0045887490173588215
C#,0,1,0.0003422728647852313,0.005439187893858232
C#,1,13,0.0002636741802073288,0.005448257345327698
C#,2,25,0.0007780724622559949,0.00746891087779847
C#,3,37,0.008919029975558459,0.09745186147755985
C#,4,49,0.5561816838151632,0.06632025669735728
C#,5,61,0.24611208045440827,0.14892538806675543
C#,6,73,0.26752958985378067,0.1253573184894867
C#,7,85,0.1618754085232674,0.07804538727973255
C#,8,97,0.06806515255339175,0.05192217736819405
C#,9,109,0.015493442076716634,0.020024604944977726
C#,10,121,0.002946297692140475,0.00484590846078312
D,0,2,0.0003432349781117766,0.005714760377750014
D,1,14,0.00026984026280245865,0.005308764082283467
D,2,26,0.0010147769718694504,0.010193586609813282
D,3,38,0.00806174831032983,0.10155480288386046
D,4,50,0.4859890917557873,0.07021276338570127
D,5,62,0.44989727717885275,0.1399654894345702
D,6,74,0.2773431219273356,0.10795789212707514
D,7,86,0.18570651039157085,0.07578972453632178
D,8,98,0.06435943087574043,0.04836212650267469
D,9,110,0.016335170331436704,0.018769400971206832
D,10,122,0.003301736461851752,0.005302299936599816
D#,0,3,0.00034798368340778577,0.005675207362660435
D#,1,15,0.0002823281244636781,0.005079927988997907
D#,2,27,0.0012973191526026771,0.014240312323034677
D#,3,39,0.008025178192281043,0.10490306760139025
D#,4,51,0.38443772191693504,0.07120691658989133
D#,5,63,0.5884304914871488,0.152098150154813
D#,6,75,0.2736786547740922,0.09298236249665892
D#,7,87,0.15127888271683787,0.07037155211577742
D#,8,99,0.051875186689426825,0.04193464048504034
D#,9,111,0.01381897183569153,0.016477163806522796
D#,10,123,0.003329910336467939,0.005474575646066673
E,0,4,0.00034827460036749284,0.00590360763331604
E,1,16,0.0002834910982152663,0.005008940418198462
E,2,28,0.0016631142962560757,0.020020964199191506
E,3,40,0.008705451744701075,0.10536057992204396
E,4,52,0.1664169781613532,0.06505419306778419
E,5,64,0.5033949463164844,0.138049625473679
E,6,76,0.18255500196580504,0.0805080522133868
E,7,88,0.09405078842126505,0.06646622895684925
E,8,100,0.03491438824579032,0.03713002139382807
E,9,112,0.01125361104245691,0.014740483770942484
E,10,124,0.0033723461301071187,0.005667840871049137
F,0,5,0.00033125540651986695,0.006028526844915373
F,1,17,0.00027834488158007747,0.004746280629452272
F,2,29,0.002122382919332692,0.02685646371787288
F,3,41,0.010242587619933493,0.10549105560775537
F,4,53,0.0972825753618535,0.06841323960884604
F,5,65,0.5420544182349682,0.15085225187510143
F,6,77,0.14886309279368284,0.082363145182727
F,7,89,0.11990867778868494,0.06934083552731589
F,8,101,0.03834337653297331,0.0368338806356493
F,9,113,0.010544162970507757,0.014324484806150332
F,10,125,0.0030070456830154635,0.0052203426089368204
F#,0,6,0.0003227484329015644,0.006237338729453894
F#,1,18,0.0002862910336291575,0.004709906848138183
F#,2,30,0.0026108151445047544,0.03488427027132603
F#,3,42,0.014106897963151697,0.10641625485385356
F#,4,54,0.11388602138874054,0.07501355189385252
F#,5,66,0.4775460139630046,0.14790669715064172
F#,6,78,0.12997641467699053,0.08044749763158429
F#,7,90,0.10972030275649454,0.06700818001371874
F#,8,102,0.03294494837112919,0.03301836892787371
F#,9,114,0.008844428567836538,0.012584326851777131
F#,10,126,0.0023286413354739297,0.004250272836215313
G,0,7,0.0003220619208671529,0.006319360962833554
G,1,19,0.0002952935373664609,0.0047222188573461926
G,2,31,0.0031336809219974786,0.0432418730438177
G,3,43,0.023306367158970272,0.10435997331342976
G,4,55,0.19112627791262865,0.09276272342608297
G,5,67,0.4098757842213721,0.1567433371454873
G,6,79,0.13110941402779078,0.0778515096386261
G,7,91,0.10735854985152177,0.0605902003667581
G,8,103,0.02734318075546461,0.025559515968893023
G,9,115,0.005858129179028618,0.008907914397190166
G,10,127,0.0020153924181323707,0.003717486664594531
G#,0,8,0.00032293158059170784,0.006177239306070068
G#,1,20,0.00030957499491064287,0.0045799900883034496
G#,2,32,0.0037939172190608514,0.052376507172712375
G#,3,44,0.05184279301938405,0.10102209118616817
G#,4,56,0.20911973248666146,0.08758260339266143
G#,5,68,0.3455169068988215,0.15493094833382431
G#,6,80,0.10960217454084878,0.0743208181306184
G#,7,92,0.09224628344728664,0.055566838810060096
G#,8,104,0.02298087661480727,0.022059426041277662
