Note,Octave,MIDI Note,Harmonic Mean,Percussive Mean
A,0,9,0.0010577210663474605,0.012959220552534609
A,1,21,0.0009354176476366209,0.013595473771569788
A,2,33,0.003080523322241338,0.020632301076384647
A,3,45,0.24385682203977757,0.15829965761235024
A,4,57,0.32231994787443863,0.07947817532717712
A,5,69,0.40745808705527137,0.12934569327121073
A,6,81,0.1429807784947418,0.0708515776033386
A,7,93,0.07271772436197801,0.05187666780333126
A,8,105,0.015494026994228232,0.013440383782819228
A,9,117,0.003299399828121472,0.004791199145583408
A#,0,10,0.0010404914256272606,0.01260590647419693
A#,1,22,0.0009048708836935177,0.013468695426849638
A#,2,34,0.0038984126434168905,0.022395824092598215
A#,3,46,0.22505495320924543,0.14354106942981032
A#,4,58,0.3235311474049578,0.0779973718362473
A#,5,70,0.3367456421119584,0.12467092530149522
A#,6,82,0.13595063934543192,0.06957899729276341
A#,7,94,0.06156417888585237,0.04557383949318953
A#,8,106,0.012960708904469917,0.013045894941590084
A#,9,118,0.0029364534390281124,0.004228475272082982
B,0,11,0.0010547365090573483,0.011982098712537746
B,1,23,0.0008957577483179153,0.013845937809361138
B,2,35,0.005311710106786029,0.024871653981717885
B,3,47,0.1429046890506703,0.11344878386522932
B,4,59,0.30380915146562787,0.08197869328582322
B,5,71,0.3161211875066359,0.12384398781153176
B,6,83,0.14513641438686825,0.07104868836494983
B,7,95,0.06083383941778052,0.04157261234026225
B,8,107,0.014240341018781633,0.014237635413200906
B,9,119,0.0028277501280528643,0.004147185863769306
C,0,0,0.0012215371637687052,0.012349118897070459
C,1,12,0.001052477568653665,0.012111239591637547
C,2,24,0.0009226490326516133,0.01440101264054596
C,3,36,0.010492818742919798,0.03307749296593112
C,4,48,0.21145492498879595,0.09023253936819325
C,5,60,0.22668895005786163,0.08211920448197353
C,6,72,0.29957097907446184,0.11582158501871326
C,7,84,0.12106493701174362,0.07042177097263419
C,8,96,0.051936696882626546,0.03966237755305438
C,9,108,0.014475533340587904,0.01588655103237854
C,10,120,0.002563143089907574,0.0038500449298873836
C#,0,1,0.0012317083315374505,0.012538873886613516
C#,1,13,0.0010511852715950263,0.012292662747085067
C#,2,25,0.0009208203600698432,0.014136348406032
C#,3,37,0.013521977001238628,0.04327413447383303
C#,4,49,0.4411374637264499,0.0728399691510805
C#,5,61,0.21780197769610202,0.09055754255835122
C#,6,73,0.23332882363879245,0.10325610035970326
C#,7,85,0.122933836750947,0.07238644458464716
C#,8,97,0.04805393158233766,0.04156782576483451
C#,9,109,0.01592425939141146,0.01783541287863385
C#,10,121,0.0024990712926521753,0.0038394430003861274
D,0,2,0.0012649096086132239,0.013330466111424367
D,1,14,0.0010635976301396686,0.012335335729759178
D,2,26,0.0009707091942245628,0.013800570375311185
D,3,38,0.012186974118072597,0.05273307950904248
D,4,50,0.500105070741568,0.05906121588091457
D,5,62,0.37846941084224356,0.11482935469503151
D,6,74,0.21550483712611385,0.10121707296682105
D,7,86,0.16092158535630552,0.07507508188216244
D,8,98,0.049120302056970475,0.04172550622183081
D,9,110,0.015220855237610716,0.017536463418605906
D,10,122,0.002607592395634018,0.004074308217055229
D#,0,3,0.0011635769717250025,0.013639706932080711
D#,1,15,0.0010219578555881324,0.012216916963585522
D#,2,27,0.0010443347509591088,0.014914960815026055
D#,3,39,0.01758162591697159,0.06989164171145691
D#,4,51,0.3469067782335569,0.04746636352189603
D#,5,63,0.4586740556187937,0.10828420282275229
D#,6,75,0.20505084856226283,0.09035886586766019
D#,7,87,0.15463597404450158,0.06982077377625533
D#,8,99,0.04281044920877407,0.037099410139404126
D#,9,111,0.013163983747986621,0.015495791125133747
D#,10,123,0.0025052842285221096,0.003999126132091418
E,0,4,0.0011684596038029284,0.012771339635803685
E,1,16,0.0010271430371609608,0.011879186677755713
E,2,28,0.0011792233445702066,0.015830824774819164
E,3,40,0.02393280051775154,0.08798886401482629
E,4,52,0.22689016738630133,0.041462531169141725
E,5,64,0.608868491889731,0.11756634743532829
E,6,76,0.22690896416408102,0.07903095245180235
E,7,88,0.13194029856825867,0.06642588392847278
E,8,100,0.03342021019156846,0.03137360253804246
E,9,112,0.012924646490006717,0.01446367435893914
E,10,124,0.0023172731815093396,0.0037452029925341694
F,0,5,0.0012269218666519069,0.01217858625368768
F,1,17,0.0010006379156231378,0.01223791878538538
F,2,29,0.0013807381055280048,0.01635858426604423
F,3,41,0.027799644972016944,0.10297474597316195
F,4,53,0.11780119403523535,0.038679939970748714
F,5,65,0.49235953180124614,0.11398391915229385
F,6,77,0.16880336839687604,0.07111361558546743
F,7,89,0.09557969268607577,0.0609749608215144
F,8,101,0.024055346774547078,0.026211083825276506
F,9,113,0.012034207940696621,0.013851623416822275
F,10,125,0.0018776047324126786,0.0031874378308997323
F#,0,6,0.0012336272383189077,0.012980988425857237
F#,1,18,0.0009424022054871499,0.012711736224785842
F#,2,30,0.0016270709474307432,0.01751108333558429
F#,3,42,0.03691414659421683,0.11725335364069658
F#,4,54,0.06015911296938975,0.04036194603869341
F#,5,66,0.3629601998842834,0.12034329173110493
F#,6,78,0.13081238701600106,0.06955122413688199
F#,7,90,0.09630675099417667,0.05708590472317914
F#,8,102,0.020465432641344684,0.02149575008654047
F#,9,114,0.010062603895285923,0.012332974935513063
F#,10,126,0.0014131612181762265,0.002584506426684133
G,0,7,0.0012554102722245621,0.013436709099042965
G,1,19,0.0009121795838988409,0.013020016599204489
G,2,31,0.0019348263129235562,0.017835656789610497
G,3,43,0.05517819335030985,0.1294879535692728
G,4,55,0.07305153683134794,0.053226280984923394
G,5,67,0.43351274087465297,0.12728707730972752
G,6,79,0.15527758007307726,0.07114459194339035
G,7,91,0.10128757813819646,0.05478571894792618
G,8,103,0.017110527754110677,0.01668083192911541
G,9,115,0.006664035291130793,0.008823895606290193
G,10,127,0.0012595060958915183,0.0024006109834390048
G#,0,8,0.0011171056854510303,0.012986190247426217
G#,1,20,0.0009341634274015719,0.01316545548484937
G#,2,32,0.002483514637875827,0.018875622304367796
G#,3,44,0.12707937353782986,0.1432478943766
G#,4,56,0.17373934638023852,0.0663155153555744
G#,5,68,0.411755244711053,0.12245594142584171
G#,6,80,0.14474241677085145,0.07074310636556264
G#,7,92,0.08462592177939296,0.05350872978592712
G#,8,104,0.015410707387308362,0.014022831273886321
