Note,Octave,MIDI Note,Harmonic Mean,Percussive Mean
A,0,9,0.024481909000794194,0.0458212111044479
A,1,21,0.017790246125296498,0.05104521513637543
A,2,33,0.005314933799220586,0.05010652192167934
A,3,45,0.15619131565794395,0.1305489560829811
A,4,57,0.44297861670271294,0.08972215997219087
A,5,69,0.24515725256427226,0.10267056439056817
A,6,81,0.23493541670959647,0.09467670037857524
A,7,93,0.10296388567090067,0.06077291023203613
A,8,105,0.029841357132985004,0.02747650849531362
A,9,117,0.009639467907152872,0.01198895129009274
A#,0,10,0.02896608684241168,0.05766477343591643
A#,1,22,0.016149161101553414,0.052357137619987656
A#,2,34,0.005614186177460435,0.05049060775509418
A#,3,46,0.1527638270375037,0.11674582935877108
A#,4,58,0.32005647559708655,0.11413083285629937
A#,5,70,0.2288223156894623,0.1049558169271241
A#,6,82,0.27296210718803565,0.10321847223325037
A#,7,94,0.13049369298768151,0.06749055768718257
A#,8,106,0.03167090276214347,0.029248355942676392
A#,9,118,0.007191877481929357,0.0095531227437131
B,0,11,0.03501331512817293,0.06914638834847435
B,1,23,0.017321228834177235,0.05791154262467711
B,2,35,0.007005665884314418,0.05490260479009093
B,3,47,0.1737981194794081,0.1353551315516305
B,4,59,0.35124539434173574,0.12033083988943127
B,5,71,0.24565563019796444,0.09798788044339987
B,6,83,0.33670953365964895,0.11003023884511927
B,7,95,0.13444801301235026,0.07174828893198439
B,8,107,0.026844044445106102,0.029011636666344747
B,9,119,0.004566189853327209,0.007009848249532377
C,0,0,0.0059632732720402756,0.011974635102709545
C,1,12,0.04109399437888652,0.08030597674162679
C,2,24,0.01668967796603895,0.060142493231250385
C,3,36,0.013594009747887164,0.07037185152192753
C,4,48,0.17033388677646868,0.1208557042654485
C,5,60,0.4726743045785224,0.11571171002562447
C,6,72,0.37298199182140634,0.0922758578023273
C,7,84,0.4378383110906939,0.10037287494060278
C,8,96,0.14057283268427184,0.06333782801534027
C,9,108,0.03448284656893734,0.03141218040330276
C,10,120,0.002982500844049515,0.005347703701357161
C#,0,1,0.006718989815297237,0.013112707392915798
C#,1,13,0.04151638008822557,0.08569406072622301
C#,2,25,0.013051231460611918,0.055071202698161036
C#,3,37,0.017324491119670413,0.08312917586370044
C#,4,49,0.18820373752122307,0.12766714164842566
C#,5,61,0.3982341618809413,0.10941141107588133
C#,6,73,0.2918652482685504,0.08323997208680389
C#,7,85,0.3594226642380666,0.08542111660246737
C#,8,97,0.10521298956438119,0.05228400660816899
C#,9,109,0.032703363126953246,0.032796967172026334
C#,10,121,0.002690543551623701,0.004877854638262527
D,0,2,0.007000030803820902,0.014969497461346308
D,1,14,0.04268708598283053,0.08680407114598832
D,2,26,0.010570713858834572,0.05246491953866468
D,3,38,0.010948672539592306,0.06797855559978982
D,4,50,0.23068801628873528,0.12144327196443888
D,5,62,0.307320868437909,0.11247294830391502
D,6,74,0.18862838428110298,0.08039990885704486
D,7,86,0.22908077628036494,0.07982849734107211
D,8,98,0.07259988025256614,0.05191200934711672
D,9,110,0.03229484979941723,0.03305476487213344
D,10,122,0.002654167031691093,0.0048383205777276115
D#,0,3,0.008022127147988101,0.01621674347174826
D#,1,15,0.04705026673741555,0.09402444480484588
D#,2,27,0.008871171913593746,0.051367573263565725
D#,3,39,0.00990032961820777,0.06450752587481474
D#,4,51,0.31273790576391625,0.12778509084653647
D#,5,63,0.4086268650050524,0.13489747816025094
D#,6,75,0.26371317872412464,0.08402714610363228
D#,7,87,0.21596250562669453,0.07971674863075551
D#,8,99,0.08486087853732364,0.05236828174958561
D#,9,111,0.027511623808895914,0.028907355569256298
D#,10,123,0.002504360381895561,0.004700048631496666
E,0,4,0.008618135904705632,0.016808087195943802
E,1,16,0.039823315623319505,0.08198784405040972
E,2,28,0.00760107920213242,0.052131604868148405
E,3,40,0.013275686251425708,0.06560047995888241
E,4,52,0.3318880873555619,0.14196492486595869
E,5,64,0.33440714874634286,0.12340123497556577
E,6,76,0.24614574176785473,0.07610203167166028
E,7,88,0.1873766074635358,0.0802356833635637
E,8,100,0.08483744944510802,0.04567091010161326
E,9,112,0.01791869000714736,0.021418678342697086
E,10,124,0.0025590811183006956,0.004882933609434816
F,0,5,0.010207114164221699,0.018852515182922722
F,1,17,0.030228853769852893,0.06729562770195639
F,2,29,0.006651339978107471,0.05215625732544293
F,3,41,0.02006492039224987,0.06843984065377746
F,4,53,0.41713964493449457,0.1549460111419031
F,5,65,0.3611095085868105,0.12919902039702028
F,6,77,0.3169394890693566,0.07488742437946184
F,7,89,0.22190969499349103,0.09084856254252133
F,8,101,0.06597974339223012,0.03738667973227308
F,9,113,0.013173258286293798,0.015469188066088164
F,10,125,0.002610719183155983,0.004939381005999488
F#,0,6,0.013024116233603868,0.024723483915181265
F#,1,18,0.0268923189249834,0.061992024077296065
F#,2,30,0.006034146444361727,0.05279726215592077
F#,3,42,0.029871910721506793,0.07789043781911532
F#,4,54,0.42606753805871433,0.12877539736217544
F#,5,66,0.3497165632641924,0.12588264613965267
F#,6,78,0.29984420085192565,0.08151939255683592
F#,7,90,0.22879467057314057,0.0878494517825926
F#,8,102,0.041332425560694254,0.03245225192630895
F#,9,114,0.012094784031385229,0.014072848911767985
F#,10,126,0.002408690151069584,0.004602214336570172
G,0,7,0.017656764104613597,0.03584635496702733
G,1,19,0.023721635135217724,0.0579783398418312
G,2,31,0.005518577999395097,0.051572221348652116
G,3,43,0.06039055117431194,0.08970071071035304
G,4,55,0.5847726630519974,0.09960995138309602
G,5,67,0.3605115718302685,0.12975690888766145
G,6,79,0.2772567001168088,0.09016155136209338
G,7,91,0.22217793249668938,0.07388363441982536
G,8,103,0.04020163196142354,0.029130981191177685
G,9,115,0.012425507247265922,0.0145592758036701
G,10,127,0.0020547199232835277,0.004086583192463988
G#,0,8,0.020866997381866238,0.04079120920903049
G#,1,20,0.019761875430094375,0.05279701503124652
G#,2,32,0.005377173408848502,0.05088226347542097
G#,3,44,0.12439442593642808,0.11414164590849225
G#,4,56,0.682144644308895,0.09216240902122869
G#,5,68,0.3574089962945189,0.12250189245875188
G#,6,80,0.3055261400428657,0.09370051311019097
G#,7,92,0.16591948106806492,0.06376976961261985
G#,8,104,0.034753037855797024,0.027147783891480336
G#,9,116,0.011637708333938884,0.013931218090136898
