Note,Octave,MIDI Note,Harmonic Mean,Percussive Mean
A,0,9,0.002038225590009665,0.041900154411741934
A,1,21,0.011008938522423975,0.1371320986066584
A,2,33,0.1994793738081213,0.6786011367407631
A,3,45,1.5541408619474784,0.47683673294736983
A,4,57,0.7733062588697427,0.4780699830751671
A,5,69,0.30183126845605396,0.18901702813381815
A,6,81,0.19882373553812877,0.13433151186794212
A,7,93,0.3853632204274695,0.15302279567145646
A,8,105,0.09285780288817219,0.06414195364071862
A,9,117,0.02650649249087118,0.03780943453981622
A#,0,10,0.0022380116270328573,0.0402644647718952
A#,1,22,0.012945909565470875,0.15713806069473527
A#,2,34,0.20908630547285773,0.6016624045735789
A#,3,46,1.248651334010086,0.3226741904441145
A#,4,58,0.8249438556552209,0.5932253262452043
A#,5,70,0.24426722661605874,0.17641135156821894
A#,6,82,0.19475455285954607,0.14080341088200526
A#,7,94,0.27196233277477144,0.14477892870785378
A#,8,106,0.08186111441998144,0.06459447175549149
A#,9,118,0.024303839035654362,0.0337828204920073
B,0,11,0.0026360558347702633,0.04402927355212006
B,1,23,0.014502233127357917,0.17504329062700225
B,2,35,0.27925690191180097,0.5955564285589857
B,3,47,1.106555359400645,0.34074586125567335
B,4,59,0.6935365936631984,0.568973881014909
B,5,71,0.3274824775444843,0.1974195708978821
B,6,83,0.29114745737309056,0.15076341060794443
B,7,95,0.3054528656287448,0.13888450929077395
B,8,107,0.08931843885519497,0.06551332719733996
B,9,119,0.02378002531301153,0.029589436534761534
C,0,0,0.0013447004797546998,0.04259546565929572
C,1,12,0.0031626675418766873,0.04848058303419605
C,2,24,0.016212049548840764,0.19505092930806592
C,3,36,0.4239438143917534,0.5731519851546649
C,4,48,1.0204142011948476,0.4079622819504181
C,5,60,0.42015820160640094,0.39650878030983466
C,6,72,0.32668163855674776,0.19298903865915115
C,7,84,0.2691805279925744,0.15997597139615397
C,8,96,0.23100362169824265,0.13105980627749453
C,9,108,0.06944097266948422,0.05828924847689817
C,10,120,0.018561322592549192,0.02604560925340395
C#,0,1,0.0013948643387248498,0.04566823374568257
C#,1,13,0.0037302850877205984,0.053808123271968995
C#,2,25,0.019174342886898288,0.22668244392600162
C#,3,37,0.6388053226598093,0.46469050270325374
C#,4,49,1.1523799855634393,0.48427367255177867
C#,5,61,0.38962000497341504,0.3497196598141299
C#,6,73,0.37563096553014497,0.1822182511020415
C#,7,85,0.32204138432260465,0.16876975842493647
C#,8,97,0.2069908140489286,0.11099417602723334
C#,9,109,0.05869125608415603,0.050350442213818125
C#,10,121,0.015512549754498672,0.024242408560397274
D,0,2,0.0014669183588680737,0.04340955202040431
D,1,14,0.004537626208193247,0.06224630462626731
D,2,26,0.022861192175526925,0.2713742905235112
D,3,38,1.0261449868667247,0.5433339848770237
D,4,50,1.0942206527375713,0.49025261980407936
D,5,62,0.3580288827210952,0.30191554216663385
D,6,74,0.3119362508749971,0.16765346194661546
D,7,86,0.30083516971676355,0.17149255785203157
D,8,98,0.17576479002344064,0.0904375925392302
D,9,110,0.05451315669534528,0.04484863943050016
