Note,Octave,MIDI Note,Harmonic Mean,Percussive Mean
A,0,9,0.3621072852782161,0.6211867933294979
A,1,21,0.05248481528525594,0.14134831769834316
A,2,33,0.5798057497347543,0.7170666626570801
A,3,45,1.3832828934044785,0.3843261579414195
A,4,57,0.7229211586596305,0.22995956727943515
A,5,69,0.23303149848063406,0.08481329206971613
A,6,81,0.07844531543355455,0.04207098093538962
A,7,93,0.0469773912881734,0.026180542439893824
A,8,105,0.04493556072665364,0.03519984282813713
A,9,117,0.02069366254422292,0.022515571022510845
A#,0,10,0.41776108148274105,0.7331726087078588
A#,1,22,0.05661970871679715,0.16752106840873202
A#,2,34,0.4617095565317322,0.6056503743863167
A#,3,46,1.3664813119993242,0.41100734122273347
A#,4,58,0.7258037904513415,0.1962095186401409
A#,5,70,0.2052452080867851,0.08660420381117707
A#,6,82,0.07064350092935169,0.04288488161986992
A#,7,94,0.04087042506945647,0.023906185401890087
A#,8,106,0.03982527157712467,0.03515613431350646
A#,9,118,0.015908754343584134,0.01990643624345981
B,0,11,0.33478129830237524,0.5601092803783312
B,1,23,0.060455160321590026,0.19534027088584457
B,2,35,0.734955501137302,0.7003552745570701
B,3,47,0.749154148865113,0.38431754853086486
B,4,59,0.28574863856975935,0.15031315345428023
B,5,71,0.11013397526892367,0.0910207860368313
B,6,83,0.0402971876027392,0.04198838306362049
B,7,95,0.01957925098346947,0.02126848197377506
B,8,107,0.030213332227533602,0.03498600399102711
B,9,119,0.01373437292945843,0.01908303756635667
C,0,0,0.045138388711519296,0.07066037056777244
C,1,12,0.2479459334356442,0.4254264976609477
C,2,24,0.05918669924717094,0.19089937479584448
C,3,36,0.9075219392388615,0.7602269715041006
C,4,48,0.5329179947542997,0.4658998411880928
C,5,60,0.13011499708063895,0.18286924706677776
C,6,72,0.10841935686277954,0.08168984604589291
C,7,84,0.031985032743838564,0.03635983215368848
C,8,96,0.015546421331863618,0.019058606730987578
C,9,108,0.029304042999134163,0.035246186887398834
C,10,120,0.014110297952020323,0.017055781725695718
C#,0,1,0.056319929335080524,0.08037577489499398
C#,1,13,0.18214543257361207,0.3219830559166915
C#,2,25,0.06404562980841239,0.20278786920613814
C#,3,37,0.6740244788398899,0.600664507159078
C#,4,49,0.44720522264860246,0.46763039137149787
C#,5,61,0.1003687305049623,0.19027848168391048
C#,6,73,0.10915545288992036,0.06547048333563033
C#,7,85,0.028074776898896897,0.03025227163408527
C#,8,97,0.018714092220764256,0.01881630980801579
C#,9,109,0.03512107130279308,0.03635759449241144
C#,10,121,0.011352270912890913,0.013256483700137838
D,0,2,0.058972960020211934,0.08223453311273624
D,1,14,0.1528231361400792,0.29585980397733447
D,2,26,0.07909384720806333,0.2677863012885712
D,3,38,0.5460430400565969,0.43802683084501504
D,4,50,0.2963630986909075,0.3156271707080866
D,5,62,0.07566719132268564,0.15391479352055226
D,6,74,0.08318010148440179,0.05608422133710503
D,7,86,0.02335083636798717,0.033057187201227745
D,8,98,0.022210356446448743,0.021767095639190888
D,9,110,0.03436274401062952,0.035247973949337756
D,10,122,0.00985454173624454,0.011754739825152943
D#,0,3,0.07282084203779735,0.11492664620338519
D#,1,15,0.12414375309170199,0.22311919665951632
D#,2,27,0.09850441808286446,0.3274700442823722
D#,3,39,0.7421849491528683,0.4071732564187229
D#,4,51,0.30884926635755666,0.24254789289701253
D#,5,63,0.08125658068257968,0.12506455372041278
D#,6,75,0.06551611642604516,0.0570006831809143
D#,7,87,0.02626780458056692,0.034498447951682956
D#,8,99,0.025164509634438056,0.024435946257412296
D#,9,111,0.03059342038654325,0.031066461363327073
D#,10,123,0.010888140214074646,0.012118356440478997
E,0,4,0.08856551091983413,0.1574571471401315
E,1,16,0.09016325566109373,0.14961029806137585
E,2,28,0.10314702079227432,0.3342233845189568
E,3,40,1.2353931726775633,0.4337235329856777
E,4,52,0.5531925337008745,0.25197284665632486
E,5,64,0.18400000284111975,0.11797107369191599
E,6,76,0.07421593739284815,0.058267673943539065
E,7,88,0.0573284440480209,0.032354036674745255
E,8,100,0.044242699197757286,0.027859967480403255
E,9,112,0.02665214993965785,0.02710246058212664
E,10,124,0.011428223968269181,0.012522911400169517
F,0,5,0.1016010991431111,0.18958537996868172
F,1,17,0.06303401450412106,0.10294938987038675
F,2,29,0.10042732622521848,0.3275761475374102
F,3,41,1.842118995187468,0.49708408416721944
F,4,53,0.755884364066664,0.2823896504735669
F,5,65,0.24029614045368025,0.11412614376591242
F,6,77,0.0801340178678745,0.052213927360859023
F,7,89,0.05714710790729927,0.03161233081363038
F,8,101,0.051258915664727005,0.03274866144559969
F,9,113,0.025585398907149514,0.027576149104422402
F,10,125,0.009851254557442301,0.011729421252362975
F#,0,6,0.13614754718176433,0.22712367533350036
F#,1,18,0.052148113296472634,0.09017926173749266
F#,2,30,0.12970091352882865,0.36164531122254584
F#,3,42,1.6384231982199617,0.5188725269777741
F#,4,54,0.5786882879393351,0.24955375563858065
F#,5,66,0.1456988918298544,0.09384533627393529
F#,6,78,0.055978744345853086,0.045368579386776776
F#,7,90,0.030883908259207116,0.030573456336974197
F#,8,102,0.05467504384993486,0.03648445646426215
F#,9,114,0.023563069798443803,0.027062881496848868
F#,10,126,0.008311260714557523,0.010004960922071164
G,0,7,0.18021671104989556,0.3232912291357048
G,1,19,0.04766558910738558,0.09936711349070809
G,2,31,0.24970300237380527,0.49468195400686304
G,3,43,1.0092183195192965,0.43370314322622994
G,4,55,0.3391086698018455,0.2578589118477774
G,5,67,0.08203323339841374,0.09254111975157213
G,6,79,0.04010503056156087,0.045172659387094034
G,7,91,0.023791693460751787,0.029558234868314957
G,8,103,0.05790023825205182,0.0373683791484236
