,channel,clocks_per_click,control,denominator,key,notated_32nd_notes_per_beat,note,numerator,program,time,type,value,velocity,note_midi_value,note_velocity,note_time,note_seconds,tpb,channel_chunk,instrument,octave,note_value,note_value_nmd,note_name,angle
8,0.0,,,,,,64.0,,,0,note_on,,72.0,64.0,72.0,0,0.0,220,0.0_0.0,Acoustic Guitar (nylon),5.0,4.0,4,E,120
9,0.0,,,,,,55.0,,,0,note_on,,70.0,55.0,70.0,0,0.0,220,0.0_0.0,Acoustic Guitar (nylon),4.0,7.0,1,C#,210
11,0.0,,,,,,62.0,,,25,note_on,,72.0,62.0,72.0,256,0.5818181818181818,220,0.0_0.0,Acoustic Guitar (nylon),5.0,2.0,2,D,60
13,0.0,,,,,,60.0,,,25,note_on,,71.0,60.0,71.0,512,1.1636363636363636,220,0.0_0.0,Acoustic Guitar (nylon),5.0,0.0,0,C,0
15,0.0,,,,,,62.0,,,25,note_on,,79.0,62.0,79.0,768,1.7454545454545454,220,0.0_0.0,Acoustic Guitar (nylon),5.0,2.0,2,D,60
18,0.0,,,,,,64.0,,,25,note_on,,85.0,64.0,85.0,1024,2.327272727272727,220,0.0_0.0,Acoustic Guitar (nylon),5.0,4.0,4,E,120
19,0.0,,,,,,55.0,,,0,note_on,,79.0,55.0,79.0,1024,2.327272727272727,220,0.0_0.0,Acoustic Guitar (nylon),4.0,7.0,1,C#,210
21,0.0,,,,,,64.0,,,25,note_on,,78.0,64.0,78.0,1280,2.909090909090909,220,0.0_0.0,Acoustic Guitar (nylon),5.0,4.0,4,E,120
23,0.0,,,,,,64.0,,,25,note_on,,74.0,64.0,74.0,1536,3.4909090909090907,220,0.0_0.0,Acoustic Guitar (nylon),5.0,4.0,4,E,120
26,0.0,,,,,,62.0,,,50,note_on,,75.0,62.0,75.0,2048,4.654545454545454,220,0.0_1.0,Acoustic Guitar (nylon),5.0,2.0,2,D,60
27,0.0,,,,,,55.0,,,0,note_on,,77.0,55.0,77.0,2048,4.654545454545454,220,0.0_1.0,Acoustic Guitar (nylon),4.0,7.0,1,C#,210
29,0.0,,,,,,62.0,,,25,note_on,,77.0,62.0,77.0,2304,5.236363636363636,220,0.0_1.0,Acoustic Guitar (nylon),5.0,2.0,2,D,60
31,0.0,,,,,,62.0,,,25,note_on,,75.0,62.0,75.0,2560,5.818181818181818,220,0.0_1.0,Acoustic Guitar (nylon),5.0,2.0,2,D,60
34,0.0,,,,,,64.0,,,50,note_on,,82.0,64.0,82.0,3072,6.9818181818181815,220,0.0_1.0,Acoustic Guitar (nylon),5.0,4.0,4,E,120
35,0.0,,,,,,55.0,,,0,note_on,,79.0,55.0,79.0,3072,6.9818181818181815,220,0.0_1.0,Acoustic Guitar (nylon),4.0,7.0,1,C#,210
37,0.0,,,,,,67.0,,,25,note_on,,84.0,67.0,84.0,3328,7.5636363636363635,220,0.0_1.0,Acoustic Guitar (nylon),5.0,7.0,1,C#,210
39,0.0,,,,,,67.0,,,25,note_on,,75.0,67.0,75.0,3584,8.145454545454545,220,0.0_2.0,Acoustic Guitar (nylon),5.0,7.0,1,C#,210
42,0.0,,,,,,64.0,,,50,note_on,,73.0,64.0,73.0,4096,9.309090909090909,220,0.0_2.0,Acoustic Guitar (nylon),5.0,4.0,4,E,120
43,0.0,,,,,,55.0,,,0,note_on,,78.0,55.0,78.0,4096,9.309090909090909,220,0.0_2.0,Acoustic Guitar (nylon),4.0,7.0,1,C#,210
45,0.0,,,,,,62.0,,,25,note_on,,69.0,62.0,69.0,4352,9.89090909090909,220,0.0_2.0,Acoustic Guitar (nylon),5.0,2.0,2,D,60
47,0.0,,,,,,60.0,,,25,note_on,,71.0,60.0,71.0,4608,10.472727272727273,220,0.0_2.0,Acoustic Guitar (nylon),5.0,0.0,0,C,0
49,0.0,,,,,,62.0,,,25,note_on,,80.0,62.0,80.0,4864,11.054545454545455,220,0.0_2.0,Acoustic Guitar (nylon),5.0,2.0,2,D,60
52,0.0,,,,,,64.0,,,25,note_on,,84.0,64.0,84.0,5120,11.636363636363637,220,0.0_2.0,Acoustic Guitar (nylon),5.0,4.0,4,E,120
53,0.0,,,,,,55.0,,,0,note_on,,79.0,55.0,79.0,5120,11.636363636363637,220,0.0_2.0,Acoustic Guitar (nylon),4.0,7.0,1,C#,210
55,0.0,,,,,,64.0,,,25,note_on,,76.0,64.0,76.0,5376,12.218181818181817,220,0.0_3.0,Acoustic Guitar (nylon),5.0,4.0,4,E,120
57,0.0,,,,,,64.0,,,25,note_on,,74.0,64.0,74.0,5632,12.799999999999999,220,0.0_3.0,Acoustic Guitar (nylon),5.0,4.0,4,E,120
59,0.0,,,,,,64.0,,,25,note_on,,77.0,64.0,77.0,5888,13.381818181818181,220,0.0_3.0,Acoustic Guitar (nylon),5.0,4.0,4,E,120
62,0.0,,,,,,62.0,,,25,note_on,,75.0,62.0,75.0,6144,13.963636363636363,220,0.0_3.0,Acoustic Guitar (nylon),5.0,2.0,2,D,60
63,0.0,,,,,,55.0,,,0,note_on,,78.0,55.0,78.0,6144,13.963636363636363,220,0.0_3.0,Acoustic Guitar (nylon),4.0,7.0,1,C#,210
