,channel,control,data,name,note,pitch,program,tempo,text,time,type,value,velocity,note_midi_value,note_velocity,note_time,note_seconds,tpb
0,,,,,,,,,Copyright (C) 2001 David Butterfield,0,copyright,,,,,0,0.0,192
1,,,"[65, 16, 66, 18, 64, 0, 127, 0, 65]",,,,,,,0,sysex,,,,,11,0.028645833333333332,192
2,,,"(74, 65, 90, 50, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)",,,,,,,0,sequencer_specific,,,,,0,0.0,192
3,,,,,,,,571428.0,,0,set_tempo,,,,,11,0.028645833333333332,192
4,,,"[65, 16, 66, 18, 64, 1, 51, 64, 76]",,,,,,,0,sysex,,,,,0,0.0,192
5,,,"[65, 16, 66, 18, 64, 1, 50, 0, 13]",,,,,,,0,sysex,,,,,0,0.0,192
6,,,"[65, 16, 66, 18, 64, 1, 54, 0, 9]",,,,,,,0,sysex,,,,,0,0.0,192
7,,,"[65, 16, 66, 18, 64, 1, 53, 0, 10]",,,,,,,0,sysex,,,,,0,0.0,192
8,,,"[65, 16, 66, 18, 64, 1, 57, 0, 6]",,,,,,,0,sysex,,,,,0,0.0,192
9,,,"[65, 16, 66, 18, 64, 1, 49, 4, 10]",,,,,,,0,sysex,,,,,0,0.0,192
10,,,"[65, 16, 66, 18, 64, 1, 52, 64, 75]",,,,,,,0,sysex,,,,,0,0.0,192
11,,,"[65, 16, 66, 18, 64, 1, 58, 64, 69]",,,,,,,0,sysex,,,,,0,0.0,192
12,,,"[65, 16, 66, 18, 64, 1, 59, 8, 124]",,,,,,,0,sysex,,,,,0,0.0,192
13,,,"[65, 16, 66, 18, 64, 1, 60, 80, 51]",,,,,,,0,sysex,,,,,0,0.0,192
14,,,"[65, 16, 66, 18, 64, 1, 61, 3, 127]",,,,,,,0,sysex,,,,,0,0.0,192
15,,,"[65, 16, 66, 18, 64, 1, 62, 18, 111]",,,,,,,0,sysex,,,,,0,0.0,192
16,,,"[65, 16, 66, 18, 64, 1, 63, 0, 0]",,,,,,,0,sysex,,,,,0,0.0,192
17,,,"[65, 16, 66, 18, 64, 1, 48, 4, 11]",,,,,,,0,sysex,,,,,0,0.0,192
18,,,"[65, 16, 66, 18, 64, 1, 56, 2, 5]",,,,,,,0,sysex,,,,,0,0.0,192
19,,,,,,,,,,0,end_of_track,,,,,0,0.0,192
20,9.0,0.0,,,,,,,,0,control_change,0.0,,,,0,0.0,192
21,9.0,,,,,,0.0,,,0,program_change,,,,,0,0.0,192
22,,,"(74, 65, 90, 50, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0)",,,,,,,0,sequencer_specific,,,,,0,0.0,192
23,9.0,7.0,,,,,,,,0,control_change,127.0,,,,0,0.0,192
24,,,,Drums,,,,,,0,track_name,,,,,0,0.0,192
25,9.0,10.0,,,,,,,,0,control_change,64.0,,,,0,0.0,192
26,9.0,93.0,,,,,,,,0,control_change,0.0,,,,0,0.0,192
27,9.0,91.0,,,,,,,,0,control_change,40.0,,,,0,0.0,192
28,9.0,,,,42.0,,,,,192,note_on,,112.0,42.0,112.0,192,0.5,192
29,9.0,,,,42.0,,,,,44,note_on,,0.0,42.0,0.0,236,0.6145833333333333,192
30,9.0,,,,42.0,,,,,52,note_on,,112.0,42.0,112.0,288,0.75,192
31,9.0,,,,42.0,,,,,44,note_on,,0.0,42.0,0.0,332,0.8645833333333333,192
32,9.0,,,,42.0,,,,,52,note_on,,112.0,42.0,112.0,384,1.0,192
33,9.0,,,,42.0,,,,,44,note_on,,0.0,42.0,0.0,428,1.1145833333333333,192
34,9.0,,,,42.0,,,,,52,note_on,,112.0,42.0,112.0,480,1.25,192
35,9.0,,,,42.0,,,,,44,note_on,,0.0,42.0,0.0,524,1.3645833333333333,192
36,9.0,,,,42.0,,,,,52,note_on,,112.0,42.0,112.0,576,1.5,192
37,9.0,,,,42.0,,,,,44,note_on,,0.0,42.0,0.0,620,1.6145833333333333,192
38,9.0,,,,42.0,,,,,52,note_on,,112.0,42.0,112.0,672,1.75,192
39,9.0,,,,42.0,,,,,44,note_on,,0.0,42.0,0.0,716,1.8645833333333333,192
40,9.0,,,,42.0,,,,,3124,note_on,,88.0,42.0,88.0,3840,10.0,192
41,9.0,,,,35.0,,,,,0,note_on,,112.0,35.0,112.0,3840,10.0,192
42,9.0,,,,42.0,,,,,44,note_on,,0.0,42.0,0.0,3884,10.114583333333332,192
43,9.0,,,,35.0,,,,,0,note_on,,0.0,35.0,0.0,3884,10.114583333333332,192
44,9.0,,,,42.0,,,,,52,note_on,,88.0,42.0,88.0,3936,10.25,192
45,9.0,,,,42.0,,,,,44,note_on,,0.0,42.0,0.0,3980,10.364583333333332,192
46,9.0,,,,42.0,,,,,52,note_on,,88.0,42.0,88.0,4032,10.5,192
47,9.0,,,,51.0,,,,,0,note_on,,112.0,51.0,112.0,4032,10.5,192
48,9.0,,,,40.0,,,,,0,note_on,,112.0,40.0,112.0,4032,10.5,192
49,9.0,,,,40.0,,,,,44,note_on,,0.0,40.0,0.0,4076,10.614583333333332,192
50,9.0,,,,51.0,,,,,0,note_on,,0.0,51.0,0.0,4076,10.614583333333332,192
51,9.0,,,,42.0,,,,,0,note_on,,0.0,42.0,0.0,4076,10.614583333333332,192
52,9.0,,,,42.0,,,,,52,note_on,,88.0,42.0,88.0,4128,10.75,192
53,9.0,,,,42.0,,,,,44,note_on,,0.0,42.0,0.0,4172,10.864583333333332,192
54,9.0,,,,42.0,,,,,52,note_on,,88.0,42.0,88.0,4224,11.0,192
55,9.0,,,,35.0,,,,,0,note_on,,112.0,35.0,112.0,4224,11.0,192
56,9.0,,,,35.0,,,,,44,note_on,,0.0,35.0,0.0,4268,11.114583333333332,192
57,9.0,,,,42.0,,,,,0,note_on,,0.0,42.0,0.0,4268,11.114583333333332,192
58,9.0,,,,35.0,,,,,52,note_on,,112.0,35.0,112.0,4320,11.25,192
