,channel,clocks_per_click,control,denominator,name,notated_32nd_notes_per_beat,note,numerator,pitch,program,tempo,text,time,type,value,velocity,note_midi_value,note_velocity,note_time,note_seconds,tpb,channel_chunk,instrument
0,,,,,,,,,,,631578.0,,0,set_tempo,,,,,0,0.0,480,nan_0.0,
1,,,,,,,,,,,,,0,track_name,,,,,-250,-0.2604166666666667,480,nan_-1.0,
2,,9.0,,4.0,,163.0,,4.0,,,,,0,time_signature,,,,,0,0.0,480,nan_0.0,
3,,,,,,,,,,,,Intro,0,marker,,,,,-250,-0.2604166666666667,480,nan_-1.0,
4,,,,,,,,,,,,Verse,17280,marker,,,,,-1,-0.0010416666666666667,480,nan_-1.0,
5,,,,,,,,,,,,Chorus,15360,marker,,,,,-1,-0.0010416666666666667,480,nan_-1.0,
6,,,,,,,,,,,,Keyboard solo...,15360,marker,,,,,-1,-0.0010416666666666667,480,nan_-1.0,
7,,,,,,,,,,,,Verse,11520,marker,,,,,-1,-0.0010416666666666667,480,nan_-1.0,
8,,,,,,,,,,,,Chorus,15360,marker,,,,,-1,-0.0010416666666666667,480,nan_-1.0,
9,,,,,,,,,,,,Break,15360,marker,,,,,-1,-0.0010416666666666667,480,nan_-1.0,
10,,,,,,,,,,,,Keyboard solo,7680,marker,,,,,-1,-0.0010416666666666667,480,nan_-1.0,
11,,,,,,,,,,,,Verse,7680,marker,,,,,-1,-0.0010416666666666667,480,nan_-1.0,
12,,,,,,,,,,,,Keyboard solo,7680,marker,,,,,-1,-0.0010416666666666667,480,nan_-1.0,
13,,,,,,,,,,,,Verse£,3840,marker,,,,,-1,-0.0010416666666666667,480,nan_-1.0,
14,,,,,,,,,,,,Chorus,7680,marker,,,,,-1,-0.0010416666666666667,480,nan_-1.0,
15,,,,,,,,,,,,Guitar solo,15360,marker,,,,,-1,-0.0010416666666666667,480,nan_-1.0,
16,,,,,,,,,,,,Chorus x2,26880,marker,,,,,-1,-0.0010416666666666667,480,nan_-1.0,
17,,,,,,,,,,,,,0,end_of_track,,,,,-1,-0.0010416666666666667,480,nan_-1.0,
18,,,,,Track 1,,,,,,,,0,track_name,,,,,-1,-0.0010416666666666667,480,nan_-1.0,
19,1.0,,100.0,,,,,,,,,,0,control_change,0.0,,,,0,0.0,480,1.0_0.0,Distortion Guitar
20,1.0,,101.0,,,,,,,,,,0,control_change,0.0,,,,0,0.0,480,1.0_0.0,Distortion Guitar
21,1.0,,6.0,,,,,,,,,,0,control_change,12.0,,,,0,0.0,480,1.0_0.0,Distortion Guitar
22,1.0,,,,,,,,0.0,,,,0,pitchwheel,,,,,0,0.0,480,1.0_0.0,Distortion Guitar
23,1.0,,101.0,,,,,,,,,,0,control_change,0.0,,,,0,0.0,480,1.0_0.0,Distortion Guitar
24,1.0,,100.0,,,,,,,,,,0,control_change,1.0,,,,0,0.0,480,1.0_0.0,Distortion Guitar
25,1.0,,6.0,,,,,,,,,,0,control_change,64.0,,,,0,0.0,480,1.0_0.0,Distortion Guitar
26,1.0,,38.0,,,,,,,,,,0,control_change,0.0,,,,0,0.0,480,1.0_0.0,Distortion Guitar
27,1.0,,101.0,,,,,,,,,,0,control_change,127.0,,,,0,0.0,480,1.0_0.0,Distortion Guitar
28,1.0,,100.0,,,,,,,,,,0,control_change,127.0,,,,0,0.0,480,1.0_0.0,Distortion Guitar
29,0.0,,100.0,,,,,,,,,,0,control_change,0.0,,,,0,0.0,480,0.0_0.0,Distortion Guitar
30,0.0,,101.0,,,,,,,,,,0,control_change,0.0,,,,0,0.0,480,0.0_0.0,Distortion Guitar
31,0.0,,6.0,,,,,,,,,,0,control_change,12.0,,,,0,0.0,480,0.0_0.0,Distortion Guitar
32,0.0,,,,,,,,0.0,,,,0,pitchwheel,,,,,0,0.0,480,0.0_0.0,Distortion Guitar
33,0.0,,101.0,,,,,,,,,,0,control_change,0.0,,,,0,0.0,480,0.0_0.0,Distortion Guitar
34,0.0,,100.0,,,,,,,,,,0,control_change,1.0,,,,0,0.0,480,0.0_0.0,Distortion Guitar
35,0.0,,6.0,,,,,,,,,,0,control_change,64.0,,,,0,0.0,480,0.0_0.0,Distortion Guitar
36,0.0,,38.0,,,,,,,,,,0,control_change,0.0,,,,0,0.0,480,0.0_0.0,Distortion Guitar
37,0.0,,101.0,,,,,,,,,,0,control_change,127.0,,,,0,0.0,480,0.0_0.0,Distortion Guitar
38,0.0,,100.0,,,,,,,,,,0,control_change,127.0,,,,0,0.0,480,0.0_0.0,Distortion Guitar
39,1.0,,101.0,,,,,,,,,,0,control_change,0.0,,,,0,0.0,480,1.0_0.0,Distortion Guitar
40,1.0,,100.0,,,,,,,,,,0,control_change,2.0,,,,0,0.0,480,1.0_0.0,Distortion Guitar
