     ,channel ,clocks_per_click ,control ,denominator ,name                                     ,notated_32nd_notes_per_beat ,note ,numerator ,pitch  ,program ,tempo    ,time   ,type           ,value ,velocity ,note_midi_value ,note_velocity ,note_time ,note_seconds           ,tpb ,channel_chunk ,instrument
0    ,        ,                 ,        ,            ,                                         ,                            ,     ,          ,       ,        ,500000.0 ,0      ,set_tempo      ,      ,         ,                ,              ,0         ,0.0                    ,480 ,nan_0.0       ,
1    ,        ,                 ,        ,            ,Seven Nation Army                        ,                            ,     ,          ,       ,        ,         ,0      ,track_name     ,      ,         ,                ,              ,-250      ,-0.2604166666666667    ,480 ,nan_-1.0      ,
2    ,        ,7.0              ,        ,4.0         ,                                         ,161.0                       ,     ,4.0       ,       ,        ,         ,0      ,time_signature ,      ,         ,                ,              ,0         ,0.0                    ,480 ,nan_0.0       ,
3    ,        ,                 ,        ,            ,                                         ,                            ,     ,          ,       ,        ,         ,0      ,end_of_track   ,      ,         ,                ,              ,-250      ,-0.2604166666666667    ,480 ,nan_-1.0      ,
4    ,        ,                 ,        ,            ,Guitar 1 (Jack White) Open A Tuning      ,                            ,     ,          ,       ,        ,         ,0      ,track_name     ,      ,         ,                ,              ,-1        ,-0.0010416666666666667 ,480 ,nan_-1.0      ,
5    ,0.0     ,                 ,100.0   ,            ,                                         ,                            ,     ,          ,       ,        ,         ,0      ,control_change ,0.0   ,         ,                ,              ,0         ,0.0                    ,480 ,0.0_0.0       ,Overdriven Guitar
6    ,0.0     ,                 ,101.0   ,            ,                                         ,                            ,     ,          ,       ,        ,         ,0      ,control_change ,0.0   ,         ,                ,              ,0         ,0.0                    ,480 ,0.0_0.0       ,Overdriven Guitar
7    ,0.0     ,                 ,6.0     ,            ,                                         ,                            ,     ,          ,       ,        ,         ,0      ,control_change ,12.0  ,         ,                ,              ,0         ,0.0                    ,480 ,0.0_0.0       ,Overdriven Guitar
8    ,0.0     ,                 ,        ,            ,                                         ,                            ,     ,          ,0.0    ,        ,         ,0      ,pitchwheel     ,      ,         ,                ,              ,0         ,0.0                    ,480 ,0.0_0.0       ,Overdriven Guitar
9    ,1.0     ,                 ,100.0   ,            ,                                         ,                            ,     ,          ,       ,        ,         ,0      ,control_change ,0.0   ,         ,                ,              ,0         ,0.0                    ,480 ,1.0_0.0       ,Overdriven Guitar
10   ,1.0     ,                 ,101.0   ,            ,                                         ,                            ,     ,          ,       ,        ,         ,0      ,control_change ,0.0   ,         ,                ,              ,0         ,0.0                    ,480 ,1.0_0.0       ,Overdriven Guitar
11   ,1.0     ,                 ,6.0     ,            ,                                         ,                            ,     ,          ,       ,        ,         ,0      ,control_change ,12.0  ,         ,                ,              ,0         ,0.0                    ,480 ,1.0_0.0       ,Overdriven Guitar
12   ,1.0     ,                 ,        ,            ,                                         ,                            ,     ,          ,0.0    ,        ,         ,0      ,pitchwheel     ,      ,         ,                ,              ,0         ,0.0                    ,480 ,1.0_0.0       ,Overdriven Guitar
13   ,0.0     ,                 ,        ,            ,                                         ,                            ,     ,          ,       ,29.0    ,         ,0      ,program_change ,      ,         ,                ,              ,0         ,0.0                    ,480 ,0.0_0.0       ,Overdriven Guitar
14   ,1.0     ,                 ,        ,            ,                                         ,                            ,     ,          ,       ,29.0    ,         ,0      ,program_change ,      ,         ,                ,              ,0         ,0.0                    ,480 ,1.0_0.0       ,Overdriven Guitar
15   ,0.0     ,                 ,7.0     ,            ,                                         ,                            ,     ,          ,       ,        ,         ,0      ,control_change ,104.0 ,         ,                ,              ,0         ,0.0                    ,480 ,0.0_0.0       ,Overdriven Guitar
16   ,1.0     ,                 ,7.0     ,            ,                                         ,                            ,     ,          ,       ,        ,         ,0      ,control_change ,104.0 ,         ,                ,              ,0         ,0.0                    ,480 ,1.0_0.0       ,Overdriven Guitar
17   ,0.0     ,                 ,10.0    ,            ,                                         ,                            ,     ,          ,       ,        ,         ,0      ,control_change ,64.0  ,         ,                ,              ,0         ,0.0                    ,480 ,0.0_0.0       ,Overdriven Guitar
18   ,1.0     ,                 ,10.0    ,            ,                                         ,                            ,     ,          ,       ,        ,         ,0      ,control_change ,64.0  ,         ,                ,              ,0         ,0.0                    ,480 ,1.0_0.0       ,Overdriven Guitar
19   ,0.0     ,                 ,93.0    ,            ,                                         ,                            ,     ,          ,       ,        ,         ,0      ,control_change ,0.0   ,         ,                ,              ,0         ,0.0                    ,480 ,0.0_0.0       ,Overdriven Guitar
20   ,1.0     ,                 ,93.0    ,            ,                                         ,                            ,     ,          ,       ,        ,         ,0      ,control_change ,0.0   ,         ,                ,              ,0         ,0.0                    ,480 ,1.0_0.0       ,Overdriven Guitar
21   ,0.0     ,                 ,91.0    ,            ,                                         ,                            ,     ,          ,       ,        ,         ,0      ,control_change ,0.0   ,         ,                ,              ,0         ,0.0                    ,480 ,0.0_0.0       ,Overdriven Guitar
22   ,1.0     ,                 ,91.0    ,            ,                                         ,                            ,     ,          ,       ,        ,         ,0      ,control_change ,0.0   ,         ,                ,              ,0         ,0.0                    ,480 ,1.0_0.0       ,Overdriven Guitar
23   ,0.0     ,                 ,92.0    ,            ,                                         ,                            ,     ,          ,       ,        ,         ,0      ,control_change ,0.0   ,         ,                ,              ,0         ,0.0                    ,480 ,0.0_0.0       ,Overdriven Guitar
24   ,1.0     ,                 ,92.0    ,            ,                                         ,                            ,     ,          ,       ,        ,         ,0      ,control_change ,0.0   ,         ,                ,              ,0         ,0.0                    ,480 ,1.0_0.0       ,Overdriven Guitar
25   ,0.0     ,                 ,95.0    ,            ,                                         ,                            ,     ,          ,       ,        ,         ,0      ,control_change ,0.0   ,         ,                ,              ,0         ,0.0                    ,480 ,0.0_0.0       ,Overdriven Guitar
26   ,1.0     ,                 ,95.0    ,            ,                                         ,                            ,     ,          ,       ,        ,         ,0      ,control_change ,0.0   ,         ,                ,              ,0         ,0.0                    ,480 ,1.0_0.0       ,Overdriven Guitar
27   ,0.0     ,                 ,        ,            ,                                         ,                            ,50.0 ,          ,       ,        ,         ,46080  ,note_on        ,      ,95.0     ,50.0            ,95.0          ,46080     ,48.0                   ,480 ,0.0_12.0      ,Overdriven Guitar
28   ,0.0     ,                 ,        ,            ,                                         ,                            ,43.0 ,          ,       ,        ,         ,0      ,note_on        ,      ,95.0     ,43.0            ,95.0          ,46080     ,48.0                   ,480 ,0.0_12.0      ,Overdriven Guitar
29   ,0.0     ,                 ,        ,            ,                                         ,                            ,50.0 ,          ,       ,        ,         ,240    ,note_off       ,      ,80.0     ,50.0            ,80.0          ,46320     ,48.25                  ,480 ,0.0_12.0      ,Overdriven Guitar
30   ,0.0     ,                 ,        ,            ,                                         ,                            ,43.0 ,          ,       ,        ,         ,0      ,note_off       ,      ,80.0     ,43.0            ,80.0          ,46320     ,48.25                  ,480 ,0.0_12.0      ,Overdriven Guitar
31   ,0.0     ,                 ,        ,            ,                                         ,                            ,50.0 ,          ,       ,        ,         ,0      ,note_on        ,      ,95.0     ,50.0            ,95.0          ,46320     ,48.25                  ,480 ,0.0_12.0      ,Overdriven Guitar
