,channel,clocks_per_click,control,data,denominator,frame_rate,frames,hours,key,minutes,name,notated_32nd_notes_per_beat,note,numerator,program,seconds,sub_frames,tempo,text,time,type,value,velocity,note_midi_value,note_velocity,note_time,note_seconds,tpb,channel_chunk,instrument
0,,,,,,,,,C,,,,,,,,,,,0,key_signature,,,,,0,0.0,480,nan_0.0,
1,,,,,,,,,C,,,,,,,,,,,0,key_signature,,,,,4313345027,4493067.736458333,480,nan_1123266.0,
2,,24.0,,,4.0,,,,,,,8.0,,3.0,,,,,,0,time_signature,,,,,0,0.0,480,nan_0.0,
3,,,,,,24.0,0.0,32.0,,0.0,,,,,,0.0,0.0,,,0,smpte_offset,,,,,4313345027,4493067.736458333,480,nan_1123266.0,
4,,,,,,,,,,,,,,,,,,810811.0,,0,set_tempo,,,,,4313345136,4493067.85,480,nan_1123266.0,
5,,,,,,,,,,,Bolero (Ravel),,,,,,,,,0,track_name,,,,,4313345136,4493067.85,480,nan_1123266.0,
6,,,,,,,,,,,All Channels,,,,,,,,,0,instrument_name,,,,,4313345136,4493067.85,480,nan_1123266.0,
7,,,,,,,,,,,,,,,,,,,Bass,0,text,,,,,4313345136,4493067.85,480,nan_1123266.0,
8,,,,,,,,,,,,,,,,,,,Cello    ,0,text,,,,,4313345136,4493067.85,480,nan_1123266.0,
9,,,,,,,,,,,,,,,,,,,Viola    ,0,text,,,,,4313345136,4493067.85,480,nan_1123266.0,
10,,,,,,,,,,,,,,,,,,,Violin 2 ,0,text,,,,,4313345136,4493067.85,480,nan_1123266.0,
11,,,,,,,,,,,,,,,,,,,Violin 1 ,0,text,,,,,4313345136,4493067.85,480,nan_1123266.0,
12,,,,,,,,,,,,,,,,,,,Perc/Harp,0,text,,,,,4313345136,4493067.85,480,nan_1123266.0,
13,,,,,,,,,,,,,,,,,,,Sax's,0,text,,,,,4313345136,4493067.85,480,nan_1123266.0,
14,,,,,,,,,,,,,,,,,,,Tuba,0,text,,,,,4313345136,4493067.85,480,nan_1123266.0,
15,,,,,,,,,,,,,,,,,,,Trombone,0,text,,,,,4313345136,4493067.85,480,nan_1123266.0,
16,,,,,,,,,,,,,,,,,,,Trumpet,0,text,,,,,4313345136,4493067.85,480,nan_1123266.0,
