,channel,clocks_per_click,control,denominator,key,notated_32nd_notes_per_beat,note,numerator,program,time,type,value,velocity,note_midi_value,note_velocity,note_time,note_seconds,tpb,channel_chunk,instrument
0,,24.0,,4.0,,8.0,,4.0,,0,time_signature,,,,,-1,-0.0022727272727272726,220,nan_-1.0,
1,,,,,C,,,,,0,key_signature,,,,,-1,-0.0022727272727272726,220,nan_-1.0,
2,,,,,,,,,,1,end_of_track,,,,,-1,-0.0022727272727272726,220,nan_-1.0,
3,0.0,,91.0,,,,,,,0,control_change,58.0,,,,0,0.0,220,0.0_0.0,Acoustic Guitar (nylon)
4,0.0,,10.0,,,,,,,0,control_change,69.0,,,,0,0.0,220,0.0_0.0,Acoustic Guitar (nylon)
5,0.0,,0.0,,,,,,,0,control_change,0.0,,,,0,0.0,220,0.0_0.0,Acoustic Guitar (nylon)
6,0.0,,32.0,,,,,,,0,control_change,0.0,,,,0,0.0,220,0.0_0.0,Acoustic Guitar (nylon)
7,0.0,,,,,,,,24.0,0,program_change,,,,,0,0.0,220,0.0_0.0,Acoustic Guitar (nylon)
8,0.0,,,,,,64.0,,,0,note_on,,72.0,64.0,72.0,0,0.0,220,0.0_0.0,Acoustic Guitar (nylon)
9,0.0,,,,,,55.0,,,0,note_on,,70.0,55.0,70.0,0,0.0,220,0.0_0.0,Acoustic Guitar (nylon)
10,0.0,,,,,,64.0,,,231,note_on,,0.0,64.0,0.0,231,0.525,220,0.0_0.0,Acoustic Guitar (nylon)
11,0.0,,,,,,62.0,,,25,note_on,,72.0,62.0,72.0,256,0.5818181818181818,220,0.0_0.0,Acoustic Guitar (nylon)
12,0.0,,,,,,62.0,,,231,note_on,,0.0,62.0,0.0,487,1.1068181818181817,220,0.0_0.0,Acoustic Guitar (nylon)
13,0.0,,,,,,60.0,,,25,note_on,,71.0,60.0,71.0,512,1.1636363636363636,220,0.0_0.0,Acoustic Guitar (nylon)
14,0.0,,,,,,60.0,,,231,note_on,,0.0,60.0,0.0,743,1.6886363636363635,220,0.0_0.0,Acoustic Guitar (nylon)
15,0.0,,,,,,62.0,,,25,note_on,,79.0,62.0,79.0,768,1.7454545454545454,220,0.0_0.0,Acoustic Guitar (nylon)
16,0.0,,,,,,55.0,,,206,note_on,,0.0,55.0,0.0,974,2.2136363636363634,220,0.0_0.0,Acoustic Guitar (nylon)
17,0.0,,,,,,62.0,,,25,note_on,,0.0,62.0,0.0,999,2.2704545454545455,220,0.0_0.0,Acoustic Guitar (nylon)
18,0.0,,,,,,64.0,,,25,note_on,,85.0,64.0,85.0,1024,2.327272727272727,220,0.0_0.0,Acoustic Guitar (nylon)
19,0.0,,,,,,55.0,,,0,note_on,,79.0,55.0,79.0,1024,2.327272727272727,220,0.0_0.0,Acoustic Guitar (nylon)
20,0.0,,,,,,64.0,,,231,note_on,,0.0,64.0,0.0,1255,2.852272727272727,220,0.0_0.0,Acoustic Guitar (nylon)
21,0.0,,,,,,64.0,,,25,note_on,,78.0,64.0,78.0,1280,2.909090909090909,220,0.0_0.0,Acoustic Guitar (nylon)
22,0.0,,,,,,64.0,,,231,note_on,,0.0,64.0,0.0,1511,3.434090909090909,220,0.0_0.0,Acoustic Guitar (nylon)
23,0.0,,,,,,64.0,,,25,note_on,,74.0,64.0,74.0,1536,3.4909090909090907,220,0.0_0.0,Acoustic Guitar (nylon)
24,0.0,,,,,,55.0,,,462,note_on,,0.0,55.0,0.0,1998,4.540909090909091,220,0.0_1.0,Acoustic Guitar (nylon)
25,0.0,,,,,,64.0,,,0,note_on,,0.0,64.0,0.0,1998,4.540909090909091,220,0.0_1.0,Acoustic Guitar (nylon)
26,0.0,,,,,,62.0,,,50,note_on,,75.0,62.0,75.0,2048,4.654545454545454,220,0.0_1.0,Acoustic Guitar (nylon)
27,0.0,,,,,,55.0,,,0,note_on,,77.0,55.0,77.0,2048,4.654545454545454,220,0.0_1.0,Acoustic Guitar (nylon)
28,0.0,,,,,,62.0,,,231,note_on,,0.0,62.0,0.0,2279,5.179545454545455,220,0.0_1.0,Acoustic Guitar (nylon)
29,0.0,,,,,,62.0,,,25,note_on,,77.0,62.0,77.0,2304,5.236363636363636,220,0.0_1.0,Acoustic Guitar (nylon)
30,0.0,,,,,,62.0,,,231,note_on,,0.0,62.0,0.0,2535,5.761363636363636,220,0.0_1.0,Acoustic Guitar (nylon)
31,0.0,,,,,,62.0,,,25,note_on,,75.0,62.0,75.0,2560,5.818181818181818,220,0.0_1.0,Acoustic Guitar (nylon)
32,0.0,,,,,,55.0,,,462,note_on,,0.0,55.0,0.0,3022,6.868181818181818,220,0.0_1.0,Acoustic Guitar (nylon)
33,0.0,,,,,,62.0,,,0,note_on,,0.0,62.0,0.0,3022,6.868181818181818,220,0.0_1.0,Acoustic Guitar (nylon)
34,0.0,,,,,,64.0,,,50,note_on,,82.0,64.0,82.0,3072,6.9818181818181815,220,0.0_1.0,Acoustic Guitar (nylon)
35,0.0,,,,,,55.0,,,0,note_on,,79.0,55.0,79.0,3072,6.9818181818181815,220,0.0_1.0,Acoustic Guitar (nylon)
36,0.0,,,,,,64.0,,,231,note_on,,0.0,64.0,0.0,3303,7.506818181818182,220,0.0_1.0,Acoustic Guitar (nylon)
37,0.0,,,,,,67.0,,,25,note_on,,84.0,67.0,84.0,3328,7.5636363636363635,220,0.0_1.0,Acoustic Guitar (nylon)
38,0.0,,,,,,67.0,,,231,note_on,,0.0,67.0,0.0,3559,8.088636363636363,220,0.0_2.0,Acoustic Guitar (nylon)
39,0.0,,,,,,67.0,,,25,note_on,,75.0,67.0,75.0,3584,8.145454545454545,220,0.0_2.0,Acoustic Guitar (nylon)
40,0.0,,,,,,55.0,,,462,note_on,,0.0,55.0,0.0,4046,9.195454545454545,220,0.0_2.0,Acoustic Guitar (nylon)
41,0.0,,,,,,67.0,,,0,note_on,,0.0,67.0,0.0,4046,9.195454545454545,220,0.0_2.0,Acoustic Guitar (nylon)
42,0.0,,,,,,64.0,,,50,note_on,,73.0,64.0,73.0,4096,9.309090909090909,220,0.0_2.0,Acoustic Guitar (nylon)
43,0.0,,,,,,55.0,,,0,note_on,,78.0,55.0,78.0,4096,9.309090909090909,220,0.0_2.0,Acoustic Guitar (nylon)
44,0.0,,,,,,64.0,,,231,note_on,,0.0,64.0,0.0,4327,9.834090909090909,220,0.0_2.0,Acoustic Guitar (nylon)
