,channel,clocks_per_click,control,data,denominator,name,notated_32nd_notes_per_beat,note,numerator,program,tempo,time,type,value,velocity,note_midi_value,note_velocity,note_time,note_seconds,tpb,channel_chunk,instrument
0,,,,,,0449DEMO,,,,,,0,track_name,,,,,0,0.0,384,nan_0.0,
1,,24.0,,,4.0,,8.0,,4.0,,,0,time_signature,,,,,-250,-0.3255208333333333,384,nan_-1.0,
2,,,,,,,,,,,300000.0,0,set_tempo,,,,,0,0.0,384,nan_0.0,
3,,,,"[126, 127, 9, 1]",,,,,,,,10,sysex,,,,,-250,-0.3255208333333333,384,nan_-1.0,
4,,,,"[65, 16, 66, 18, 64, 0, 127, 0, 65]",,,,,,,,14,sysex,,,,,-1,-0.0013020833333333333,384,nan_-1.0,
5,,,,"[65, 16, 66, 18, 64, 1, 16, 2, 0, 1, 3, 2, 2, 2, 2, 2, 2, 1, 1, 1, 1, 1, 1, 23]",,,,,,,,24,sysex,,,,,-1,-0.0013020833333333333,384,nan_-1.0,
6,,,,"[65, 16, 66, 18, 64, 1, 51, 90, 50]",,,,,,,,24,sysex,,,,,-1,-0.0013020833333333333,384,nan_-1.0,
7,,,,"[65, 16, 66, 18, 64, 1, 58, 90, 43]",,,,,,,,40,sysex,,,,,-1,-0.0013020833333333333,384,nan_-1.0,
8,1.0,,121.0,,,,,,,,,212,control_change,0.0,,,,212,0.27604166666666663,384,1.0_0.0,Acoustic Bass
9,2.0,,121.0,,,,,,,,,4,control_change,0.0,,,,4,0.005208333333333333,384,2.0_0.0,Acoustic Grand Piano
10,3.0,,121.0,,,,,,,,,4,control_change,0.0,,,,4,0.005208333333333333,384,3.0_0.0,Trumpet
11,4.0,,121.0,,,,,,,,,4,control_change,0.0,,,,4,0.005208333333333333,384,4.0_0.0,Alto Sax
12,9.0,,121.0,,,,,,,,,20,control_change,0.0,,,,20,0.026041666666666664,384,9.0_0.0,Violin
13,0.0,,0.0,,,,,,,,,28,control_change,0.0,,,,28,0.03645833333333333,384,0.0_0.0,Acoustic Grand Piano
14,0.0,,32.0,,,,,,,,,4,control_change,0.0,,,,32,0.041666666666666664,384,0.0_0.0,Acoustic Grand Piano
15,0.0,,,,,,,,,0.0,,4,program_change,,,,,36,0.046875,384,0.0_0.0,Acoustic Grand Piano
16,1.0,,0.0,,,,,,,,,12,control_change,0.0,,,,224,0.29166666666666663,384,1.0_0.0,Acoustic Bass
17,1.0,,32.0,,,,,,,,,4,control_change,0.0,,,,228,0.296875,384,1.0_0.0,Acoustic Bass
18,1.0,,,,,,,,,32.0,,4,program_change,,,,,232,0.3020833333333333,384,1.0_0.0,Acoustic Bass
19,1.0,,7.0,,,,,,,,,4,control_change,100.0,,,,236,0.30729166666666663,384,1.0_0.0,Acoustic Bass
20,1.0,,10.0,,,,,,,,,0,control_change,94.0,,,,236,0.30729166666666663,384,1.0_0.0,Acoustic Bass
21,1.0,,11.0,,,,,,,,,0,control_change,127.0,,,,236,0.30729166666666663,384,1.0_0.0,Acoustic Bass
22,1.0,,91.0,,,,,,,,,4,control_change,40.0,,,,240,0.3125,384,1.0_0.0,Acoustic Bass
23,1.0,,93.0,,,,,,,,,0,control_change,0.0,,,,240,0.3125,384,1.0_0.0,Acoustic Bass
24,2.0,,0.0,,,,,,,,,4,control_change,0.0,,,,8,0.010416666666666666,384,2.0_0.0,Acoustic Grand Piano
25,2.0,,32.0,,,,,,,,,4,control_change,0.0,,,,12,0.015625,384,2.0_0.0,Acoustic Grand Piano
26,2.0,,,,,,,,,0.0,,4,program_change,,,,,16,0.020833333333333332,384,2.0_0.0,Acoustic Grand Piano
27,2.0,,7.0,,,,,,,,,4,control_change,100.0,,,,20,0.026041666666666664,384,2.0_0.0,Acoustic Grand Piano
28,2.0,,10.0,,,,,,,,,0,control_change,34.0,,,,20,0.026041666666666664,384,2.0_0.0,Acoustic Grand Piano
29,2.0,,11.0,,,,,,,,,0,control_change,127.0,,,,20,0.026041666666666664,384,2.0_0.0,Acoustic Grand Piano
30,2.0,,91.0,,,,,,,,,4,control_change,45.0,,,,24,0.03125,384,2.0_0.0,Acoustic Grand Piano
31,2.0,,93.0,,,,,,,,,0,control_change,0.0,,,,24,0.03125,384,2.0_0.0,Acoustic Grand Piano
32,3.0,,0.0,,,,,,,,,4,control_change,0.0,,,,8,0.010416666666666666,384,3.0_0.0,Trumpet
33,3.0,,32.0,,,,,,,,,4,control_change,0.0,,,,12,0.015625,384,3.0_0.0,Trumpet
34,3.0,,,,,,,,,56.0,,4,program_change,,,,,16,0.020833333333333332,384,3.0_0.0,Trumpet
35,3.0,,7.0,,,,,,,,,4,control_change,100.0,,,,20,0.026041666666666664,384,3.0_0.0,Trumpet
36,3.0,,10.0,,,,,,,,,0,control_change,44.0,,,,20,0.026041666666666664,384,3.0_0.0,Trumpet
37,3.0,,11.0,,,,,,,,,0,control_change,127.0,,,,20,0.026041666666666664,384,3.0_0.0,Trumpet
38,3.0,,91.0,,,,,,,,,4,control_change,100.0,,,,24,0.03125,384,3.0_0.0,Trumpet
39,3.0,,93.0,,,,,,,,,0,control_change,0.0,,,,24,0.03125,384,3.0_0.0,Trumpet
40,4.0,,0.0,,,,,,,,,4,control_change,0.0,,,,8,0.010416666666666666,384,4.0_0.0,Alto Sax
41,4.0,,32.0,,,,,,,,,4,control_change,0.0,,,,12,0.015625,384,4.0_0.0,Alto Sax
42,4.0,,,,,,,,,65.0,,4,program_change,,,,,16,0.020833333333333332,384,4.0_0.0,Alto Sax
43,4.0,,7.0,,,,,,,,,4,control_change,100.0,,,,20,0.026041666666666664,384,4.0_0.0,Alto Sax
44,4.0,,10.0,,,,,,,,,0,control_change,84.0,,,,20,0.026041666666666664,384,4.0_0.0,Alto Sax
45,4.0,,11.0,,,,,,,,,0,control_change,127.0,,,,20,0.026041666666666664,384,4.0_0.0,Alto Sax
46,4.0,,91.0,,,,,,,,,4,control_change,85.0,,,,24,0.03125,384,4.0_0.0,Alto Sax
47,4.0,,93.0,,,,,,,,,0,control_change,0.0,,,,24,0.03125,384,4.0_0.0,Alto Sax
48,5.0,,0.0,,,,,,,,,4,control_change,0.0,,,,4,0.005208333333333333,384,5.0_0.0,Acoustic Grand Piano
49,5.0,,32.0,,,,,,,,,4,control_change,0.0,,,,8,0.010416666666666666,384,5.0_0.0,Acoustic Grand Piano
50,5.0,,,,,,,,,0.0,,4,program_change,,,,,12,0.015625,384,5.0_0.0,Acoustic Grand Piano
51,6.0,,0.0,,,,,,,,,12,control_change,0.0,,,,12,0.015625,384,6.0_0.0,Acoustic Grand Piano
52,6.0,,32.0,,,,,,,,,4,control_change,0.0,,,,16,0.020833333333333332,384,6.0_0.0,Acoustic Grand Piano
53,6.0,,,,,,,,,0.0,,4,program_change,,,,,20,0.026041666666666664,384,6.0_0.0,Acoustic Grand Piano
54,7.0,,0.0,,,,,,,,,12,control_change,0.0,,,,12,0.015625,384,7.0_0.0,Acoustic Grand Piano
55,7.0,,32.0,,,,,,,,,4,control_change,0.0,,,,16,0.020833333333333332,384,7.0_0.0,Acoustic Grand Piano
56,7.0,,,,,,,,,0.0,,4,program_change,,,,,20,0.026041666666666664,384,7.0_0.0,Acoustic Grand Piano
57,8.0,,0.0,,,,,,,,,12,control_change,0.0,,,,12,0.015625,384,8.0_0.0,Acoustic Grand Piano
58,8.0,,32.0,,,,,,,,,4,control_change,0.0,,,,16,0.020833333333333332,384,8.0_0.0,Acoustic Grand Piano
59,8.0,,,,,,,,,0.0,,4,program_change,,,,,20,0.026041666666666664,384,8.0_0.0,Acoustic Grand Piano
60,9.0,,0.0,,,,,,,,,12,control_change,0.0,,,,32,0.041666666666666664,384,9.0_0.0,Violin
61,9.0,,32.0,,,,,,,,,4,control_change,0.0,,,,36,0.046875,384,9.0_0.0,Violin
62,9.0,,,,,,,,,40.0,,4,program_change,,,,,40,0.05208333333333333,384,9.0_0.0,Violin
63,9.0,,7.0,,,,,,,,,4,control_change,100.0,,,,44,0.057291666666666664,384,9.0_0.0,Violin
64,9.0,,10.0,,,,,,,,,0,control_change,64.0,,,,44,0.057291666666666664,384,9.0_0.0,Violin
65,9.0,,11.0,,,,,,,,,0,control_change,127.0,,,,44,0.057291666666666664,384,9.0_0.0,Violin
66,9.0,,91.0,,,,,,,,,4,control_change,60.0,,,,48,0.0625,384,9.0_0.0,Violin
67,9.0,,93.0,,,,,,,,,0,control_change,0.0,,,,48,0.0625,384,9.0_0.0,Violin
68,10.0,,0.0,,,,,,,,,4,control_change,0.0,,,,4,0.005208333333333333,384,10.0_0.0,Acoustic Grand Piano
69,10.0,,32.0,,,,,,,,,4,control_change,0.0,,,,8,0.010416666666666666,384,10.0_0.0,Acoustic Grand Piano
70,10.0,,,,,,,,,0.0,,4,program_change,,,,,12,0.015625,384,10.0_0.0,Acoustic Grand Piano
71,11.0,,0.0,,,,,,,,,12,control_change,0.0,,,,12,0.015625,384,11.0_0.0,Acoustic Grand Piano
72,11.0,,32.0,,,,,,,,,4,control_change,0.0,,,,16,0.020833333333333332,384,11.0_0.0,Acoustic Grand Piano
73,11.0,,,,,,,,,0.0,,4,program_change,,,,,20,0.026041666666666664,384,11.0_0.0,Acoustic Grand Piano
74,12.0,,0.0,,,,,,,,,12,control_change,0.0,,,,12,0.015625,384,12.0_0.0,Acoustic Grand Piano
75,12.0,,32.0,,,,,,,,,4,control_change,0.0,,,,16,0.020833333333333332,384,12.0_0.0,Acoustic Grand Piano
76,12.0,,,,,,,,,0.0,,4,program_change,,,,,20,0.026041666666666664,384,12.0_0.0,Acoustic Grand Piano
77,13.0,,0.0,,,,,,,,,12,control_change,0.0,,,,12,0.015625,384,13.0_0.0,Acoustic Grand Piano
78,13.0,,32.0,,,,,,,,,4,control_change,0.0,,,,16,0.020833333333333332,384,13.0_0.0,Acoustic Grand Piano
