,channel,clocks_per_click,control,data,denominator,name,notated_32nd_notes_per_beat,note,numerator,program,tempo,time,type,value,velocity,note_midi_value,note_velocity,note_time,note_seconds,tpb,channel_chunk,instrument,octave,note_value,note_value_nmd,note_name,angle
158,4.0,,,,,,,62.0,,,,0,note_on,,124.0,62.0,124.0,44,0.057291666666666664,384,4.0_0.0,Alto Sax,5.0,2.0,2,D,60
170,4.0,,,,,,,60.0,,,,6,note_on,,117.0,60.0,117.0,134,0.17447916666666666,384,4.0_0.0,Alto Sax,5.0,0.0,0,C,0
228,4.0,,,,,,,62.0,,,,0,note_on,,126.0,62.0,126.0,162,0.2109375,384,4.0_0.0,Alto Sax,5.0,2.0,2,D,60
112,9.0,,,,,,,44.0,,,,103,note_on,,84.0,44.0,84.0,251,0.32682291666666663,384,9.0_0.0,Violin,3.0,8.0,8,G#,240
255,4.0,,,,,,,60.0,,,,0,note_on,,123.0,60.0,123.0,258,0.3359375,384,4.0_0.0,Alto Sax,5.0,0.0,0,C,0
114,2.0,,,,,,,38.0,,,,256,note_on,,106.0,38.0,106.0,300,0.390625,384,2.0_0.0,Acoustic Grand Piano,3.0,2.0,2,D,60
119,2.0,,,,,,,45.0,,,,0,note_on,,103.0,45.0,103.0,318,0.4140625,384,2.0_0.0,Acoustic Grand Piano,3.0,9.0,3,D#,270
305,4.0,,,,,,,62.0,,,,0,note_on,,123.0,62.0,123.0,328,0.4270833333333333,384,4.0_0.0,Alto Sax,5.0,2.0,2,D,60
123,2.0,,,,,,,47.0,,,,4,note_on,,108.0,47.0,108.0,348,0.453125,384,2.0_0.0,Acoustic Grand Piano,3.0,11.0,5,F,330
133,9.0,,,,,,,44.0,,,,115,note_on,,86.0,44.0,86.0,370,0.4817708333333333,384,9.0_0.0,Violin,3.0,8.0,8,G#,240
115,1.0,,,,,,,38.0,,,,20,note_on,,121.0,38.0,121.0,372,0.484375,384,1.0_0.0,Acoustic Bass,3.0,2.0,2,D,60
322,4.0,,,,,,,60.0,,,,12,note_on,,109.0,60.0,109.0,374,0.48697916666666663,384,4.0_0.0,Alto Sax,5.0,0.0,0,C,0
127,2.0,,,,,,,48.0,,,,14,note_on,,102.0,48.0,102.0,376,0.4895833333333333,384,2.0_0.0,Acoustic Grand Piano,4.0,0.0,0,C,0
368,4.0,,,,,,,62.0,,,,0,note_on,,120.0,62.0,120.0,394,0.5130208333333333,384,4.0_0.0,Alto Sax,5.0,2.0,2,D,60
131,2.0,,,,,,,50.0,,,,30,note_on,,110.0,50.0,110.0,408,0.53125,384,2.0_0.0,Acoustic Grand Piano,4.0,2.0,2,D,60
150,3.0,,,,,,,71.0,,,,376,note_on,,127.0,71.0,127.0,420,0.546875,384,3.0_0.0,Trumpet,5.0,11.0,5,F,330
138,2.0,,,,,,,52.0,,,,0,note_on,,106.0,52.0,106.0,436,0.5677083333333333,384,2.0_0.0,Acoustic Grand Piano,4.0,4.0,4,E,120
